traj,method,dJ_raw,det_vs_M0,et
vi,M0_raw_p2p,0.0069501254146905,0.0,172.52529280166655
vi,M0_raw_p2p,0.0074541616402253,0.0,175.76286726202952
vi,M0_raw_p2p,0.0065332514703699,0.0,171.24836707423168
vi,M0_raw_p2p,0.0062060340222562,0.0,166.84056883579996
vi,M0_raw_p2p,0.0055314916930178,0.0,160.34247405179684
vi,M0_raw_p2p,0.0054531520944301,0.0,160.30829162037932
vi,M0_raw_p2p,0.0056715541778021,0.0,164.39402450738717
vi,M0_raw_p2p,0.005424129712587,0.0,162.45757205659092
vi,M0_raw_p2p,0.0061469044338719,0.0,169.52325404678675
vi,M0_raw_p2p,0.0061473958622554,0.0,169.55912601722116
vi,M0_raw_p2p,0.0062458095565655,0.0,168.0607837519904
vi,M0_raw_p2p,0.0060920723650833,0.0,168.45089481195922
vi,M0_raw_p2p,0.0060070746346511,0.0,166.6404088155192
vi,M0_raw_p2p,0.0055396047411882,0.0,160.68341660369472
vi,M0_raw_p2p,0.0062689086051324,0.0,165.2589843908219
vi,M0_raw_p2p,0.0064413831411466,0.0,168.79322243013587
vi,M0_raw_p2p,0.0067771715782631,0.0,169.96884962551624
vi,M0_raw_p2p,0.0068965785224873,0.0,169.86306510974444
vi,M0_raw_p2p,0.0070840288918525,0.0,171.44778396515693
vi,M0_raw_p2p,0.0070770188712836,0.0,173.05557220487063
vi,M0_raw_p2p,0.0066925590843842,0.0,171.3719270384504
vi,M0_raw_p2p,0.0058915096973678,0.0,165.9262948212101
vi,M0_raw_p2p,0.0060592906147759,0.0,168.27755087098166
vi,M0_raw_p2p,0.0073279244949113,0.0,177.51955997016333
vi,M0_raw_p2p,0.0074550040072202,0.0,176.3441319495969
vi,M0_raw_p2p,0.008164935224138,0.0,182.0529310752588
vi,M0_raw_p2p,0.0077396416568277,0.0,177.16617154399933
vi,M0_raw_p2p,0.0079861447316329,0.0,179.5849885730134
vi,M0_raw_p2p,0.0065551354080699,0.0,168.25597302441992
vi,M0_raw_p2p,0.0061837193934321,0.0,166.53387661732023
vi,M0_raw_p2p,0.0058485516787571,0.0,162.07448209435097
vi,M0_raw_p2p,0.0061184671739513,0.0,166.2218009934645
vi,M0_raw_p2p,0.0068602267939315,0.0,172.10414120939282
vi,M0_raw_p2p,0.0067606064238942,0.0,173.76320807019738
vi,M0_raw_p2p,0.006533540538812,0.0,176.8598137630935
vi,M0_raw_p2p,0.006001943375421,0.0,170.29116127162314
vi,M0_raw_p2p,0.005814600521512,0.0,169.91590492190204
vi,M0_raw_p2p,0.0051744839311471,0.0,160.37786999832153
vi,M0_raw_p2p,0.0049565687757943,0.0,157.78197405066126
vi,M0_raw_p2p,0.0049949374849901,0.0,155.7477880815278
vi,M0_raw_p2p,0.0053008966731562,0.0,156.63320942082186
vi,M0_raw_p2p,0.0064547127475708,0.0,166.53210986657817
