trajectory,order,kind,idempotence_P2_rel,normal_eq_resid_rel,pjw_identity_abs_diff_mm,factor2_grad_maxdiff,fd_step_vs_cached_maxdiff
II,257,p2l,1.6810833667763273e-14,3.9100932934215833e-16,1.8388068845354155e-13,0.0022559146201965724,0.0
II,258,p2p,2.7965633714087904e-15,9.411777654054982e-16,6.938893903907228e-15,0.00011373457689310825,0.0
II,258,p2l,1.8330070876584825e-14,7.251282905994443e-16,1.9081958235744878e-13,0.0012997468001638077,0.0
II,259,p2p,1.2128064448623557e-15,6.94970621210412e-16,0.0,5.6885041395809965e-05,0.0
II,259,p2l,9.01091358912696e-15,8.893738345737433e-16,1.734723475976807e-13,0.002279980698081134,0.0
II,260,p2p,2.5156134593272973e-15,9.07894076058788e-16,0.0,0.000129472503849766,0.0
II,260,p2l,2.024581661563183e-14,3.274279605233343e-16,1.9081958235744878e-13,0.001557814570962858,0.0
II,261,p2p,1.7192537153977859e-15,8.839023870536401e-16,6.938893903907228e-15,0.00013472719915302986,0.0
II,261,p2l,1.1390089100328255e-14,1.9321503762748918e-16,1.700029006457271e-13,0.0020633637874935074,0.0
II,262,p2p,2.4586516568830235e-15,4.832966215581888e-16,6.938893903907228e-15,7.049022657108078e-05,0.0
II,262,p2l,1.1286581523671034e-14,3.5651626657148824e-16,1.8388068845354155e-13,0.0012062430153453457,0.0
II,263,p2p,1.3993760438585831e-15,1.97002584135103e-16,6.938893903907228e-15,8.611424565412333e-05,0.0
II,263,p2l,9.25497691869784e-15,1.9208544151269669e-16,1.5612511283791264e-13,0.0017485734699357186,0.0
II,264,p2p,3.901116297306462e-15,2.8562445844960958e-15,1.3877787807814457e-14,0.00018649452573871682,0.0
II,264,p2l,1.2633540119616676e-14,4.943548237216215e-16,1.8388068845354155e-13,0.0025708757477737334,0.0
II,265,p2p,1.8790543591763176e-15,1.0756637540087177e-15,6.938893903907228e-15,7.635951952768977e-05,0.0
