experiment,scope,level_or_fold,method,metric,value,note
E1,IV,L4,Patch,PatchRaw_frac_pos,0.7125,
E1,IV,L5,Patch,et_med,141.634212,
E1,IV,L5,Patch,eR_med,3.635006,
E1,IV,L5,Patch,captureA_rate,0.9,
E1,IV,L5,Patch,captureB_rate,0.0,
E1,IV,L5,Patch,safeguard_rate,0.1,
E1,IV,L5,Patch,itercap_rate,0.9,
E1,IV,L5,Patch,numfail_rate,0.0,
E1,IV,L5,Patch,PatchRaw_gain_t_med,5.020141,
E1,IV,L5,Patch,PatchRaw_frac_pos,0.7,
E1,IV,L6,Patch,et_med,143.88284,
E1,IV,L6,Patch,eR_med,4.969129,
E1,IV,L6,Patch,captureA_rate,0.8625,
E1,IV,L6,Patch,captureB_rate,0.0,
E1,IV,L6,Patch,safeguard_rate,0.175,
E1,IV,L6,Patch,itercap_rate,0.825,
E1,IV,L6,Patch,numfail_rate,0.0,
E1,IV,L6,Patch,PatchRaw_gain_t_med,4.691703,
E1,IV,L6,Patch,PatchRaw_frac_pos,0.675,
E1,IV,L0,Raw,et_med,151.64282,
E1,IV,L0,Raw,eR_med,2.357153,
E1,IV,L0,Raw,captureA_rate,0.0,
E1,IV,L0,Raw,captureB_rate,0.0,
E1,IV,L0,Raw,safeguard_rate,0.1,
E1,IV,L0,Raw,itercap_rate,0.9,
E1,IV,L0,Raw,numfail_rate,0.0,
E1,IV,L0,Raw,PatchRaw_gain_t_med,5.052362,
E1,IV,L0,Raw,PatchRaw_frac_pos,0.75,
E1,IV,L1,Raw,et_med,151.794275,
E1,IV,L1,Raw,eR_med,2.315568,
E1,IV,L1,Raw,captureA_rate,0.0,
E1,IV,L1,Raw,captureB_rate,0.0,
E1,IV,L1,Raw,safeguard_rate,0.1,
E1,IV,L1,Raw,itercap_rate,0.9,
E1,IV,L1,Raw,numfail_rate,0.0,
E1,IV,L1,Raw,PatchRaw_gain_t_med,5.0135,
E1,IV,L1,Raw,PatchRaw_frac_pos,0.725,
E1,IV,L2,Raw,et_med,151.728286,
E1,IV,L2,Raw,eR_med,2.308038,
E1,IV,L2,Raw,captureA_rate,0.0,
E1,IV,L2,Raw,captureB_rate,0.0,
E1,IV,L2,Raw,safeguard_rate,0.1,
E1,IV,L2,Raw,itercap_rate,0.8875,
E1,IV,L2,Raw,numfail_rate,0.0,
E1,IV,L2,Raw,PatchRaw_gain_t_med,5.171991,
E1,IV,L2,Raw,PatchRaw_frac_pos,0.7625,
E1,IV,L3,Raw,et_med,151.246333,
E1,IV,L3,Raw,eR_med,2.369087,
E1,IV,L3,Raw,captureA_rate,0.0,
E1,IV,L3,Raw,captureB_rate,0.0,
E1,IV,L3,Raw,safeguard_rate,0.0875,
E1,IV,L3,Raw,itercap_rate,0.875,
E1,IV,L3,Raw,numfail_rate,0.0,
E1,IV,L3,Raw,PatchRaw_gain_t_med,5.829544,
E1,IV,L3,Raw,PatchRaw_frac_pos,0.7625,
E1,IV,L4,Raw,et_med,151.453919,
E1,IV,L4,Raw,eR_med,2.799839,
E1,IV,L4,Raw,captureA_rate,0.0,
E1,IV,L4,Raw,captureB_rate,0.0,
E1,IV,L4,Raw,safeguard_rate,0.1,
E1,IV,L4,Raw,itercap_rate,0.875,
E1,IV,L4,Raw,numfail_rate,0.0,
E1,IV,L4,Raw,PatchRaw_gain_t_med,5.365607,
E1,IV,L4,Raw,PatchRaw_frac_pos,0.7125,
E1,IV,L5,Raw,et_med,151.673514,
E1,IV,L5,Raw,eR_med,3.946717,
E1,IV,L5,Raw,captureA_rate,0.9,
E1,IV,L5,Raw,captureB_rate,0.0,
E1,IV,L5,Raw,safeguard_rate,0.1,
E1,IV,L5,Raw,itercap_rate,0.8875,
E1,IV,L5,Raw,numfail_rate,0.0,
E1,IV,L5,Raw,PatchRaw_gain_t_med,5.020141,
E1,IV,L5,Raw,PatchRaw_frac_pos,0.7,
E1,IV,L6,Raw,et_med,153.374452,
E1,IV,L6,Raw,eR_med,5.807663,
E1,IV,L6,Raw,captureA_rate,0.8875,
E1,IV,L6,Raw,captureB_rate,0.0,
E1,IV,L6,Raw,safeguard_rate,0.1625,
E1,IV,L6,Raw,itercap_rate,0.8375,
E1,IV,L6,Raw,numfail_rate,0.0,
E1,IV,L6,Raw,PatchRaw_gain_t_med,4.691703,
E1,IV,L6,Raw,PatchRaw_frac_pos,0.675,
E1,VI,L0,Patch,et_med,115.268908,
E1,VI,L0,Patch,eR_med,4.548227,
E1,VI,L0,Patch,captureA_rate,0.0,
E1,VI,L0,Patch,captureB_rate,0.0,
E1,VI,L0,Patch,safeguard_rate,0.0,
E1,VI,L0,Patch,itercap_rate,0.35,
E1,VI,L0,Patch,numfail_rate,0.0,
E1,VI,L0,Patch,PatchRaw_gain_t_med,45.120919,
E1,VI,L0,Patch,PatchRaw_frac_pos,1.0,
E1,VI,L1,Patch,et_med,115.247757,
E1,VI,L1,Patch,eR_med,4.543899,
E1,VI,L1,Patch,captureA_rate,0.0,
E1,VI,L1,Patch,captureB_rate,0.0,
E1,VI,L1,Patch,safeguard_rate,0.0,
E1,VI,L1,Patch,itercap_rate,0.3875,
E1,VI,L1,Patch,numfail_rate,0.0,
E1,VI,L1,Patch,PatchRaw_gain_t_med,45.037183,
E1,VI,L1,Patch,PatchRaw_frac_pos,1.0,
E1,VI,L2,Patch,et_med,115.311121,
E1,VI,L2,Patch,eR_med,4.58061,
E1,VI,L2,Patch,captureA_rate,0.0,
E1,VI,L2,Patch,captureB_rate,0.0,
E1,VI,L2,Patch,safeguard_rate,0.0,
E1,VI,L2,Patch,itercap_rate,0.5625,
E1,VI,L2,Patch,numfail_rate,0.0,
E1,VI,L2,Patch,PatchRaw_gain_t_med,44.74209,
E1,VI,L2,Patch,PatchRaw_frac_pos,1.0,
E1,VI,L3,Patch,et_med,115.359367,
