panel,trajectory,x_deg,ecdf
FO,IV,6.8069,0.10897
FO,IV,6.8455,0.11538
FO,IV,7.3559,0.12179
FO,IV,7.3594,0.12821
FO,IV,7.5304,0.13462
FO,IV,8.3395,0.14103
FO,IV,8.7029,0.14744
FO,IV,8.7155,0.15385
FO,IV,8.7167,0.16026
FO,IV,8.7586,0.16667
FO,IV,8.9477,0.17308
FO,IV,9.4096,0.17949
FO,IV,9.4394,0.1859
FO,IV,9.7155,0.19231
FO,IV,10.2476,0.19872
FO,IV,10.5321,0.20513
FO,IV,10.6451,0.21154
FO,IV,10.9037,0.21795
FO,IV,10.9207,0.22436
FO,IV,11.4152,0.23077
FO,IV,11.4853,0.23718
FO,IV,11.6034,0.24359
FO,IV,11.9955,0.25
FO,IV,12.1355,0.25641
FO,IV,12.1557,0.26282
FO,IV,12.4906,0.26923
FO,IV,12.5438,0.27564
FO,IV,12.8031,0.28205
FO,IV,13.2884,0.28846
FO,IV,13.4043,0.29487
FO,IV,13.6161,0.30128
FO,IV,13.8358,0.30769
FO,IV,13.962,0.3141
FO,IV,14.1168,0.32051
FO,IV,14.1685,0.32692
FO,IV,14.2471,0.33333
FO,IV,14.3516,0.33974
FO,IV,14.4093,0.34615
FO,IV,14.7773,0.35256
FO,IV,14.8064,0.35897
FO,IV,14.8773,0.36538
FO,IV,15.0466,0.37179
FO,IV,15.3114,0.37821
FO,IV,15.3371,0.38462
FO,IV,15.5964,0.39103
FO,IV,15.613,0.39744
FO,IV,15.7877,0.40385
FO,IV,15.891,0.41026
FO,IV,16.0862,0.41667
FO,IV,16.2753,0.42308
FO,IV,16.2944,0.42949
FO,IV,16.4333,0.4359
FO,IV,16.5161,0.44231
FO,IV,16.9888,0.44872
FO,IV,17.0673,0.45513
FO,IV,18.1145,0.46154
FO,IV,18.3862,0.46795
FO,IV,18.42,0.47436
FO,IV,18.4202,0.48077
FO,IV,18.7489,0.48718
FO,IV,18.7653,0.49359
FO,IV,18.8987,0.5
FO,IV,18.8998,0.50641
FO,IV,18.9044,0.51282
FO,IV,18.9158,0.51923
FO,IV,18.9457,0.52564
FO,IV,18.9564,0.53205
FO,IV,18.9649,0.53846
FO,IV,19.0516,0.54487
FO,IV,19.1899,0.55128
FO,IV,19.27,0.55769
FO,IV,19.4683,0.5641
FO,IV,19.5291,0.57051
FO,IV,19.7078,0.57692
FO,IV,19.7759,0.58333
FO,IV,19.8243,0.58974
FO,IV,19.877,0.59615
FO,IV,19.888,0.60256
FO,IV,19.9242,0.60897
FO,IV,20.0393,0.61538
FO,IV,20.0554,0.62179
FO,IV,20.0949,0.62821
FO,IV,20.1165,0.63462
FO,IV,20.1941,0.64103
FO,IV,20.2155,0.64744
FO,IV,20.2858,0.65385
FO,IV,20.3878,0.66026
FO,IV,20.4433,0.66667
FO,IV,20.5131,0.67308
FO,IV,20.5163,0.67949
FO,IV,20.6956,0.6859
FO,IV,20.8023,0.69231
FO,IV,20.8123,0.69872
FO,IV,20.9144,0.70513
FO,IV,20.9929,0.71154
FO,IV,21.1125,0.71795
FO,IV,21.2525,0.72436
FO,IV,21.2679,0.73077
FO,IV,21.3944,0.73718
FO,IV,21.4216,0.74359
FO,IV,21.5108,0.75
FO,IV,21.5512,0.75641
FO,IV,21.676,0.76282
FO,IV,21.7906,0.76923
FO,IV,21.8663,0.77564
FO,IV,22.0439,0.78205
FO,IV,22.0764,0.78846
FO,IV,22.3139,0.79487
FO,IV,22.5228,0.80128
FO,IV,22.7494,0.80769
FO,IV,22.7516,0.8141
FO,IV,23.0802,0.82051
FO,IV,23.2481,0.82692
FO,IV,23.3517,0.83333
FO,IV,23.534,0.83974
FO,IV,23.5709,0.84615
FO,IV,23.751,0.85256
FO,IV,23.8332,0.85897
FO,IV,24.1013,0.86538
FO,IV,24.3395,0.87179
FO,IV,24.3962,0.87821
FO,IV,24.4258,0.88462
FO,IV,24.4786,0.89103
FO,IV,24.6542,0.89744
FO,IV,24.7605,0.90385
FO,IV,25.6033,0.91026
FO,IV,25.6127,0.91667
FO,IV,25.6165,0.92308
FO,IV,25.7374,0.92949
