trajectory,actual_t_mm,an_t_mm,fd_t_mm,cond
VI,182.0088997212407,53.106956618950576,304.50151038326027,8.046693029038904
VI,181.48085243755528,49.76141738471912,403.9109324846503,7.763500323576221
VI,175.9137943780436,46.87855516991233,341.1774714254239,7.255793588854662
VI,170.5868285090379,43.18030448672494,270.2791758710209,7.324541458549593
VI,160.72806476782935,39.42601536937601,230.724903155925,7.527771861606154
VI,163.46178910785733,40.06533474852561,392.69253345353405,7.353371718729668
VI,168.32498013375996,42.75058147262808,278.45949135524944,7.267495825337943
VI,173.30527046711725,45.33034949742898,293.1661657504454,7.212577555021845
VI,173.24264206490804,44.03118445363688,275.64204403975646,7.461841335229038
VI,169.93354083718904,41.1752485733922,245.6811663229566,7.170753968444722
VI,169.6955274274822,39.58993288135137,340.0487672126042,7.203998907155095
VI,158.2555537761965,34.65740126474951,328.9281993438928,7.650583496557131
VI,151.25197145443045,35.218766954311256,4069.8668594112382,7.821390410391015
VI,157.4134062365944,37.50255556669998,16722.63762964532,7.557209498739736
VI,165.0274896184789,40.385069139027074,23989.97695519404,7.527535281663095
VI,170.70453006252595,42.39822630086396,335.33719191183144,7.798438835949068
VI,170.358653406979,41.86616550884119,422.8623775484688,8.107031323628926
VI,175.76917467900367,45.079291874242,333.145747419925,8.255362392441105
VI,167.6752937522565,40.18617131950843,852.8763753004421,8.229734037786985
VI,164.82977264745597,36.47785179667978,503.8134921646521,8.054136237517083
VI,161.1629835334508,34.25166634298426,400.68045346761176,7.949563561125376
VI,157.75831906479368,34.21318909111986,447.4930652178064,7.893173309117319
VI,166.5397336751428,37.59844571901022,845.0001289870023,7.9410415602016
VI,172.51087701429202,39.75073362264722,457.8208083604778,7.485470776173851
VI,172.52529280166655,40.94493091246161,3537.7888718923846,7.561344786210677
VI,175.76286726202952,43.06367972478704,729.2412899887347,7.467144741391616
VI,171.24836707423168,39.54396846913155,384.031630651832,7.478580561004663
VI,166.84056883579996,37.40136909799183,279.23715281365725,7.400602297566508
VI,160.34247405179684,37.042209732573255,306.3763000294895,7.734019192024192
VI,160.30829162037932,38.4164352642959,372.6629024609759,7.690132729967622
VI,164.39402450738717,38.8670115400877,303.7036056778019,7.882454035465693
VI,162.45757205659092,37.09278237918088,325.3226348041365,8.216972627053211
VI,169.52325404678675,38.862617809444494,268.6352101305376,8.080878761838303
VI,169.55912601722116,38.895140359496885,399.4282691618364,7.814180064313199
VI,168.0607837519904,38.86772741108209,601.9856745740949,7.695523554096868
VI,168.45089481195922,37.85617652147136,414.2915165071184,7.616299964211197
VI,166.6404088155192,38.64474903005445,374.8794974377543,7.838276422991997
VI,160.68341660369472,37.11224022922077,948.1477055516764,7.888786553323333
VI,165.2589843908219,40.32987103062705,327.02316152944496,7.582793228721479
VI,168.79322243013587,40.60746289035215,330.8342281125164,7.575247161632309
VI,169.96884962551624,41.88552000240915,273.1521619229636,7.635662387785104
VI,169.86306510974444,42.52704023118333,2557.456916295643,7.579908204930282
VI,171.44778396515693,42.80094188810176,279.9043510020946,7.55667357690988
