trajectory,cond,ecdf
II,4.33,0.01402
II,4.35629,0.01636
II,4.36685,0.01869
II,4.39003,0.02103
II,4.39844,0.02336
II,4.39851,0.0257
II,4.41819,0.02804
II,4.42592,0.03037
II,4.43316,0.03271
II,4.44015,0.03505
II,4.57168,0.03738
II,4.62321,0.03972
II,4.64103,0.04206
II,4.68057,0.04439
II,4.79581,0.04673
II,4.94061,0.04907
II,4.99019,0.0514
II,5.01427,0.05374
II,5.05026,0.05607
II,5.06132,0.05841
II,5.07277,0.06075
II,5.13735,0.06308
II,5.15104,0.06542
II,5.16929,0.06776
II,5.27219,0.07009
II,5.34041,0.07243
II,5.37456,0.07477
II,5.40627,0.0771
II,5.59999,0.07944
II,5.60668,0.08178
II,5.66373,0.08411
II,5.67182,0.08645
II,5.69077,0.08879
II,5.71008,0.09112
II,5.78379,0.09346
II,5.78396,0.09579
II,5.79103,0.09813
II,5.79961,0.10047
II,5.83381,0.1028
II,5.8427,0.10514
II,5.86624,0.10748
II,5.89389,0.10981
II,6.0153,0.11215
II,6.02753,0.11449
II,6.03362,0.11682
II,6.04458,0.11916
II,6.04906,0.1215
II,6.06478,0.12383
II,6.06836,0.12617
II,6.07194,0.1285
II,6.07704,0.13084
II,6.10447,0.13318
II,6.11605,0.13551
II,6.12486,0.13785
II,6.14382,0.14019
II,6.15934,0.14252
II,6.19035,0.14486
II,6.21915,0.1472
II,6.22966,0.14953
II,6.27564,0.15187
II,6.32924,0.15421
II,6.32934,0.15654
II,6.32938,0.15888
II,6.34371,0.16121
II,6.35853,0.16355
II,6.36096,0.16589
II,6.38342,0.16822
II,6.39194,0.17056
II,6.40272,0.1729
II,6.40467,0.17523
II,6.40595,0.17757
II,6.41305,0.17991
II,6.42467,0.18224
II,6.44586,0.18458
II,6.44768,0.18692
II,6.4524,0.18925
II,6.45277,0.19159
II,6.462,0.19393
II,6.46687,0.19626
II,6.47404,0.1986
II,6.50149,0.20093
II,6.50198,0.20327
II,6.51058,0.20561
II,6.51656,0.20794
II,6.53063,0.21028
II,6.55635,0.21262
II,6.56141,0.21495
II,6.57703,0.21729
II,6.60181,0.21963
II,6.60237,0.22196
II,6.6172,0.2243
II,6.61778,0.22664
II,6.62421,0.22897
II,6.6305,0.23131
II,6.63157,0.23364
II,6.6422,0.23598
II,6.6426,0.23832
II,6.65005,0.24065
II,6.67756,0.24299
II,6.68683,0.24533
II,6.71581,0.24766
II,6.72238,0.25
II,6.72507,0.25234
II,6.7315,0.25467
II,6.73638,0.25701
II,6.74187,0.25935
II,6.74656,0.26168
II,6.7551,0.26402
II,6.76149,0.26636
II,6.7789,0.26869
II,6.78179,0.27103
II,6.79029,0.27336
II,6.80369,0.2757
II,6.80697,0.27804
II,6.80987,0.28037
II,6.8158,0.28271
II,6.83763,0.28505
II,6.87109,0.28738
II,6.88873,0.28972
II,6.89057,0.29206
II,6.89588,0.29439
II,6.89859,0.29673
II,6.90661,0.29907
II,6.90986,0.3014
II,6.91833,0.30374
II,6.9303,0.30607
II,6.9337,0.30841
II,6.93798,0.31075
II,6.957,0.31308
II,6.96265,0.31542
II,6.96661,0.31776
II,6.99296,0.32009
II,7.00329,0.32243
II,7.01202,0.32477
II,7.03169,0.3271
II,7.03728,0.32944
II,7.03912,0.33178
II,7.04166,0.33411
II,7.04986,0.33645
II,7.05085,0.33879
II,7.05606,0.34112
II,7.05758,0.34346
II,7.06784,0.34579
II,7.07118,0.34813
II,7.08285,0.35047
II,7.0868,0.3528
II,7.0869,0.35514
II,7.09092,0.35748
II,7.09168,0.35981
II,7.092,0.36215
II,7.09476,0.36449
II,7.09536,0.36682
II,7.09825,0.36916
II,7.09856,0.3715
II,7.10051,0.37383
II,7.102,0.37617
II,7.10252,0.3785
II,7.10745,0.38084
II,7.11195,0.38318
II,7.11522,0.38551
II,7.11992,0.38785
II,7.12842,0.39019
II,7.12963,0.39252
II,7.13965,0.39486
II,7.14381,0.3972
II,7.15462,0.39953
II,7.15559,0.40187
II,7.15894,0.40421
II,7.15918,0.40654
II,7.16343,0.40888
II,7.16593,0.41121
II,7.16947,0.41355
II,7.17108,0.41589
II,7.17164,0.41822
II,7.17569,0.42056
II,7.17663,0.4229
II,7.17934,0.42523
II,7.18001,0.42757
II,7.18735,0.42991
II,7.18746,0.43224
II,7.20601,0.43458
II,7.20733,0.43692
II,7.20819,0.43925
II,7.21095,0.44159
II,7.21236,0.44393
II,7.21523,0.44626
II,7.21628,0.4486
II,7.21815,0.45093
II,7.22158,0.45327
II,7.22508,0.45561
II,7.23348,0.45794
II,7.23491,0.46028
II,7.2418,0.46262
II,7.24285,0.46495
II,7.2466,0.46729
II,7.25291,0.46963
II,7.25406,0.47196
II,7.25569,0.4743
II,7.26217,0.47664
II,7.26332,0.47897
II,7.26359,0.48131
II,7.26399,0.48364
II,7.26726,0.48598
II,7.26936,0.48832
II,7.27347,0.49065
II,7.27355,0.49299
II,7.27442,0.49533
II,7.27662,0.49766
II,7.28156,0.5
II,7.28272,0.50234
II,7.28357,0.50467
II,7.28975,0.50701
II,7.29135,0.50935
II,7.30069,0.51168
II,7.30688,0.51402
II,7.32315,0.51636
II,7.32684,0.51869
II,7.32737,0.52103
II,7.33209,0.52336
II,7.33745,0.5257
II,7.33914,0.52804
II,7.35585,0.53037
II,7.3648,0.53271
II,7.37891,0.53505
II,7.38402,0.53738
II,7.38432,0.53972
II,7.3857,0.54206
II,7.39585,0.54439
II,7.3979,0.54673
II,7.39862,0.54907
II,7.40414,0.5514
II,7.40522,0.55374
II,7.41054,0.55607
