geometry,dtype,mag,J0,gradient,error,n,bound_fraction,residual_rms_mm
GC,D4_appendage_scale,0.01,1.2124452736394363e-05,0.00011471113508255,0.07193314067911445,20,0.0,3.4820184859351855
GC,D4_appendage_scale,0.025,1.2612433753439037e-05,0.0001660315804364,0.1119051614803421,20,0.0,3.551398844601805
GC,D4_appendage_scale,0.05,1.3208442362869601e-05,0.00013243625618765,0.0637468376765021,20,0.0,3.6343420811571385
GC,D4_appendage_scale,0.1,1.4416298045602398e-05,0.00027372881527795,0.11614155661528841,20,0.0,3.7968800409813315
GC,D5_appendage_tilt,0.0,1.2034857220444392e-05,6.919581574682899e-05,0.045353683902843805,20,0.0,3.4691291732139913
GC,D5_appendage_tilt,0.1,1.1951732320732455e-05,0.00011412994318830001,0.0510404583686481,20,0.0,3.4571277559171074
GC,D5_appendage_tilt,0.25,1.2268609742916485e-05,0.00018524321517855,0.0831772011812633,20,0.0,3.502657525781886
GC,D5_appendage_tilt,0.5,1.3128487800991759e-05,0.00025741144661094997,0.1457420423019467,20,0.0,3.6233255168410907
GC,D5_appendage_tilt,1.0,1.4694379226122081e-05,0.00015102898942925,0.16812949465703408,20,0.0,3.8333248265861948
GC,D5_appendage_tilt,2.0,1.582332114543553e-05,0.00032226972653125,0.23491156827802495,20,0.0,3.9778538366103304
