scan,range_m,n,ux,uy,uz,ts
584,5.794747577288587,9691,0.8218269099415952,-0.567597540924935,-0.049331142616161575,1751984485.646
585,5.794577396848025,9910,0.8218198307105711,-0.5697394810617309,0.003014891433821153,1751984486.233
586,5.794420047814362,10484,0.8218124608087196,-0.5670638768489275,0.05534292034742397,1751984486.818
587,5.794352970022885,10763,0.821808437085639,-0.563924849519635,0.08136127352196804,1751984487.402
588,5.794248275188334,11240,0.8218001456571022,-0.5540762399602096,0.13283087332966567,1751984487.989
589,5.794181395940847,10477,0.8217922870191426,-0.5395393442691641,0.18317951026642548,1751984488.511
590,5.794160939150206,10934,0.8217889436029184,-0.5305486956394944,0.2078004180150524,1751984489.032
591,5.794141787550078,11253,0.8217832532817347,-0.509217179274826,0.2556758669821574,1751984489.551
592,5.794138217175526,9909,0.8217812760312134,-0.49692066820761355,0.278828592279575,1751984490.016
593,5.794135956614495,10128,0.8217787845083585,-0.4691958022461795,0.32331861759961916,1751984490.48
594,5.7941354602285555,10091,0.8217784449290452,-0.4538263875158205,0.34456029580371084,1751984490.942
595,5.794132982546568,9924,0.8217784046734088,-0.4374954730923033,0.3650725470864236,1751984491.408
596,5.794123699127074,9576,0.8217788778509829,-0.4020877430686085,0.40373868131747287,1751984491.87
597,5.7940647161734375,9191,0.8217747280149079,-0.3830897512485647,0.42181576414868244,1751984492.332
598,5.792329878495611,8997,0.821737033766873,-0.34273303426737667,0.45528267544229967,1751984492.799
599,5.790577312906977,9811,0.8217223148448688,-0.321445051934309,0.470579978189616,1751984493.31
600,5.785292581859018,9748,0.8216996747659254,-0.27687969938641477,0.498143831194627,1751984493.828
601,5.781786266198707,9653,0.8216916418566572,-0.2536953552584953,0.5103543008765349,1751984494.34
602,5.774521842847681,9527,0.8216794366543297,-0.20576144250716452,0.5315121185418015,1751984494.857
603,5.770893666527395,9426,0.821674815387512,-0.18111405004671255,0.5404148393906065,1751984495.373
604,5.763624138300569,9615,0.8216707942076149,-0.130715300855458,0.5547707779511233,1751984495.88
605,5.75999222919363,9750,0.8216703634816432,-0.1050712297645286,0.5601944755633654,1751984496.396
606,5.752785788925395,9681,0.821671117814456,-0.053171502401307885,0.5674763127055878,1751984496.91
607,5.745629365001972,9608,0.8216757267035661,-0.0008247698847947631,0.569954664776773,1751984497.426
608,5.742062943816448,9724,0.8216786732752539,0.025377795983110744,0.5693857438992113,1751984497.938
609,5.734964669256819,9722,0.8216806867305175,0.07756047194928252,0.5646461035419174,1751984498.455
610,5.7314228133668506,9824,0.8216799542869698,0.10343078738658562,0.5604856152869173,1751984498.968
611,5.724353147569603,9609,0.821677540325264,0.15445488704382518,0.548625288875115,1751984499.482
612,5.7208128567227226,9760,0.8216765978041181,0.1795021532927541,0.5409496701027869,1751984499.993
613,5.713714478895318,10250,0.8216737270909223,0.22840301019866746,0.5221918719596274,1751984500.511
614,5.710167094323771,10424,0.8216712788916202,0.25215189512800956,0.5111513779967368,1751984501.026
615,5.703030349407233,10703,0.8216643744124921,0.29800265623180494,0.48586219517484264,1751984501.54
616,5.699445902883279,10511,0.8216607158728243,0.32000895693668036,0.47166506704615707,1751984502.055
617,5.692238423224558,10297,0.8216515053409311,0.3619578585832873,0.4403127438319074,1751984502.568
618,5.685013922739857,9934,0.8216440288913187,0.40085713846370913,0.4052340611670353,1751984503.081
619,5.6814033525401095,10162,0.8216409497438091,0.41905867248277173,0.38638837808747367,1751984503.594
620,5.674212326408044,10430,0.8216344990971775,0.45277149060452987,0.3462870589396636,1751984504.111
621,5.6706405999789,10586,0.8216322729097504,0.46820988281177917,0.3251152314957534,1751984504.623
622,5.663561343373443,10535,0.8216322973765701,0.496080753869955,0.28075657347160476,1751984505.14
623,5.660033120249741,10370,0.8216332563155696,0.5084570727043374,0.257662952969979,1751984505.652
624,5.6529824430852385,10429,0.8216366451251055,0.529961289390515,0.20989105539566064,1751984506.169
625,5.649458221646834,10171,0.8216397055238831,0.5390426201032053,0.18531391749919435,1751984506.682
626,5.642438874074315,10156,0.8216476630312192,0.5537680408357666,0.13504101149003883,1751984507.195
627,5.635464180745806,9733,0.8216575263443869,0.5638121792443062,0.083634537945811,1751984507.711
628,5.631988145484147,9959,0.8216617538974785,0.5670532678541956,0.05764159607434035,1751984508.224
629,5.625066013453708,9511,0.8216724659017246,0.5699348434464726,0.005350981650509151,1751984508.741
630,5.621615355089854,9620,0.8216800085660064,0.5695680694036468,-0.020836934485906254,1751984509.254
631,5.614754660178574,10034,0.8216952180378834,0.5652304727139691,-0.0730169937015923,1751984509.77
632,5.611336748805135,10234,0.8217013967796734,0.5612714490860016,-0.0988998229079997,1751984510.278
633,5.604516346993112,10606,0.8217113654950671,0.5498142951437145,-0.1499822411882578,1751984510.796
634,5.601128053578941,10764,0.8217165055321876,0.5423388728762585,-0.1750729319548855,1751984511.308
635,5.5943916181577755,11504,0.8217235235265018,0.5239779723297389,-0.22409269375953808,1751984511.825
636,5.5910415588709395,10145,0.8217260308217746,0.5131308748097568,-0.2479173967007269,1751984512.271
