scan,range_m,n,ux,uy,uz,ts
1997,3.6251311594877476,16225,0.997446034777219,0.028862065898801657,-0.065332907935099,1751969473.752
1998,3.6217847918225337,16102,0.9974418254469964,0.027021956120584476,-0.06617868793184573,1751969474.083
1999,3.6184358147173206,16341,0.997437493993172,0.02515972977860372,-0.0669733795928538,1751969474.417
2000,3.615071082675,16236,0.9974332809621357,0.023272644138886505,-0.06771435640906666,1751969474.752
2001,3.6117085390305235,16224,0.9974289802753902,0.021360860947794186,-0.06840426102491136,1751969475.081
2002,3.6083510730915584,16445,0.9974245278156133,0.0194275824120301,-0.06904259810743399,1751969475.418
2003,3.604981869846645,16343,0.9974200960361206,0.017469347369916573,-0.06962739350115776,1751969475.752
2004,3.601604262432087,16332,0.9974158347100655,0.015489136630913166,-0.07015510898040463,1751969476.085
2005,3.598226738926552,16557,0.9974115358364694,0.013492652018447314,-0.07062702401945237,1751969476.421
2006,3.5948264490222592,16403,0.9974075824880051,0.011482160495565616,-0.07103713385115835,1751969476.756
2007,3.5914155872308906,16559,0.9974039289530011,0.00945731613998959,-0.07138600479467257,1751969477.089
2008,3.5880140455225353,16606,0.9974002318540027,0.0074244636094459885,-0.07167743604296829,1751969477.425
2009,3.584621357667362,16396,0.9973964827748788,0.0053868243281665305,-0.0719113222793078,1751969477.76
2010,3.5812421498460543,16639,0.9973926115490082,0.0033425000252983316,-0.0720888765416016,1751969478.093
2011,3.5778910779513655,16686,0.9973883600411722,0.0012904006507800125,-0.07221353142273039,1751969478.429
2012,3.5745390826082737,16518,0.997384195014355,-0.0007727629563474916,-0.07227842259609904,1751969478.761
2013,3.571175813196683,16757,0.9973803185186453,-0.0028428793762353107,-0.07228013744105495,1751969479.098
2014,3.567806100113207,16683,0.9973765177227201,-0.004912220077601941,-0.0722215479563389,1751969479.432
2015,3.564430194950381,16738,0.9973728145779988,-0.006977297842372238,-0.07210260782786922,1751969479.766
2016,3.5610650101669026,17013,0.9973689875015038,-0.009038954182328144,-0.0719263517600811,1751969480.101
2017,3.5577189089746803,16874,0.9973648496834198,-0.011094803678889056,-0.07169562014025999,1751969480.436
2018,3.5543660090657525,16909,0.9973607214917347,-0.013141005978083119,-0.07140661865240873,1751969480.769
2019,3.551010248210922,17031,0.9973565525123625,-0.015179397050546627,-0.07105978515191931,1751969481.105
2020,3.547655868542775,16962,0.9973523416526648,-0.017209780419947956,-0.07065500730906016,1751969481.439
2021,3.544311057426535,16974,0.9973480678944479,-0.019228106346882132,-0.07019338568216305,1751969481.774
2022,3.540978088921903,17177,0.9973437430270178,-0.021232980782508536,-0.06967509434473261,1751969482.108
2023,3.537667516810196,17023,0.9973392223790625,-0.023223430479664138,-0.0691024441035411,1751969482.443
2024,3.534380832848379,17061,0.9973344131077566,-0.025196281579464592,-0.06847784915996584,1751969482.777
2025,3.531115302938151,17356,0.99732926211495,-0.027156871033181686,-0.06780005372370032,1751969483.112
2026,3.5278489805596838,17127,0.9973240280347812,-0.02910730736029212,-0.06706375893664596,1751969483.446
2027,3.524577139581712,17424,0.9973187133342714,-0.03104165441266711,-0.06627065507898713,1751969483.781
2028,3.521293053079507,17288,0.99731339001751,-0.03295919221087864,-0.06541936823746047,1751969484.115
2029,3.518000890329336,17317,0.997307977379555,-0.034856183716560775,-0.0645123609226812,1751969484.449
2030,3.5146883729430405,17440,0.9973026128844344,-0.03672756446611311,-0.06354985713805662,1751969484.783
2031,3.5113455292416043,17320,0.9972975513816225,-0.038574235941677644,-0.06252697281762401,1751969485.118
2032,3.507998466975433,17447,0.9972925202221197,-0.04039398105739231,-0.06144880310753202,1751969485.452
2033,3.504669789659791,17412,0.9972871991948024,-0.04218802193538008,-0.0603192600034718,1751969485.783
2034,3.5013287541843297,17502,0.9972820763610545,-0.043953085576988564,-0.059131940922362056,1751969486.118
2035,3.4979874312567234,17594,0.997277092430142,-0.04568503486198366,-0.0578902280505218,1751969486.452
2036,3.494648177886437,17487,0.997272198573301,-0.04737978981049303,-0.05659785747082752,1751969486.783
2037,3.4912954019813336,17563,0.9972677013892925,-0.049032844999183964,-0.05525316169236608,1751969487.118
2038,3.4879565229409035,17510,0.9972631168757037,-0.05065075004453868,-0.05385886407344931,1751969487.452
2039,3.4846148782524016,17596,0.9972585673569248,-0.052232785909251504,-0.05241265027998746,1751969487.783
2040,3.481250814169384,17686,0.9972544267629957,-0.05376954306021526,-0.05091605386029611,1751969488.118
2041,3.477878519250494,17669,0.9972505121096878,-0.055260965799031225,-0.04937247974250007,1751969488.452
2042,3.4745059890784455,17740,0.9972467246288096,-0.05670241946737988,-0.04778918124070067,1751969488.787
2043,3.471124184486345,17784,0.9972431810481912,-0.05809301879483258,-0.04616534436336183,1751969489.121
2044,3.467743042893749,17663,0.9972397569031176,-0.059436531501404946,-0.04449905588766605,1751969489.456
2045,3.464372030230733,17772,0.9972362674005404,-0.06073260410891901,-0.04279459988348079,1751969489.789
2046,3.4610008034071607,17877,0.9972327332901064,-0.061979162202156636,-0.04105434334466823,1751969490.125
2047,3.457609709556445,17665,0.9972295091627625,-0.06317242538816212,-0.03927531954768649,1751969490.46
2048,3.4542218593579075,17870,0.9972261702030631,-0.06431692884180955,-0.03746062101045637,1751969490.793
2049,3.450838424725215,17867,0.9972226552825707,-0.06540974668628481,-0.03561658082431704,1751969491.129
2050,3.4474712748452303,17745,0.9972187503574336,-0.0664529298394586,-0.03374569678211758,1751969491.463
2051,3.444103021831663,18030,0.9972146755501596,-0.06744373887961747,-0.03184702424604109,1751969491.797
2052,3.4406970622147197,17891,0.997211071086379,-0.0683721048655179,-0.029922148636345184,1751969492.132
2053,3.437287716269035,17940,0.9972076158703606,-0.06924477884265258,-0.027966613187577663,1751969492.467
2054,3.430534669796822,18211,0.9971996281225519,-0.07083536418785512,-0.02398442937862103,1751969492.801
2055,3.427165294447585,18051,0.9971953995897456,-0.07154415572782062,-0.021972000779197476,1751969493.136
2056,3.4237772179429258,18146,0.9971914675473732,-0.07219031063227062,-0.01994332222906874,1751969493.468
2057,3.4203949956499176,18328,0.9971875476318351,-0.07277782236847602,-0.017899257507201033,1751969493.805
2058,3.4170322905212642,18127,0.9971834415590062,-0.0733090644128712,-0.015841873482814437,1751969494.139
2059,3.413686480041482,18210,0.9971792356718939,-0.07378365807229345,-0.013767488742985914,1751969494.472
2060,3.410350819524731,18386,0.99717507664729,-0.07419894410963099,-0.011678322074999236,1751969494.808
2061,3.4070162362034613,18132,0.9971711201702441,-0.07455260194641246,-0.009574269760165954,1751969495.143
2062,3.4036922084455576,18504,0.9971673043981165,-0.07484494981205624,-0.007456576092587456,1751969495.476
2063,3.4003868545242035,18318,0.9971634482489357,-0.07507759374489677,-0.00533032773555244,1751969495.812
