trajectory,rms_mm,rms_pa_mm,actual_t_mm,fo_err_deg,fd_err_deg
VI,126.21220590347328,53.5455943914692,181.9985815272385,33.79352488183347,14.225454822419106
VI,119.3204975301612,46.58517166280578,175.94615225493322,26.61614579849238,36.94789410684346
VI,114.20746488455984,40.23489812995039,167.9244982974671,16.097627136086935,73.59472528083789
VI,110.10578975171494,37.41472416527494,163.79764854702017,12.66976702057207,73.96332057905866
VI,106.14871707691206,35.71299092363887,158.0890801854044,6.4664200214030245,16.234319726438404
VI,111.94487791178642,39.80126208243285,165.8425097662203,16.054514321028055,26.57986128387039
VI,117.74409752221362,43.9649059643542,175.25620017956,28.3508422606014,11.515639788866437
VI,114.6671287862829,44.846119641811306,171.18548708368002,36.33817958773915,20.458811885402728
VI,108.2085711552921,39.65195441038511,164.58726881420571,22.7698191309108,16.011590281356554
VI,105.48348677866238,38.11908932285772,162.04456683290886,24.176859079169216,35.136166521282796
VI,98.5115289918932,32.75568445332123,154.74439026767334,10.536511757585531,45.354674582437774
VI,99.03568725617824,33.591481795421245,150.30226804290396,5.074204165943912,14.541932846719568
VI,105.49464652474532,38.14018406536462,155.293337532281,5.7573230662605415,9.31044604917437
VI,111.275638845607,40.40564701763974,161.47999343673138,16.113919058881564,26.138934079781016
VI,111.13789022963282,41.01777556106218,165.14152504063048,21.36797028490077,14.92433508938731
VI,113.94054226602618,44.23430950290975,169.6179632746749,32.02715180324997,14.078991211514365
VI,111.79842870174592,42.1458715715533,166.87569209280224,33.20962262624863,107.29193485593755
VI,102.08133893932202,34.88425576466478,159.37933167305215,21.11332423095687,18.369054655534303
VI,99.18443448511309,33.13275728132149,153.78881402244926,21.906850796215302,34.88815797463356
VI,99.72294464429608,33.522407221421645,155.79287544213216,19.9168602444222,19.225720055848015
VI,107.48624425847362,40.279177591067615,163.7602049006367,26.932443382361413,90.29132596172923
VI,111.68788750357716,40.03579590702763,168.0038120529935,23.32744979997141,95.26994891290691
VI,117.29434857727136,45.71117300063791,174.36388003897343,31.95717352936627,44.114552404812756
VI,114.90584603217162,42.73651492450771,169.67118740209332,26.628288075813092,16.237988643636882
VI,110.86623969033216,39.45249167896747,164.25550575097438,22.440181490435123,17.4035163419581
VI,100.52400566710006,33.502577639839046,153.59695335352347,6.9021782576929045,18.617977372753156
VI,100.01117676079448,33.89227239464869,151.96956508436267,4.517558781202265,13.819811720027092
VI,100.0036818849204,35.0708177266547,159.6882038736639,6.050023954582945,16.069554469167198
VI,100.8749432125803,36.01805672438319,162.18231189316606,13.829267624596044,7.418851340954562
VI,107.24208933154388,39.16294292366218,166.17138289563334,21.802307880674576,58.60197982004742
VI,109.62481127085034,39.58455894325492,165.1997416941915,23.973373515552048,46.680820317863116
VI,107.6578058231672,39.733634525401285,164.63944003923132,23.162038098190685,85.25990085970278
VI,104.97043011830472,38.52126432827813,165.9899953718237,24.417067042971038,17.14142510197402
VI,103.61132314638311,36.79593224280094,160.18447415064122,15.04601854554892,13.47438163379843
