traj,subset,kind,form,block,n,et_med,eR_med,g_gt_med
v,all(out-of-support extrapolation),p2p,huber,4,50,158.3733992410206,3.3264518697425425,0.04406587657217665
v,all(out-of-support extrapolation),p2p,huber,5,50,158.8167020546448,3.3008324859276588,0.047546478055789695
v,all(out-of-support extrapolation),p2p,huber,6,50,159.14134103970488,3.138875605284909,0.0460287238317046
v,all(out-of-support extrapolation),p2p,huber,7,50,160.68210301602932,3.0530242625361264,0.04568972020679555
v,all(out-of-support extrapolation),p2p,huber,8,50,159.9449455047341,2.7622293825149478,0.04294127857566375
v,all(out-of-support extrapolation),p2p,huber,9,50,164.53999640493583,2.7714962023432825,0.036021612897791405
v,all(out-of-support extrapolation),p2p,huber,10,50,163.38002944451975,2.8117572276786955,0.0304615567714702
v,all(out-of-support extrapolation),p2p,huber,11,50,164.47968847282743,2.789433344806657,0.0298043473172672
v,all(out-of-support extrapolation),p2p,huber,12,50,165.47375020499135,2.8907293877420726,0.0298003076283352
v,all(out-of-support extrapolation),p2p,huber,13,50,166.46635970704688,2.425382239771936,0.027984366362548148
v,all(out-of-support extrapolation),p2p,huber,14,50,168.03569464831043,2.536124344119222,0.028675239735744748
v,all(out-of-support extrapolation),p2p,huber,15,50,168.19005736284333,2.4512730940441627,0.0269155065241891
v,all(out-of-support extrapolation),p2p,huber,16,50,169.8917609004941,2.191651812458059,0.027462648753777102
v,all(out-of-support extrapolation),p2p,huber,17,50,170.42853687444807,2.172719759870801,0.02614514979022945
v,all(out-of-support extrapolation),p2p,huber,18,50,167.94347575548386,2.651438177932321,0.02724003403536185
v,all(out-of-support extrapolation),p2p,huber,19,50,167.7807793666957,2.2386055741030644,0.0279211162658277
v,all(out-of-support extrapolation),p2p,huber,20,50,166.54915253179627,1.5213484777704651,0.0225198292697589
v,all(out-of-support extrapolation),p2p,huber,21,50,170.3069356847839,2.0565712294395944,0.02389426239712675
v,all(out-of-support extrapolation),p2p,huber,22,50,170.72877472167121,2.5905484988534093,0.02416125238032175
v,all(out-of-support extrapolation),p2p,huber,23,50,171.0294709724542,1.8136037853756712,0.0258000969223644
v,all(out-of-support extrapolation),p2p,huber,24,50,172.28016643040922,2.0327318156964753,0.030542185757477802
v,all(out-of-support extrapolation),p2p,huber,25,50,172.92100059564413,2.3132552396414336,0.03300665735462315
v,all(out-of-support extrapolation),p2p,huber,26,50,172.63426876558594,1.4020503513690934,0.03266553922510175
v,all(out-of-support extrapolation),p2p,huber,27,50,176.0700556584939,1.342039060631857,0.034809739734712145
v,all(out-of-support extrapolation),p2p,huber,28,50,174.7326817890202,1.49572464614956,0.031195140394236
v,all(out-of-support extrapolation),p2p,huber,29,50,177.29458121575513,1.0408556365591488,0.03054577635627155
v,all(out-of-support extrapolation),p2p,huber,30,50,179.3817301748423,0.9049444487973151,0.02967464209349055
v,all(out-of-support extrapolation),p2p,huber,31,50,180.75998520498524,1.6767606653177238,0.0283316282102168
v,all(out-of-support extrapolation),p2p,huber,32,50,182.94419466604518,1.359695336824584,0.03071784390467905
v,all(out-of-support extrapolation),p2p,huber,33,50,184.8783786008807,1.4151493388786114,0.030988954331782
v,all(out-of-support extrapolation),p2p,huber,34,50,185.58483308813064,2.256917440273382,0.031461682173360594
v,all(out-of-support extrapolation),p2p,huber,35,50,187.4228683463263,2.2358325257191645,0.033595403228437404
v,all(out-of-support extrapolation),p2p,huber,36,50,186.37069230707812,2.070627563215826,0.033683042618742956
v,all(out-of-support extrapolation),p2p,huber,37,18,187.74554940449332,2.861243253542741,0.032967690714506295
v,all(out-of-support extrapolation),p2p,trim,0,50,152.7164555318614,3.5487737258164476,0.09584183251935385
v,all(out-of-support extrapolation),p2p,trim,1,50,156.0494078639724,3.0021947155121476,0.10211160899604416
v,all(out-of-support extrapolation),p2p,trim,2,50,156.51599582754164,4.364923370221696,0.0778027969868121
v,all(out-of-support extrapolation),p2p,trim,3,50,157.55244685196035,3.76061026863832,0.08289601067652305
v,all(out-of-support extrapolation),p2p,trim,4,50,158.3973371853303,4.138076238363658,0.07851047789684634
v,all(out-of-support extrapolation),p2p,trim,5,50,157.92575801619708,3.945490998358867,0.0736621712089961
v,all(out-of-support extrapolation),p2p,trim,6,50,159.07101371906228,3.8655921917134846,0.07252389340517504
v,all(out-of-support extrapolation),p2p,trim,7,50,161.1095323472977,3.6680026625949083,0.06213025687600085
v,all(out-of-support extrapolation),p2p,trim,8,50,161.20329588660042,3.4462249505230806,0.05784393859837305
v,all(out-of-support extrapolation),p2p,trim,9,50,165.78097782610575,3.1850000105440843,0.0552439343278046
v,all(out-of-support extrapolation),p2p,trim,10,50,164.4243281780391,2.5281104817015403,0.050669927873012846
v,all(out-of-support extrapolation),p2p,trim,11,50,163.77595334623,2.601449849200474,0.040524490482372055
v,all(out-of-support extrapolation),p2p,trim,12,50,163.7917603128618,2.5203193623392264,0.041974033437356395
v,all(out-of-support extrapolation),p2p,trim,13,50,165.06978043799307,2.339299050213458,0.03695112575442895
v,all(out-of-support extrapolation),p2p,trim,14,50,165.80660705259714,2.2377815032262696,0.0401140818884854
v,all(out-of-support extrapolation),p2p,trim,15,50,167.12891981903363,2.493491847170898,0.0336540077214459
v,all(out-of-support extrapolation),p2p,trim,16,50,168.4792976871455,1.9092205493615304,0.0386170273656295
v,all(out-of-support extrapolation),p2p,trim,17,50,168.35948966450178,1.7222296337748875,0.03284466927923165
v,all(out-of-support extrapolation),p2p,trim,18,50,168.3738783684288,2.6241333254140433,0.04810952043848895
v,all(out-of-support extrapolation),p2p,trim,19,50,169.3168185787029,2.246384008661913,0.0527963206068746
v,all(out-of-support extrapolation),p2p,trim,20,50,169.85557942002765,1.521950292587218,0.0457395223843112
v,all(out-of-support extrapolation),p2p,trim,21,50,173.42792133375602,1.7629731205661825,0.04743024453743685
v,all(out-of-support extrapolation),p2p,trim,22,50,176.20134743595884,2.5624066992392103,0.04704087577099435
v,all(out-of-support extrapolation),p2p,trim,23,50,177.30234717620635,1.717470924036543,0.0445281705405995
v,all(out-of-support extrapolation),p2p,trim,24,50,173.94455139726873,2.1075962263081776,0.0601498438263548
v,all(out-of-support extrapolation),p2p,trim,25,50,177.03423743399765,2.333416281381721,0.06352950339957045
v,all(out-of-support extrapolation),p2p,trim,26,50,175.66633357916203,1.291692678720639,0.061200123387156094
v,all(out-of-support extrapolation),p2p,trim,27,50,177.47632817200162,1.2970510740596803,0.06368493098912635
v,all(out-of-support extrapolation),p2p,trim,28,50,177.7294016562381,1.410657761478289,0.0587003909441418
v,all(out-of-support extrapolation),p2p,trim,29,50,178.3809591405662,0.9832500437834859,0.054323458405708194
v,all(out-of-support extrapolation),p2p,trim,30,50,180.02506947192512,0.8550182890071693,0.05466479986248665
