trajectory,order,scan,arm,et_mm,eR_deg,iters,on_bound,n_points,wmean,sumw,ess_w,keep_ratio,n_retain,block,in_support
III,180,180,PatchHuber,51.69034299353737,2.297745408456295,40,0,10296,0.783051704557459,8062.300350123597,9052.639678676393,,10296,0,True
III,180,180,PatchTrim,53.361631238622124,2.8219324144367954,40,0,10296,0.800019425019425,8237.0,8237.0,0.800019425019425,8237,0,True
III,180,180,Full,42.86468959861002,2.2087646822861053,40,0,10296,1.0,10296.0,10296.0,1.0,10296,0,True
III,181,181,Raw,77.64303729151668,1.6169391249063425,39,0,10344,1.0,10344.0,10344.0,1.0,10344,0,True
III,181,181,Huber,61.083668570450904,1.2879995839008305,40,0,10344,0.7447310784922913,7703.498275924261,8776.795163409626,,10344,0,True
III,181,181,Trim,59.505670697785845,1.207233500942431,40,0,10344,0.7999806651198763,8275.0,8275.0,0.7999806651198763,8275,0,True
III,181,181,Patch,59.20708575885007,2.005824246317358,40,0,10344,1.0,10344.0,10344.0,1.0,10344,0,True
III,181,181,PatchHuber,52.42072919300579,2.398262620451253,40,0,10344,0.7802654940060834,8071.066269998926,9072.126653846966,,10344,0,True
III,181,181,PatchTrim,54.87626334105986,2.926571466013196,40,0,10344,0.7999806651198763,8275.0,8275.0,0.7999806651198763,8275,0,True
III,181,181,Full,44.258638405549405,2.1990526287951306,40,0,10344,1.0,10344.0,10344.0,1.0,10344,0,True
III,182,182,Raw,78.18243444659313,1.7976254438806456,40,0,10375,1.0,10375.0,10375.0,1.0,10375,0,True
III,182,182,Huber,61.726893122766505,1.3546518833783183,40,0,10375,0.7460332069736243,7740.094522351352,8802.231059934253,,10375,0,True
III,182,182,Trim,59.874986933569296,1.3181824303739713,40,0,10375,0.8,8300.0,8300.0,0.8,8300,0,True
III,182,182,Patch,61.01760695654308,2.08344139143471,40,0,10375,1.0,10375.0,10375.0,1.0,10375,0,True
III,182,182,PatchHuber,52.93132128136656,2.629325855394765,40,0,10375,0.7862628130744469,8157.476685647387,9145.089846982199,,10375,0,True
III,182,182,PatchTrim,55.422862459426526,3.001336827540155,40,0,10375,0.8,8300.0,8300.0,0.8,8300,0,True
III,182,182,Full,44.674745942089864,2.187331400176255,24,0,10375,1.0,10375.0,10375.0,1.0,10375,0,True
III,183,183,Raw,78.19433834073138,1.8713434746203683,40,0,10436,1.0,10436.0,10436.0,1.0,10436,0,True
III,183,183,Huber,60.328935874668524,1.2681048751893367,40,0,10436,0.7515962209831992,7843.658162180667,8874.7820173092,,10436,0,True
III,183,183,Trim,59.219523091099894,1.256132113555934,40,0,10436,0.8000191644308164,8349.0,8349.0,0.8000191644308164,8349,0,True
III,183,183,Patch,60.76518223607085,2.6512447376424304,40,0,10436,1.0,10436.0,10436.0,1.0,10436,0,True
III,183,183,PatchHuber,50.94569739525672,2.943646672331625,23,0,10436,0.7893853736138136,8238.025759033759,9208.504929894207,,10436,0,True
III,183,183,PatchTrim,55.036113146267446,3.0267237024902065,40,0,10436,0.8000191644308164,8349.0,8349.0,0.8000191644308164,8349,0,True
III,183,183,Full,44.675054874223804,2.1528379144314713,21,0,10436,1.0,10436.0,10436.0,1.0,10436,0,True
III,184,184,Raw,76.72789219920529,1.6780273628981994,40,0,10363,1.0,10363.0,10363.0,1.0,10363,0,True
III,184,184,Huber,59.45192636022919,1.300480046116545,40,0,10363,0.7533291901186001,7806.750397199053,8836.467630831321,,10363,0,True
III,184,184,Trim,58.01464847444683,1.3034757397580432,40,0,10363,0.7999614011386664,8290.0,8290.0,0.7999614011386664,8290,0,True
III,184,184,Patch,60.24065333942255,2.492703051986227,40,0,10363,1.0,10363.0,10363.0,1.0,10363,0,True
III,184,184,PatchHuber,53.73028514551683,2.687882754526484,40,0,10363,0.7834866468814956,8119.272121632939,9104.525146422058,,10363,0,True
III,184,184,PatchTrim,56.21172479592888,3.150603529393969,40,0,10363,0.7999614011386664,8290.0,8290.0,0.7999614011386664,8290,0,True
III,184,184,Full,46.62144091636348,2.2589078772197477,17,0,10363,1.0,10363.0,10363.0,1.0,10363,0,True
III,185,185,Raw,77.8988565290626,1.781285657566713,40,0,10414,1.0,10414.0,10414.0,1.0,10414,0,True
III,185,185,Huber,58.78713682900249,1.4088208412975372,40,0,10414,0.7468694610215494,7777.898567078415,8809.018463662198,,10414,0,True
III,185,185,Trim,57.42515745962199,1.4102827570719896,40,0,10414,0.7999807950835414,8331.0,8331.0,0.7999807950835414,8331,0,True
III,185,185,Patch,60.065801905967945,2.517449889485902,40,0,10414,1.0,10414.0,10414.0,1.0,10414,0,True
