traj,scan,ptype,magnitude,axis,et_mm,eR_deg,dir_cos
vi,9,rotation,0.25,"[0.0, 0.0, 1.0]",78.40855767093439,5.161679843502777,0.9999999999998375
vi,9,rotation,0.5,"[0.0, 0.0, 1.0]",78.40855767093515,5.161679843502779,0.9999999999998375
vi,9,rotation,1.0,"[0.0, 0.0, 1.0]",78.40855767093439,5.161679843502777,0.9999999999998375
vi,9,rotation,2.0,"[0.0, 0.0, 1.0]",78.40855767093458,5.1616798435027835,0.9999999999998375
vi,9,combined,25.0,"[0.0, 0.0, 1.0]",78.41568974437322,5.161455848845825,0.9999999987206238
vi,9,combined,50.0,"[0.0, 0.0, 1.0]",78.41628969896178,5.162048816836865,0.9999999971302418
vi,9,combined,100.0,"[0.0, 0.0, 1.0]",78.41987397849516,5.162022266311169,0.9999999742530509
vi,12,oracle,0.0,all,69.40976246071322,3.5698988757788404,1.0
vi,12,translation,10.0,"[1.0, 0.0, 0.0]",69.41575141852105,3.5692328893551504,0.9999999988364862
vi,12,translation,25.0,"[1.0, 0.0, 0.0]",69.43967290499856,3.568582446224469,0.9999999949003792
vi,12,translation,50.0,"[1.0, 0.0, 0.0]",69.4534068276527,3.5676562171225012,0.9999999232117063
vi,12,translation,100.0,"[1.0, 0.0, 0.0]",70.0407076116274,3.5885928475924382,0.999917680816592
vi,12,rotation,0.25,"[1.0, 0.0, 0.0]",69.40976246071365,3.569898875778846,0.9999999999997923
vi,12,rotation,0.5,"[1.0, 0.0, 0.0]",69.40976246071352,3.569898875778841,0.9999999999997924
vi,12,rotation,1.0,"[1.0, 0.0, 0.0]",69.40976246071365,3.569898875778846,0.9999999999997923
vi,12,rotation,2.0,"[1.0, 0.0, 0.0]",69.40976246071365,3.569898875778846,0.9999999999997923
vi,12,combined,25.0,"[1.0, 0.0, 0.0]",69.43967290499799,3.568582446224485,0.9999999949003793
vi,12,combined,50.0,"[1.0, 0.0, 0.0]",69.45340682765469,3.5676562171224786,0.999999923211706
vi,12,combined,100.0,"[1.0, 0.0, 0.0]",70.04070761162687,3.588592847592433,0.9999176808165918
vi,12,translation,10.0,"[0.0, 1.0, 0.0]",69.41378962579648,3.570531492400732,0.999999953603153
vi,12,translation,25.0,"[0.0, 1.0, 0.0]",69.77475429504806,3.5984736972014684,0.9998995142979712
vi,12,translation,50.0,"[0.0, 1.0, 0.0]",69.78702021225253,3.6010353985558186,0.9998893266528647
vi,12,translation,100.0,"[0.0, 1.0, 0.0]",69.75163855377234,3.6424505520048776,0.9998802650900162
vi,12,rotation,0.25,"[0.0, 1.0, 0.0]",69.40976246071313,3.5698988757788466,0.9999999999997924
vi,12,rotation,0.5,"[0.0, 1.0, 0.0]",69.40976246071367,3.569898875778831,0.9999999999997924
vi,12,rotation,1.0,"[0.0, 1.0, 0.0]",69.40976246071301,3.569898875778844,0.9999999999997923
vi,12,rotation,2.0,"[0.0, 1.0, 0.0]",69.4097624607138,3.569898875778838,0.9999999999997923
vi,12,combined,25.0,"[0.0, 1.0, 0.0]",69.77475429504706,3.5984736972014706,0.9998995142979707
vi,12,combined,50.0,"[0.0, 1.0, 0.0]",69.78702021225318,3.6010353985558194,0.9998893266528647
vi,12,combined,100.0,"[0.0, 1.0, 0.0]",69.75163855377274,3.642450552004883,0.9998802650900162
vi,12,translation,10.0,"[0.0, 0.0, 1.0]",69.40846641771675,3.5697982786464166,0.9999999995217203
vi,12,translation,25.0,"[0.0, 0.0, 1.0]",69.40596957421208,3.5696129154947194,0.9999999999245589
vi,12,translation,50.0,"[0.0, 0.0, 1.0]",69.40373544180582,3.5694913391056358,0.9999999979941213
vi,12,translation,100.0,"[0.0, 0.0, 1.0]",69.39382259341949,3.5693156989677095,0.9999999826373855
vi,12,rotation,0.25,"[0.0, 0.0, 1.0]",69.40976246071267,3.5698988757788443,0.9999999999997924
vi,12,rotation,0.5,"[0.0, 0.0, 1.0]",69.40976246071322,3.5698988757788404,0.9999999999997924
vi,12,rotation,1.0,"[0.0, 0.0, 1.0]",69.40976246071301,3.569898875778844,0.9999999999997923
vi,12,rotation,2.0,"[0.0, 0.0, 1.0]",69.40976246071301,3.569898875778844,0.9999999999997923
vi,12,combined,25.0,"[0.0, 0.0, 1.0]",69.40596957421208,3.5696129154947194,0.9999999999245589
vi,12,combined,50.0,"[0.0, 0.0, 1.0]",69.40373544180733,3.5694913391056406,0.9999999979941213
vi,12,combined,100.0,"[0.0, 0.0, 1.0]",69.39382259341805,3.569315698967715,0.9999999826373855
vi,15,oracle,0.0,all,85.03862691925892,3.6736489625466073,1.0
vi,15,translation,10.0,"[1.0, 0.0, 0.0]",85.03909718701414,3.6699482202049643,0.9999992179533936
vi,15,translation,25.0,"[1.0, 0.0, 0.0]",85.05726212715624,3.6620659650529146,0.9999963854013831
vi,15,translation,50.0,"[1.0, 0.0, 0.0]",85.1226007556613,3.6590944786300335,0.9999941461284277
vi,15,translation,100.0,"[1.0, 0.0, 0.0]",86.87888103876101,3.492374794194236,0.9995887656498604
vi,15,rotation,0.25,"[1.0, 0.0, 0.0]",85.03862691925892,3.6736489625466073,0.9999999999998617
vi,15,rotation,0.5,"[1.0, 0.0, 0.0]",85.03862691925892,3.6736489625466073,0.9999999999998617
vi,15,rotation,1.0,"[1.0, 0.0, 0.0]",85.03862691925892,3.6736489625466073,0.9999999999998617
vi,15,rotation,2.0,"[1.0, 0.0, 0.0]",85.03862691925892,3.6736489625466073,0.9999999999998617
vi,15,combined,25.0,"[1.0, 0.0, 0.0]",85.05726212715643,3.6620659650529057,0.9999963854013831
vi,15,combined,50.0,"[1.0, 0.0, 0.0]",85.1226007556613,3.6590944786300335,0.9999941461284277
vi,15,combined,100.0,"[1.0, 0.0, 0.0]",86.87888103876101,3.492374794194236,0.9995887656498604
vi,15,translation,10.0,"[0.0, 1.0, 0.0]",85.01971572812066,3.670666290345367,0.9999998710914263
vi,15,translation,25.0,"[0.0, 1.0, 0.0]",85.01904841312393,3.6769674188154338,0.9999997782569835
vi,15,translation,50.0,"[0.0, 1.0, 0.0]",84.95882329884401,3.701118828656663,0.999996834089808
vi,15,translation,100.0,"[0.0, 1.0, 0.0]",84.89569008447994,3.7088212595561827,0.9999926258567721
vi,15,rotation,0.25,"[0.0, 1.0, 0.0]",85.03862691925909,3.6736489625465953,0.9999999999998617
vi,15,rotation,0.5,"[0.0, 1.0, 0.0]",85.03862691925828,3.673648962546636,0.9999999999998616
vi,15,rotation,1.0,"[0.0, 1.0, 0.0]",85.03862691925896,3.6736489625466064,0.9999999999998617
vi,15,rotation,2.0,"[0.0, 1.0, 0.0]",85.0386269192582,3.673648962546617,0.9999999999998616
vi,15,combined,25.0,"[0.0, 1.0, 0.0]",85.01904841312387,3.6769674188154435,0.9999997782569835
vi,15,combined,50.0,"[0.0, 1.0, 0.0]",84.95882329884444,3.70111882865664,0.9999968340898081
vi,15,combined,100.0,"[0.0, 1.0, 0.0]",84.8956900844793,3.70882125955618,0.9999926258567722
vi,15,translation,10.0,"[0.0, 0.0, 1.0]",85.03827397247584,3.6737407864280214,0.999999998283128
vi,15,translation,25.0,"[0.0, 0.0, 1.0]",85.03813976181578,3.673522766900575,0.9999999627566392
vi,15,translation,50.0,"[0.0, 0.0, 1.0]",85.04315845457027,3.673038184693519,0.9999999516822424
vi,15,translation,100.0,"[0.0, 0.0, 1.0]",85.05457143628779,3.6992151936027273,0.9999989193453067
vi,15,rotation,0.25,"[0.0, 0.0, 1.0]",85.03862691925835,3.6736489625466193,0.9999999999998617
vi,15,rotation,0.5,"[0.0, 0.0, 1.0]",85.03862691925835,3.6736489625466193,0.9999999999998617
vi,15,rotation,1.0,"[0.0, 0.0, 1.0]",85.03862691925855,3.6736489625466042,0.9999999999998616
vi,15,rotation,2.0,"[0.0, 0.0, 1.0]",85.03862691925872,3.6736489625466184,0.9999999999998616
vi,15,combined,25.0,"[0.0, 0.0, 1.0]",85.03813976181577,3.6735227669005877,0.9999999627566392
vi,15,combined,50.0,"[0.0, 0.0, 1.0]",85.04315845457076,3.673038184693527,0.9999999516822425
vi,15,combined,100.0,"[0.0, 0.0, 1.0]",85.05457143628891,3.699215193602728,0.9999989193453066
vi,18,oracle,0.0,all,85.00591876957415,2.668875145396649,1.0
vi,18,translation,10.0,"[1.0, 0.0, 0.0]",84.98900712588302,2.669378268271584,0.9999999799428819
vi,18,translation,25.0,"[1.0, 0.0, 0.0]",84.97260566801639,2.6699925758693426,0.9999999423986877
vi,18,translation,50.0,"[1.0, 0.0, 0.0]",84.3900356744833,2.559951325007438,0.9997335123372705
vi,18,translation,100.0,"[1.0, 0.0, 0.0]",84.44299048861811,2.566343919255778,0.9997218559766582
vi,18,rotation,0.25,"[1.0, 0.0, 0.0]",85.00591876957303,2.6688751453966555,0.9999999999998617
vi,18,rotation,0.5,"[1.0, 0.0, 0.0]",85.00591876957415,2.668875145396649,0.9999999999998617
