traj,scan,ptype,magnitude,axis,et_mm,eR_deg,dir_cos
iv,221,translation,50.0,"[1.0, 0.0, 0.0]",70.33410610929808,1.4528240204744016,0.9999999952193597
iv,221,translation,100.0,"[1.0, 0.0, 0.0]",70.35132343880852,1.45230829118472,0.9999999560048748
iv,221,rotation,0.25,"[1.0, 0.0, 0.0]",70.31792128300789,1.4517295786167086,0.9999999999997977
iv,221,rotation,0.5,"[1.0, 0.0, 0.0]",70.31792128300776,1.4517295786167705,0.9999999999997977
iv,221,rotation,1.0,"[1.0, 0.0, 0.0]",70.31792128300776,1.4517295786167705,0.9999999999997977
iv,221,rotation,2.0,"[1.0, 0.0, 0.0]",70.31792128300789,1.4517295786167086,0.9999999999997977
iv,221,combined,25.0,"[1.0, 0.0, 0.0]",70.33177382466877,1.4529599213333044,0.9999999988771148
iv,221,combined,50.0,"[1.0, 0.0, 0.0]",70.33410610929808,1.4528240204744016,0.9999999952193597
iv,221,combined,100.0,"[1.0, 0.0, 0.0]",70.35132343880913,1.452308291184726,0.999999956004875
iv,221,translation,10.0,"[0.0, 1.0, 0.0]",70.29643209494591,1.4518945834756607,0.9999999707463572
iv,221,translation,25.0,"[0.0, 1.0, 0.0]",70.30112384472994,1.453492114065824,0.9999999480046666
iv,221,translation,50.0,"[0.0, 1.0, 0.0]",70.0937658046616,1.4952581276316934,0.9986748450471362
iv,221,translation,100.0,"[0.0, 1.0, 0.0]",70.09615089118297,1.4940250173014171,0.9986535866012772
iv,221,rotation,0.25,"[0.0, 1.0, 0.0]",70.31792128300776,1.4517295786167705,0.9999999999997977
iv,221,rotation,0.5,"[0.0, 1.0, 0.0]",70.31792128300835,1.45172957861671,0.9999999999997977
iv,221,rotation,1.0,"[0.0, 1.0, 0.0]",70.31792128300796,1.4517295786167248,0.9999999999997976
iv,221,rotation,2.0,"[0.0, 1.0, 0.0]",70.31792128300776,1.4517295786167705,0.9999999999997977
iv,221,combined,25.0,"[0.0, 1.0, 0.0]",70.30112384472973,1.4534921140658212,0.9999999480046666
iv,221,combined,50.0,"[0.0, 1.0, 0.0]",70.09376580466137,1.495258127631686,0.9986748450471364
iv,221,combined,100.0,"[0.0, 1.0, 0.0]",70.09615089118297,1.4940250173014171,0.9986535866012772
iv,221,translation,10.0,"[0.0, 0.0, 1.0]",70.33592365983016,1.453364124177314,0.9999999884653219
iv,221,translation,25.0,"[0.0, 0.0, 1.0]",70.31903298218533,1.4517136817378349,0.9999999996451339
iv,221,translation,50.0,"[0.0, 0.0, 1.0]",70.32470130056043,1.4533848977057395,0.9999999992668489
iv,221,translation,100.0,"[0.0, 0.0, 1.0]",70.33267897599099,1.4528504184569824,0.9999999964732603
iv,221,rotation,0.25,"[0.0, 0.0, 1.0]",70.3179212830074,1.4517295786167406,0.9999999999997976
iv,221,rotation,0.5,"[0.0, 0.0, 1.0]",70.31792128300835,1.45172957861671,0.9999999999997977
iv,221,rotation,1.0,"[0.0, 0.0, 1.0]",70.31792128300776,1.4517295786167705,0.9999999999997977
iv,221,rotation,2.0,"[0.0, 0.0, 1.0]",70.31792128300792,1.451729578616788,0.9999999999997976
iv,221,combined,25.0,"[0.0, 0.0, 1.0]",70.31903298218538,1.4517136817378227,0.9999999996451339
iv,221,combined,50.0,"[0.0, 0.0, 1.0]",70.32470130056043,1.4533848977057395,0.9999999992668489
iv,221,combined,100.0,"[0.0, 0.0, 1.0]",70.33267897599094,1.4528504184569686,0.9999999964732603
iv,222,oracle,0.0,all,77.55251648589864,1.8110316177630617,1.0
iv,222,translation,10.0,"[1.0, 0.0, 0.0]",77.55912413782079,1.8113217514081492,0.9999999978928679
iv,222,translation,25.0,"[1.0, 0.0, 0.0]",77.55822476741088,1.8103292801195854,0.9999999978505862
iv,222,translation,50.0,"[1.0, 0.0, 0.0]",77.45076460678362,1.8036923858344516,0.9999988916666266
iv,222,translation,100.0,"[1.0, 0.0, 0.0]",77.4556885055012,1.8033396131738384,0.9999984609793968
iv,222,rotation,0.25,"[1.0, 0.0, 0.0]",77.5525164858986,1.8110316177630255,0.9999999999998337
iv,222,rotation,0.5,"[1.0, 0.0, 0.0]",77.55251648589883,1.8110316177630437,0.9999999999998337
iv,222,rotation,1.0,"[1.0, 0.0, 0.0]",77.5525164858986,1.8110316177630255,0.9999999999998337
iv,222,rotation,2.0,"[1.0, 0.0, 0.0]",77.55251648589869,1.8110316177630643,0.9999999999998336
iv,222,combined,25.0,"[1.0, 0.0, 0.0]",77.5582247674113,1.8103292801195532,0.9999999978505859
iv,222,combined,50.0,"[1.0, 0.0, 0.0]",77.45076460678362,1.8036923858344516,0.9999988916666266
