traj,scan,ptype,magnitude,axis,et_mm,eR_deg,dir_cos
v,1729,rotation,2.0,"[1.0, 0.0, 0.0]",109.05552501018744,2.3459707903456013,0.999999999999916
v,1729,combined,25.0,"[1.0, 0.0, 0.0]",109.05302823738396,2.3458855521529194,0.9999999988854655
v,1729,combined,50.0,"[1.0, 0.0, 0.0]",109.05636455316571,2.3447364752778954,0.9999999977777668
v,1729,combined,100.0,"[1.0, 0.0, 0.0]",109.05388009402033,2.345004499614143,0.9999999957205092
v,1729,translation,10.0,"[0.0, 1.0, 0.0]",109.06452913310272,2.345824811680559,0.9999999986975314
v,1729,translation,25.0,"[0.0, 1.0, 0.0]",109.0740046029498,2.347159457224064,0.9999999673332614
v,1729,translation,50.0,"[0.0, 1.0, 0.0]",109.07480361659566,2.3456514438533285,0.9999998900034734
v,1729,translation,100.0,"[0.0, 1.0, 0.0]",109.07623666524,2.34604575740494,0.9999997773538865
v,1729,rotation,0.25,"[0.0, 1.0, 0.0]",109.05552501018744,2.3459707903456013,0.999999999999916
v,1729,rotation,0.5,"[0.0, 1.0, 0.0]",109.05552501018744,2.3459707903456013,0.999999999999916
v,1729,rotation,1.0,"[0.0, 1.0, 0.0]",109.05552501018744,2.3459707903456013,0.999999999999916
v,1729,rotation,2.0,"[0.0, 1.0, 0.0]",109.05552501018744,2.3459707903456013,0.999999999999916
v,1729,combined,25.0,"[0.0, 1.0, 0.0]",109.0740046029498,2.347159457224064,0.9999999673332614
v,1729,combined,50.0,"[0.0, 1.0, 0.0]",109.07480361659566,2.3456514438533285,0.9999998900034734
v,1729,combined,100.0,"[0.0, 1.0, 0.0]",109.07623666524,2.34604575740494,0.9999997773538865
v,1729,translation,10.0,"[0.0, 0.0, 1.0]",109.06021363171382,2.3471542066842224,0.9999999950674644
v,1729,translation,25.0,"[0.0, 0.0, 1.0]",109.0511174662158,2.3458806131894687,0.9999999992503487
v,1729,translation,50.0,"[0.0, 0.0, 1.0]",109.05158313056135,2.3449675352575574,0.9999999943901271
v,1729,translation,100.0,"[0.0, 0.0, 1.0]",109.05404364545144,2.344785200477118,0.9999999975497437
v,1729,rotation,0.25,"[0.0, 0.0, 1.0]",109.05552501018744,2.3459707903456013,0.999999999999916
v,1729,rotation,0.5,"[0.0, 0.0, 1.0]",109.05552501018744,2.3459707903456013,0.999999999999916
v,1729,rotation,1.0,"[0.0, 0.0, 1.0]",109.05552501018744,2.3459707903456013,0.999999999999916
v,1729,rotation,2.0,"[0.0, 0.0, 1.0]",109.05552501018744,2.3459707903456013,0.999999999999916
v,1729,combined,25.0,"[0.0, 0.0, 1.0]",109.0511174662158,2.3458806131894687,0.9999999992503487
v,1729,combined,50.0,"[0.0, 0.0, 1.0]",109.05158313056135,2.3449675352575574,0.9999999943901271
v,1729,combined,100.0,"[0.0, 0.0, 1.0]",109.05404364545144,2.344785200477118,0.9999999975497437
v,1742,oracle,0.0,all,142.32848385192284,3.4899569980158183,1.0
v,1742,translation,10.0,"[1.0, 0.0, 0.0]",142.30967081264433,3.4912319618583747,0.9999999858070242
v,1742,translation,25.0,"[1.0, 0.0, 0.0]",142.30558869200195,3.4893384266301024,0.999999998024733
v,1742,translation,50.0,"[1.0, 0.0, 0.0]",142.3000357484671,3.4900294472574163,0.9999999902215968
v,1742,translation,100.0,"[1.0, 0.0, 0.0]",142.29892162422,3.490946672482749,0.9999999729229488
v,1742,rotation,0.25,"[1.0, 0.0, 0.0]",142.3284838519235,3.489956998015829,0.9999999999999505
v,1742,rotation,0.5,"[1.0, 0.0, 0.0]",142.32848385192284,3.4899569980158183,0.9999999999999505
v,1742,rotation,1.0,"[1.0, 0.0, 0.0]",142.3284838519235,3.489956998015829,0.9999999999999505
v,1742,rotation,2.0,"[1.0, 0.0, 0.0]",142.3284838519235,3.489956998015829,0.9999999999999505
v,1742,combined,25.0,"[1.0, 0.0, 0.0]",142.30558869200198,3.4893384266300944,0.9999999980247334
v,1742,combined,50.0,"[1.0, 0.0, 0.0]",142.3000357484671,3.4900294472574163,0.9999999902215968
v,1742,combined,100.0,"[1.0, 0.0, 0.0]",142.29892162421976,3.490946672482747,0.9999999729229488
v,1742,translation,10.0,"[0.0, 1.0, 0.0]",142.32086706036452,3.4918958782671226,0.9999999994164068
v,1742,translation,25.0,"[0.0, 1.0, 0.0]",142.3294535791686,3.490628012813139,0.9999999988286573
v,1742,translation,50.0,"[0.0, 1.0, 0.0]",142.33510339893493,3.491396066856262,0.9999999979611617
v,1742,translation,100.0,"[0.0, 1.0, 0.0]",142.33771053090712,3.4910958668667993,0.9999999979774313
v,1742,rotation,0.25,"[0.0, 1.0, 0.0]",142.3284838519235,3.489956998015829,0.9999999999999505
v,1742,rotation,0.5,"[0.0, 1.0, 0.0]",142.32848385192284,3.4899569980158183,0.9999999999999505
v,1742,rotation,1.0,"[0.0, 1.0, 0.0]",142.3284838519235,3.489956998015829,0.9999999999999505
v,1742,rotation,2.0,"[0.0, 1.0, 0.0]",142.3284838519235,3.489956998015829,0.9999999999999505
v,1742,combined,25.0,"[0.0, 1.0, 0.0]",142.3294535791686,3.490628012813139,0.9999999988286573
v,1742,combined,50.0,"[0.0, 1.0, 0.0]",142.33510339893493,3.491396066856262,0.9999999979611617
v,1742,combined,100.0,"[0.0, 1.0, 0.0]",142.3377105309076,3.4910958668668095,0.9999999979774313
