name,method,flag,crc,csize,usize,lho
epos_dataset_iii/0458.3d,8,8,2654836481,69593,243213,31453146
epos_dataset_iii/0458.pose,8,8,2331695100,63,87,31522841
epos_dataset_iii/0459.3d,8,8,1610758613,68837,240556,31523008
epos_dataset_iii/0459.pose,8,8,3797829647,62,87,31591947
epos_dataset_iii/0460.3d,8,8,934200976,69249,242314,31592113
epos_dataset_iii/0460.pose,8,8,1842284970,63,87,31661464
epos_dataset_iii/0461.3d,8,8,1472121045,69087,241968,31661631
epos_dataset_iii/0461.pose,8,8,3107581414,64,87,31730820
epos_dataset_iii/0462.3d,8,8,2941378053,68798,241220,31730988
epos_dataset_iii/0462.pose,8,8,3381153574,63,87,31799888
epos_dataset_iii/0463.3d,8,8,3093560058,68706,240452,31800055
epos_dataset_iii/0463.pose,8,8,1836982346,61,87,31868863
epos_dataset_iii/0464.3d,8,8,1569858722,69143,242330,31869028
epos_dataset_iii/0464.pose,8,8,1304198251,62,87,31938273
epos_dataset_iii/0465.3d,8,8,888404584,67848,237593,31938439
epos_dataset_iii/0465.pose,8,8,1764235088,63,87,32006389
epos_dataset_iii/0466.3d,8,8,3376196823,66917,234311,32006556
epos_dataset_iii/0466.pose,8,8,3631211144,63,87,32073575
epos_dataset_iii/0467.3d,8,8,1407066575,66387,231916,32073742
epos_dataset_iii/0467.pose,8,8,4066061791,63,87,32140231
epos_dataset_iii/0468.3d,8,8,2055404644,66054,231354,32140398
epos_dataset_iii/0468.pose,8,8,1784561090,62,87,32206554
epos_dataset_iii/0469.3d,8,8,3518987930,66764,233497,32206720
epos_dataset_iii/0469.pose,8,8,530362368,62,87,32273586
epos_dataset_iii/0470.3d,8,8,4135479401,66579,232635,32273752
epos_dataset_iii/0470.pose,8,8,1875720400,63,87,32340433
epos_dataset_iii/0471.3d,8,8,681686229,66090,230395,32340600
epos_dataset_iii/0471.pose,8,8,1291327527,64,87,32406792
epos_dataset_iii/0472.3d,8,8,2037875512,66629,232292,32406960
epos_dataset_iii/0472.pose,8,8,3396340473,62,87,32473691
epos_dataset_iii/0473.3d,8,8,1992874475,66983,233529,32473857
epos_dataset_iii/0473.pose,8,8,3989646071,62,87,32540942
epos_dataset_iii/0474.3d,8,8,1977180857,67200,234741,32541108
epos_dataset_iii/0474.pose,8,8,38798112,63,87,32608410
epos_dataset_iii/0475.3d,8,8,2798382990,68453,238976,32608577
epos_dataset_iii/0475.pose,8,8,2359678621,63,87,32677132
epos_dataset_iii/0476.3d,8,8,4287644218,70456,245950,32677299
epos_dataset_iii/0476.pose,8,8,3247002968,63,87,32747857
epos_dataset_iii/0477.3d,8,8,3338178434,70550,246366,32748024
epos_dataset_iii/0477.pose,8,8,2894127862,64,88,32818676
epos_dataset_iii/0478.3d,8,8,1373728450,70986,247940,32818844
epos_dataset_iii/0478.pose,8,8,106701686,63,88,32889932
epos_dataset_iii/0479.3d,8,8,3843331127,71672,250340,32890099
epos_dataset_iii/0479.pose,8,8,2673846478,63,88,32961873
epos_dataset_iii/0480.3d,8,8,1617065986,70742,247446,32962040
epos_dataset_iii/0480.pose,8,8,2603615993,64,88,33032884
epos_dataset_iii/0481.3d,8,8,3891295233,71458,249397,33033052
epos_dataset_iii/0481.pose,8,8,3245885131,64,88,33104612
epos_dataset_iii/0482.3d,8,8,3241122321,70592,246555,33104780
epos_dataset_iii/0482.pose,8,8,3519294513,64,88,33175474
epos_dataset_iii/0483.3d,8,8,2986328401,69167,240828,33175642
epos_dataset_iii/0483.pose,8,8,3597582398,64,88,33244911
epos_dataset_iii/0484.3d,8,8,3637173597,67977,236996,33245079
epos_dataset_iii/0484.pose,8,8,1733541938,64,88,33313158
epos_dataset_iii/0485.3d,8,8,3735467693,68137,237008,33313326
epos_dataset_iii/0485.pose,8,8,1091059175,65,88,33381565
epos_dataset_iii/0486.3d,8,8,195734562,67413,234438,33381734
epos_dataset_iii/0486.pose,8,8,655547470,65,88,33449249
epos_dataset_iii/0487.3d,8,8,291742510,66877,232476,33449418
epos_dataset_iii/0487.pose,8,8,932885828,63,88,33516397
epos_dataset_iii/0488.3d,8,8,2571910258,65924,229135,33516564
epos_dataset_iii/0488.pose,8,8,202778152,65,88,33582590
epos_dataset_iii/0489.3d,8,8,2247131743,65769,228261,33582759
epos_dataset_iii/0489.pose,8,8,1907223146,65,88,33648630
epos_dataset_iii/0490.3d,8,8,1885054279,65910,229173,33648799
epos_dataset_iii/0490.pose,8,8,736763943,65,88,33714811
epos_dataset_iii/0491.3d,8,8,272528057,66411,230753,33714980
epos_dataset_iii/0491.pose,8,8,3159479834,64,88,33781493
epos_dataset_iii/0492.3d,8,8,3529199071,66083,229468,33781661
epos_dataset_iii/0492.pose,8,8,1111962798,64,88,33847846
epos_dataset_iii/0493.3d,8,8,2478323065,65858,228766,33848014
epos_dataset_iii/0493.pose,8,8,2280876457,64,88,33913974
epos_dataset_iii/0494.3d,8,8,1923499001,65845,228917,33914142
epos_dataset_iii/0494.pose,8,8,4096916051,65,88,33980089
epos_dataset_iii/0495.3d,8,8,109196769,66104,229730,33980258
epos_dataset_iii/0495.pose,8,8,1288004480,64,88,34046464
epos_dataset_iii/0496.3d,8,8,3475728786,66208,230355,34046632
epos_dataset_iii/0496.pose,8,8,2971207876,65,88,34112942
epos_dataset_iii/0497.3d,8,8,596319743,64987,226178,34113111
epos_dataset_iii/0497.pose,8,8,3743237705,64,88,34178200
epos_dataset_iii/0498.3d,8,8,2623833115,66084,229855,34178368
epos_dataset_iii/0498.pose,8,8,1476171272,64,88,34244554
epos_dataset_iii/0499.3d,8,8,2511517656,66147,230131,34244722
epos_dataset_iii/0499.pose,8,8,1612196831,64,88,34310971
epos_dataset_iii/0500.3d,8,8,3015226176,66463,231566,34311139
epos_dataset_iii/0500.pose,8,8,1603126862,64,88,34377704
epos_dataset_iii/0501.3d,8,8,4248430253,67108,234136,34377872
epos_dataset_iii/0501.pose,8,8,3228260838,63,88,34445082
epos_dataset_iii/0502.3d,8,8,1110175932,67564,235880,34445249
epos_dataset_iii/0502.pose,8,8,3085362945,64,88,34512915
epos_dataset_iii/0503.3d,8,8,3439531946,66819,233482,34513083
epos_dataset_iii/0503.pose,8,8,3473110419,64,88,34580004
epos_dataset_iii/0504.3d,8,8,4167276453,67450,235682,34580172
