scan_id,range_m,point_count,down_count,converged,ransac_fitness,icp_fitness,ransac_iters,n_corr,translation_error_m,attitude_error_deg,terr_vec_target_x,terr_vec_target_y,terr_vec_target_z,rot_err_axis_x,rot_err_axis_y,rot_err_axis_z,symmetry_equivalent_rotation_k,runtime_s,icp_rmse,angular_rate_deg_s
330,10.77873636432634,9630,3340,0,0.0012875536480686696,0.6763948497854078,4096,113,0.13602103488815784,59.51643249044391,0.030357697448482386,0.12097604413492866,0.05426719896157953,0.8249163841231076,-0.06616036012932983,-0.5613695449103155,2,0.6510571000399068,0.04346660733118473,10.860704286556517
335,10.705198902188133,9740,3205,0,0.001072961373390558,0.6600858369098712,8192,130,0.1382304160140783,5.273130628606831,0.028485230906507827,0.13438092396076806,-0.015427469237640552,0.7804501510805475,-0.05982401452140902,-0.6223492981958707,0,0.654976700025145,0.04105884540499832,11.001964625887558
340,10.6314023517766,9917,3231,0,0.0006437768240343348,0.22532188841201717,8192,98,1.3514562218844246,127.58263005342532,1.1813742255308204,-0.2953055385821131,-0.5861599592298214,0.47128441166044366,0.15812226410553015,0.8676913926736916,1,0.731638600002043,0.05791158291599376,10.800658418523527
345,10.557857350121282,10510,3288,0,0.0006437768240343348,0.19463519313304722,36864,89,1.2947759358874893,82.79205300240002,0.7418131878172787,-0.8631501516671021,0.6173570556904235,-0.28627079053227117,0.7284495912180887,0.6224228687493961,1,1.0511255000019446,0.056345389156312625,10.790009704269469
350,10.484496197668108,9603,3253,0,0.0012875536480686696,0.15107296137339055,30720,123,1.7355548878487184,149.31732807451252,1.5424970698855816,-0.02850915889875149,0.7950099282328844,0.4608626978723081,0.44136242680930043,0.7699381675893607,1,0.9922316999873146,0.04838172485031936,10.788269338616935
355,10.411148654969585,10362,3453,0,0.001072961373390558,0.09141630901287554,14336,103,2.073215373611808,96.47696081115053,0.45111053079895613,0.10394059542997858,2.020870512181395,-0.02452286004954432,0.9470186412219003,-0.32024103814660626,2,0.7442530999542214,0.03988771737327446,10.859856535442786
360,10.337039903011064,10115,3333,0,0.0008583690987124463,0.20085836909871244,38912,94,0.8058409500826988,101.28094229810758,0.08559455225733636,0.13089145570948385,-0.7905192194224661,0.8212151291745459,-0.33574042110813657,0.4613936293978982,1,0.8929440000210889,0.05502531890016401,10.799328279951498
365,10.262657765452037,10010,3342,0,0.0015021459227467812,0.2761802575107296,12288,108,0.9633958831474243,152.33527067657138,0.9250117625852595,-0.2610806208788012,0.06574021711142325,0.06592311423269616,0.9749142418265694,0.21259436515013327,1,0.6761289999703877,0.05922225797678792,10.802181636109887
370,10.182783372811484,9637,3292,0,0.0015021459227467812,0.3049356223175966,38912,121,0.6102616873457153,56.648318890440095,0.11605383662670712,0.25493976593189976,-0.5421775998626734,0.8523817890962189,0.3270427994660382,-0.40802976966704985,2,1.0367033000220545,0.05568006323200087,9.612092659289804
375,10.103383384978963,9978,3308,0,0.001072961373390558,0.42618025751072963,4096,107,0.19631676578889665,41.26180020553892,0.06472423636605838,0.0774564268355372,-0.16837917834018012,0.6943540522492896,-0.23102904580843409,-0.681540923289156,1,0.6889694000128657,0.05561199782032874,9.60933828402543
380,10.017017752989611,9762,3395,0,0.0019313304721030042,0.6648068669527897,6144,103,0.13981479200171204,3.7592043952079552,0.024672752101490947,0.004906131492723946,0.13753312779107613,0.7775062694182586,-0.20012074436672106,-0.5961842741044178,1,0.6634999999660067,0.041448729010025206,6.396737383338078
385,9.937411951900806,10076,3314,0,0.001072961373390558,0.6575107296137339,10240,104,0.140131801578146,2.219896590473121,0.03232180307384776,0.0843146558668206,0.10715998164264448,-0.5773823061787123,0.4095689162069494,0.706316483871654,2,0.6782927000313066,0.040523011011309965,9.603450383019172
390,9.84437302329148,10717,3275,0,0.0008583690987124463,0.2555793991416309,34816,109,0.6850855861667509,77.46051640062993,-0.24545943628864053,0.41494064184937063,-0.48674037150408644,0.900257473916648,-0.3590949385620633,0.24614488773144108,1,0.9520018000039272,0.056084307832542986,5.710145303382558
395,9.794695758694397,8486,2902,0,0.0006437768240343348,0.2510729613733906,14336,110,1.283123284071003,119.65043724805236,0.9361110500771881,0.8768099797353027,-0.03613479604366905,-0.4392424107874713,0.8860641913040059,-0.148176764218916,2,0.6676918999874033,0.058437424792681464,8.238462612990446
400,9.80037485813956,10790,3271,0,0.001072961373390558,0.09892703862660944,32768,106,2.056581016895839,99.5247965363856,0.4795966221611857,-0.7424104835549553,1.8569704448309352,0.3439521326807996,0.896853845520409,0.27811887781951067,2,0.9631104000145569,0.04895509798985945,8.237601197799789
405,9.805254117685783,10012,3065,0,0.0017167381974248926,0.2225321888412017,16384,115,0.8849900561294344,99.58669818659357,0.17963484602651403,-0.07428651923240104,-0.8633772261308169,0.6177431097994964,0.7514571316027768,0.2317447510917435,1,0.7402642000233755,0.05343338694799896,8.220690077884658
410,9.808912672754202,9795,3038,0,0.0023605150214592273,0.6412017167381975,10240,110,0.13705776827799396,8.171302178189439,0.03613261107226393,-0.0831249548740576,-0.1028081131994488,0.7811055529186757,-0.058170523900718654,-0.6216834446474557,0,0.6702032000175677,0.042390103268412443,6.066990034067925
415,9.811317664666658,9526,3089,0,0.0017167381974248926,0.4150214592274678,6144,113,0.3239679013362824,38.07961472048767,0.050711605613106475,-0.07778888362143095,-0.3103746506036011,0.8974261237567918,-0.06162638916529921,-0.43683926169394,1,0.6517259000102058,0.05320727319172295,9.20644727950605
420,9.812287898866554,8940,2980,0,0.002145922746781116,0.08412017167381974,182272,120,2.0833308289533115,93.53733223584008,0.06461816148832544,1.766309056271019,1.1028345994790607,-0.26739533511338975,0.9592851093802126,-0.09094951171387068,1,2.2582849000464194,0.033798219859527745,8.127784646490438
425,9.81233610316035,10907,3299,0,0.002145922746781116,0.6545064377682404,155648,108,0.12991260472458513,5.877919073984192,0.03205077646561351,-0.06853195273917108,0.10560967781426851,0.7932372452130431,-0.08019150567087037,-0.6036091411046234,0,1.9885288999648765,0.04159059689010247,8.11944040814061
430,9.811598594870105,10076,3291,0,0.002145922746781116,0.6418454935622318,10240,133,0.1366344760771529,8.631592520775884,0.035144415422174544,0.007329649743764301,0.13183370719260468,0.8428458860546398,-0.02826219567086514,-0.5374123748636896,1,0.7387790000066161,0.0472212090556299,8.119440099970712
435,9.810170548201699,9362,3052,0,0.0017167381974248926,0.5843347639484978,14336,113,0.19098053495924058,39.83509822015423,0.03176409325304744,0.06417329779053167,0.17704913149692988,0.8099668384277857,-0.0006030690040977632,-0.5864753677308823,0,0.7439760999986902,0.05113286042212653,9.017489694030834
