scan_id,timestamp,range_m,point_count,median_residual_m,p90_residual_m,p95_residual_m,max_residual_m,mean_residual_m,std_residual_m,excess_return_count,excess_return_fraction,missing_proxy,dt_seconds,r1_frac,r2_backface_frac,r3_fov_frac,r4_structured_frac,large_noise_frac,model_backface_frac,model_fov_trunc_frac,model_visible_frac,r4_point_count,large_noise_count,mean_signed_residual
265,1751983060.353,11.828779728568664,9498,0.06547763466159837,0.1743734522605704,0.2225449995409783,0.7285374565977061,0.08501661361986511,0.07337463564704572,29,0.003053274373552327,0.5879172476594292,0.8439998626708984,0.15266371867761633,0.13129079806275004,0.0,0.7122552116234997,0.003790271636133923,0.48223073522911447,0.0,0.5177692647708855,6765,36,-0.04569625894297531
266,1751983061.202,11.808544950964322,9845,0.06548691176783411,0.16450124653073497,0.21691555876957644,0.7267873033382354,0.08190344535019212,0.07087316146666153,23,0.002336211274758761,0.5597110434856801,0.8489999771118164,0.15947181310309802,0.11924834941594718,0.0,0.7188420518029457,0.0024377856780091415,0.4819360542213054,0.0,0.5180639457786945,7077,24,-0.04317063008755433
267,1751983062.05,11.788286767453062,10126,0.06389432482852529,0.15973608427454022,0.20630146420588585,0.7288545612959761,0.07923955753526336,0.06972769264378044,26,0.002567647639739285,0.5369594344194533,0.8480000495910645,0.1694647442227928,0.11959312660477978,0.0,0.7076831917835276,0.003258937388899862,0.48314424635332254,0.0,0.5168557536466775,7166,33,-0.03964034617541889
268,1751983062.898,11.774784365005756,10228,0.0672354647264112,0.1666553041261804,0.2151236856554255,0.7513290226982619,0.08219377760133682,0.071137543666832,24,0.0023464998044583495,0.5513981320156522,0.8480000495910645,0.17315213140398905,0.11488071959327337,0.0,0.7099139616738366,0.002053187328901056,0.4841461617798733,0.0,0.5158538382201268,7261,21,-0.042797903278607094
269,1751983063.742,11.754553699374085,10096,0.070985858024322,0.17669204550598264,0.22230794241432433,0.7406984859426134,0.0857622799123548,0.07445553721377082,31,0.003070522979397781,0.5743614706219219,0.8440001010894775,0.16461965134706816,0.11915610142630745,0.0,0.7150356576862124,0.0011885895404120444,0.4854280241638426,0.0,0.5145719758361573,7219,12,-0.04691841383048371
270,1751983064.59,11.741088179850196,10162,0.07321950184367686,0.18252109035570074,0.2279614971366634,0.740421627859785,0.08689823363697362,0.07470654700771957,32,0.003148986419996064,0.6311627628347212,0.8479998111724854,0.15843337925605197,0.13599685101358,0.0,0.7020271600078725,0.0035426097224955716,0.5080889936643583,0.0,0.49191100633564167,7134,36,-0.04820366994436404
271,1751983065.424,11.720956060043056,10459,0.07228627678724539,0.16837703492961137,0.21595560942266578,0.7382673955145567,0.0843754014629244,0.07198952966251428,31,0.0029639544889568793,0.629021151008362,0.8340001106262207,0.15622908499856583,0.1359594607515059,0.0,0.7060904484176308,0.0017210058322975428,0.550685133343156,0.0,0.44931486665684395,7385,18,-0.05016615240320415
272,1751983066.272,11.707562261276768,10167,0.06909428406160092,0.16135020109105,0.20132634102444097,0.7316960947389166,0.08117574506411848,0.06970359893250122,33,0.003245795219828858,0.6400683781556213,0.8480000495910645,0.16455198190223272,0.13022523851676995,0.0,0.703550703255631,0.0016720763253663814,0.5173272432591719,0.0,0.48267275674082805,7153,17,-0.044966625042695
273,1751983067.12,11.687521520253043,9866,0.0651525190933887,0.1580334790622288,0.192273255908968,0.7264270136327895,0.0796075341757616,0.06797306792984834,27,0.0027366713967159942,0.6255969153195907,0.8479998111724854,0.1538617474153659,0.13267788364078653,0.0,0.7108250557470099,0.002635313196837624,0.5032414910858996,0.0,0.4967585089141005,7013,26,-0.04321816459653067
274,1751983067.964,11.674170411010197,10021,0.05768246189517676,0.15014041566041042,0.17690842174052698,0.7341675550695602,0.07521865497938753,0.06496143016577101,27,0.0026943418820477,0.5730456627752327,0.8440001010894775,0.15657120047899412,0.12653427801616604,0.0,0.7154974553437781,0.0013970661610617702,0.5014734050390453,0.0,0.49852659496095475,7170,14,-0.03858601596838748
275,1751983068.812,11.65416730349466,10329,0.055182962728635314,0.14513055864241983,0.17082188216360922,0.7467216596347042,0.07264149281866653,0.0645363677021892,30,0.002904443799012489,0.5493892724375996,0.8480000495910645,0.1703940362087327,0.11588730758059831,0.0,0.7112982863781586,0.0024203698325104077,0.5006040960660085,0.0,0.49939590393399147,7347,25,-0.03485539559344687
276,1751983069.661,11.634144329465231,10292,0.05678179726761948,0.14308744447423088,0.1685041966942005,0.735916143887705,0.07242939129726074,0.06420779221346787,26,0.0025262339681305867,0.5509489480653229,0.8489999771118164,0.1883015934706568,0.11892732219199378,0.0,0.6901476875242907,0.0026233968130586864,0.4992632974804774,0.0,0.5007367025195226,7103,27,-0.033888538714239094
277,1751983070.509,11.620798329272477,9937,0.0631020803702408,0.14197321599883791,0.17169962424620763,1.6751099708564763,0.07534229188440325,0.06569883556901268,22,0.0022139478715910233,0.552812030960299,0.8480000495910645,0.17922914360470968,0.12025762302505787,0.0,0.6970916775686827,0.0034215558015497634,0.4993517017828201,0.0,0.5006482982171799,6927,34,-0.03510326025088238
278,1751983071.356,11.600859164422522,9592,0.07254780161022364,0.15785085427468057,0.20011129006097597,0.7396676286560201,0.08317082531980358,0.06930954028620452,31,0.00323185988323603,0.5918216710953647,0.8469998836517334,0.1517931609674729,0.12854462051709759,0.0,0.7172643869891576,0.0023978315262718933,0.5009577132753794,0.0,0.4990422867246206,6880,23,-0.04280372407976156
279,1751983072.201,11.587609458007204,9718,0.07626929297155133,0.1598080150449455,0.19934039163684056,0.7224028789930148,0.08454981064476491,0.06925693539003572,30,0.0030870549495781024,0.6356738096788901,0.8450000286102295,0.14612060094669685,0.13675653426630993,0.0,0.7142416135007204,0.0028812512862728956,0.5475762487107706,0.0,0.4524237512892294,6941,28,-0.04594511334373847
280,1751983073.049,11.567724647206468,9922,0.07192637499521173,0.1592606931250962,0.19604845242556138,0.7377384751929312,0.08246890378574966,0.06960967107465658,33,0.0033259423503325942,0.6364257879264374,0.8480000495910645,0.1554122152791776,0.1324329772223342,0.0,0.7110461600483774,0.0011086474501108647,0.5689700898777074,0.0,0.43102991012229264,7055,11,-0.04610557177314591
281,1751983073.897,11.554434336323954,10050,0.06983508732595783,0.1598076480996201,0.2055538811204603,0.7429534706016236,0.08217661462938208,0.06792475589727896,18,0.001791044776119403,0.6590150124853335,0.8480000495910645,0.1480597014925373,0.12427860696517413,0.0,0.7253731343283583,0.0022885572139303484,0.5102548990717548,0.0,0.4897451009282452,7290,23,-0.04525705790912686
282,1751983074.746,11.534374211695665,10526,0.06642435973890826,0.16975832685437836,0.21443943871099788,0.7147433056844467,0.08389867688549017,0.07071171680936454,27,0.002565076952308569,0.6379041510988203,0.8489999771118164,0.14934448033441003,0.11362340870226106,0.0,0.7351320539616188,0.0019000570017100513,0.4991748931781347,0.0,0.5008251068218653,7738,20,-0.0482845297409522
283,1751983075.589,11.520950352247032,10820,0.06347071593108132,0.14890447298170897,0.17550527356778958,0.7163344459099039,0.07756355692235356,0.06478758214607361,30,0.0027726432532347504,0.5748430993020118,0.8429999351501465,0.15804066543438078,0.11524953789279113,0.0,0.7249537892791128,0.001756007393715342,0.49759834978635625,0.0,0.5024016502136437,7844,19,-0.04096689917151992
284,1751983076.437,11.500831840047093,11212,0.06244149819809287,0.14980843262644652,0.1803734496065926,0.7499963063539112,0.07665411107815262,0.06617765849819575,33,0.0029432750624331073,0.5334957011649403,0.8480000495910645,0.16839100963253656,0.10872279700321084,0.0,0.7211023902961113,0.0017838030681412772,0.4978782967437749,0.0,0.5021217032562252,8085,20,-0.040874731380230636
285,1751983077.195,11.487462222020884,10058,0.06388376928892495,0.13502331383339491,0.16149546767851988,0.7222595011510275,0.07303251471441673,0.059910972631420555,22,0.0021873135812288725,0.5329260412383247,0.7579998970031738,0.16911910916683237,0.10777490554782262,0.0,0.7210180950487174,0.0020878902366275602,0.4983645204066598,0.0,0.5016354795933402,7252,21,-0.03642620791838096
286,1751983077.948,11.474122973733765,9869,0.06714316728316891,0.13356097351021295,0.15333171293279665,0.725104631482433,0.07406982285503941,0.059319686910908734,24,0.002431857331036579,0.5388349514563107,0.753000020980835,0.16384638767858953,0.1199716283311379,0.0,0.712736852771304,0.003445131218968487,0.4991896272285251,0.0,0.5008103727714749,7034,34,-0.03612508089314114
287,1751983078.706,11.454132475615648,9496,0.07804035960253754,0.15491005172689937,0.19565586500683402,0.7023051663073078,0.08365203474025681,0.06607305648022736,22,0.002316764953664701,0.5676769467092048,0.7580001354217529,0.14532434709351305,0.12679022746419544,0.0,0.7251474304970514,0.002737994945240101,0.5012229261824075,0.0,0.49877707381759245,6886,26,-0.04684095192586021
288,1751983079.46,11.44082424259817,9233,0.07877675413229454,0.15575848473251014,0.19372300491813782,0.7187415964622004,0.0845053817364669,0.06542440562341591,20,0.0021661431820643342,0.6261267961800494,0.7539999485015869,0.1373334777428788,0.13830824217480775,0.0,0.7188346149680493,0.005523665114264053,0.5047443642257257,0.0,0.49525563577427434,6637,51,-0.047959143752820566
289,1751983080.212,11.427509998149596,8688,0.07956326973336722,0.16195770625218717,0.19668216156131688,0.72436887366998,0.08585527237676661,0.06892125408631189,30,0.003453038674033149,0.6494088870770485,0.7519998550415039,0.13374769797421732,0.16332872928176795,0.0,0.7001611418047882,0.0027624309392265192,0.566288492706645,0.0,0.43371150729335495,6083,24,-0.04772211843813483
290,1751983081.085,11.407566910690202,10151,0.07720627328450295,0.17069136094505433,0.21589822931150876,0.7564504354967757,0.08836871404546547,0.07188117123765707,32,0.0031523987784454733,0.6305215495555928,0.8730001449584961,0.1348635602403704,0.15890060092601715,0.0,0.7041670771352576,0.002068761698354842,0.5607042876086636,0.0,0.43929571239133636,7148,21,-0.05057849842537771
291,1751983081.955,11.3875998281904,10146,0.06885420984023571,0.17698084397734007,0.21946381482890137,0.743418211753567,0.08590939726643647,0.07357627070751212,32,0.003153952296471516,0.6439702990637748,0.869999885559082,0.14675734279519023,0.1503055391287207,0.0,0.6985018726591761,0.004435245416913069,0.49796670104611757,0.0,0.5020332989538824,7087,45,-0.04879352812693077
292,1751983082.823,11.374233479650485,10414,0.06083202462055712,0.16001553441727442,0.19915004234347647,0.7010043688589883,0.07889039843271614,0.06764349862662562,21,0.0020165162281544076,0.626619862512798,0.8680000305175781,0.15940080660649125,0.14173228346456693,0.0,0.6969464182830805,0.0019204916458613404,0.49631648740238693,0.0,0.5036835125976131,7258,20,-0.042323835458722606
293,1751983083.691,11.354155077348468,10517,0.05798249084017989,0.15133991401922553,0.17919969914923198,0.7407088504208336,0.07483447306615874,0.06508714125300806,28,0.0026623561852239233,0.5852719958019941,0.8680000305175781,0.16373490539127128,0.13815726918322715,0.0,0.6964913948844728,0.0016164305410288106,0.494592603506704,0.0,0.505407396493296,7325,17,-0.03754559318830338
