scan,cond,obj,J0,gnorm,dhat_t_mm,dhat_r_deg,tstar_mm,rstar_deg,lbfgs_t_mm,opt_cos,Jstar,icp_iters,lst_gn,lst_conv,lst_onbnd,eigmin,condH
390,scale,p2p,0.008809262196843937,0.05484844766011388,518.368603826098,5.413645137123388,143.98381060879694,4.151783778322897,143.72245342823058,0.9998105250821085,0.004339394469793457,38,0.00011650458451334855,False,False,-0.020906250511898587,44.81527871440007
390,scale,p2l,0.007492384862857524,0.0553965075002221,14.825335411320498,1.4366048889773737,138.94745936556632,3.767893875135035,140.35742543697287,0.9363354283278268,0.003814408880900922,40,0.006234493163055869,False,False,-1.4822900770031393,3.3262108287182386
391,scale,p2p,0.007990990916506763,0.05574258195824884,634.294414598698,39.053630297501215,138.53633738178485,2.63147465802882,0.0,,0.0038064026763196487,40,0.0,False,False,0.009545184606641428,100.62480949969698
391,scale,p2l,0.006578183462230945,0.061330121863751176,21.495169525985926,1.611766735087597,134.37527595816493,2.095151376568366,0.0,,0.0032105441122328203,40,0.0,False,False,0.3452419200865457,16.282962534543113
392,scale,p2p,0.007444861903357453,0.06080081286994568,329.12729089681403,4.109606233945637,136.40099621597017,2.998510984708057,0.0,,0.003187252607510858,40,0.0,False,False,-0.013489710218322975,74.67213936857583
392,scale,p2l,0.006437996007695982,0.052477013284796696,368.50309878066344,26.845489758329368,132.59347977554435,2.5519252265052006,0.0,,0.002741790831729679,14,0.0,False,False,-0.29766449107993415,28.48099164993781
393,scale,p2p,0.008067749542734955,0.06705545792681965,1964.9599430938622,95.01328664253502,133.78170369489249,2.940023134367283,0.0,,0.003602532248230232,40,0.0,False,False,0.008731442409225076,103.62885963762652
393,scale,p2l,0.006784063774025844,0.05375334897774965,60.08788027742632,2.518376726903881,130.67199560458656,2.83392512570964,0.0,,0.0029932650931841793,40,0.0,False,False,-2.294476354641616,10.07572532857708
394,scale,p2p,0.009194353362843164,0.06899268482628156,677.1602804339744,164.98809859491578,135.0528792245338,3.507618018129997,0.0,,0.004564647823327477,40,0.0,False,False,-0.0037430830846480368,235.90303445325557
394,scale,p2l,0.0075117185332529484,0.05852276828395246,58.093680735074216,3.48145078910874,130.2769814558782,3.3689614741445837,0.0,,0.0038513937408348594,40,0.0,False,False,-0.7669287455969263,5.665082430832055
395,scale,p2p,0.008609638295629688,0.0699205940461774,252.81037967086235,4.492508128413258,135.92342993708075,3.0940930496227073,136.03506176548672,0.9999006839703504,0.004013993597369904,40,5.022600374865456e-08,True,False,0.03407011034705435,24.37346443246507
395,scale,p2l,0.007444838054481784,0.055150215428058584,191.3219149645589,3.377375571163207,133.63944162002238,3.0213788176855263,125.13456111492467,0.9557859262705334,0.003519023529485241,40,0.011225562698456863,False,False,-1.7841931530854551,10.435113393151406
396,scale,p2p,0.00863149852838391,0.06896639658949183,389.38591145619506,8.698607654105292,134.92131545793632,3.619012945250266,0.0,,0.00406690592043023,40,0.0,False,False,-0.016173214010837694,44.58355091865176
396,scale,p2l,0.007322593453429307,0.05489859115954375,63.816719442851834,4.014370757188452,132.71530271852944,3.5359175595847963,0.0,,0.0036651416567625695,40,0.0,False,False,-2.0124139078392247,5.880259177047158
397,scale,p2p,0.009107820257075128,0.06675015510356364,497.09918822420656,10.056532515899264,136.12607794556916,3.7144993146245957,0.0,,0.004450862165786743,36,0.0,False,False,-0.010055169989340038,78.70269761467313
397,scale,p2l,0.0077846742592201845,0.06174614613652693,72.43405072635566,2.8742925412731473,137.77541267606955,4.27987729025448,0.0,,0.004103950161467066,40,0.0,False,False,-1.772533167655215,8.043735409765278
398,scale,p2p,0.009014311915630508,0.06293387418696086,1194.822968382358,23.761915860189244,134.66167255961088,3.7586670169390897,0.0,,0.004523003076811496,35,0.0,False,False,-0.011438350661050534,69.05774506533453
398,scale,p2l,0.0076945204797507286,0.05855041699111319,78.62007786467022,1.309570148440664,130.55800382440103,3.340600227904026,0.0,,0.004049363353844071,40,0.0,False,False,-1.779420837867069,8.456407816814714
399,scale,p2p,0.008943028898186477,0.05830953026036858,410.7277475649435,7.506885498963108,134.03298941984184,4.133106138653307,0.0,,0.0046909248717390255,31,0.0,False,False,0.036355068079858194,24.91810849633863
399,scale,p2l,0.007430566951277513,0.05492863628030908,38.288938732724645,4.133570783933201,126.40181815205138,3.51123421190053,0.0,,0.004097140660088372,40,0.0,False,False,-0.4949130231310676,12.792274603310192
400,scale,p2p,0.008533471773402392,0.059402877959832276,7114.7168568261,1761.3691901257555,128.9661978414304,4.501041231889167,128.916723651833,0.999971924796383,0.004469980669967586,40,5.071229575309033e-06,True,False,-0.00015680996587951796,5330.564184178479
400,scale,p2l,0.007135973907082049,0.05575615343781488,317.6632041933378,3.1597777609982844,119.62208488117906,4.188655344431428,116.29650478782571,0.9449316128948951,0.0037838958083687975,40,0.0008741739244476455,False,False,-0.2724325948302571,39.8125407776282
401,scale,p2p,0.007838503838560697,0.06577821970927226,821.4684747039686,103.76641811394552,133.15205914455288,4.8309457224534045,0.0,,0.0034057440869051576,34,0.0,False,False,0.004309130602817979,191.82684117934951
401,scale,p2l,0.006523385163233483,0.0655764943200464,472.76172560901654,13.198342965017478,128.99071098033042,5.057521236818772,0.0,,0.002841332232931611,40,0.0,False,False,-2.147623976608219,20.76737890150652
402,scale,p2p,0.008681062470660134,0.06793361182785669,674.8135036394087,27.779754084325198,138.11780102014612,5.705910262559842,0.0,,0.004056847403419048,40,0.0,False,False,-0.0140032461900257,52.84739257203573
402,scale,p2l,0.007184810625988084,0.05427060237238575,190.22958875322598,1.555159318844786,132.9872957750951,5.77767924277136,0.0,,0.0035437425562475765,40,0.0,False,False,0.06661504963593978,48.91866555469346
403,scale,p2p,0.00887391832116,0.06281074059816033,568.2141001967832,20.0536020387045,139.39458697069352,3.9547302203945662,0.0,,0.004594175918617599,34,0.0,False,False,0.008570166761088002,96.703700669789
403,scale,p2l,0.0075078961652721,0.04546487391456541,85.2212865424223,10.042761793347005,133.26349724548345,3.1675299823178604,0.0,,0.00392608626119163,40,0.0,False,False,-1.5569761893352791,27.41329252353617
404,scale,p2p,0.00847252381729185,0.06070985828668676,370.96143068301365,19.866732674066903,137.41707487875902,4.0027941569045105,0.0,,0.004372904259820305,34,0.0,False,False,0.008713586463722485,96.60649602966005
404,scale,p2l,0.0071346455006433196,0.054889072240429396,29.332580260751993,5.676177088767541,133.28381084144223,3.6925816318788347,0.0,,0.0038434031215814294,40,0.0,False,False,-0.4367639925123727,17.701611245147184
405,scale,p2p,0.00898475843313489,0.06145555416831024,516.0871290598234,12.761248652638086,134.9884413620606,3.970512063195166,135.0278936102033,0.9999672915618683,0.004764689299937254,34,8.930933526410365e-05,False,False,-0.013704648666085303,61.05511381986061
405,scale,p2l,0.007570130744986759,0.05419258926644136,166.3125331361327,8.980877221130735,126.98677414680026,2.805210858367907,118.491504603472,0.9778537997446246,0.004079053571308252,40,0.008687226742679764,False,False,-0.9958620162171115,62.17043048172299
406,scale,p2p,0.008342311440763575,0.05849244594200147,625.1179573062806,25.479913688380215,131.35638881720578,4.008139121326871,0.0,,0.004308044750238512,35,0.0,False,False,0.023809723360851655,34.351468248455205
406,scale,p2l,0.007151763603322028,0.0429818680872582,283.61916693677205,20.645455794684406,124.79692707003909,3.287060169253706,0.0,,0.0037883877767290793,40,0.0,False,False,-3.7235818931803584,111.16451915268108
407,scale,p2p,0.007766740348721992,0.058752525026228485,1666.5834327130844,38.84973821040777,131.1680345871744,3.9695420554245127,0.0,,0.0037097817789867563,35,0.0,False,False,-0.03944565402832453,40.33271709076921
407,scale,p2l,0.006321912047231377,0.0495410740880709,49.33646295805905,1.7932978069746897,125.7411551845667,3.265229331993849,0.0,,0.0032652082377615786,40,0.0,False,False,-0.4962367591793095,16.502860628520196
408,scale,p2p,0.007495543811764907,0.058518821746966904,372.8720654645383,5.1031787404280085,130.35568568379915,4.270966105570112,0.0,,0.0035606440883822533,38,0.0,False,False,-0.0218687414423577,41.12569687190878
408,scale,p2l,0.0063215598021294965,0.04932371169530439,108.41605279713409,3.7351998769543244,124.9189895993601,3.8785353933469144,0.0,,0.0030481195321156447,40,0.0,False,False,-2.804525918183386,13.075194438860938
409,scale,p2p,0.007574476939103216,0.06096921940746453,290.60484138710854,10.578338069493562,133.17835177691111,3.013377043505414,0.0,,0.003451236427955266,40,0.0,False,False,-0.027682520791924025,34.40063531093835
409,scale,p2l,0.006434281749467855,0.0460752938546039,56.71271564476878,4.33231145445187,126.35740372306223,2.3321860257570903,0.0,,0.002857681548860272,40,0.0,False,False,-0.5133774118787439,9.275967283461629
410,scale,p2p,0.007703357055677526,0.061156384446157744,522.6912895263167,13.338284983251125,134.2967168749867,4.068306606431372,134.29999737710628,0.9999750680880212,0.003628355149960924,31,3.201208881272475e-08,True,False,-0.012119979153386048,72.30657923523648
410,scale,p2l,0.00649476931701073,0.0557281407836132,42.520748727891046,3.3930491176958344,128.88013756514445,3.898748190597559,105.68841956662175,0.7490739015609592,0.0031734086098683836,40,0.009767360809244138,False,False,-2.4218989606612444,6.479177937973357
411,scale,p2p,0.0080374021978536,0.062176849894302895,273.6813321900698,10.723022617950486,135.41723434135923,2.9565198429115203,0.0,,0.004018250708061437,40,0.0,False,False,0.012124519911080685,79.78018111506235
411,scale,p2l,0.006748645405246543,0.05370164788355737,131.65102762312478,4.45753261647967,128.58750379523448,2.296520303049946,0.0,,0.0035988729681031206,40,0.0,False,False,-0.6402862313144492,7.571735630375576
412,scale,p2p,0.008073768611910887,0.06354831092578227,245.34378382178718,10.965180623016062,137.12291541370553,3.7424047417272583,0.0,,0.003886039281462381,40,0.0,False,False,0.022894848067986355,38.790741376454505
412,scale,p2l,0.006770079664544252,0.058685617137447715,305.0776260164329,19.597423905225416,130.2124249637815,3.0619748520265992,0.0,,0.00325672158337565,40,0.0,False,False,-3.2391295549938635,54.00749145754757
413,scale,p2p,0.007960159365403145,0.06270255608323211,333.8053967385106,9.926614107184548,135.62520360632095,4.270289392370739,0.0,,0.0036796164986915877,34,0.0,False,False,-0.026600419092776755,31.430122340834668
