scan,variant,obj,J0,gnorm,dhat_t_mm,dhat_r_deg,tstar_mm,rstar_deg,gnstar
175,self_noise,p2p,8.984180802456379e-05,0.0002844213982761166,0.33189299589983223,0.04266352942950647,0.32240703147195965,0.042661221225026594,6.063297699881009e-06
175,self_noise,p2l,5.3666106591739684e-05,0.00018734547368789536,0.19223871209308832,0.03579315018404715,0.2514318965672959,0.022885734205142862,4.7141566083918505e-05
180,self,p2p,0.0,7.73227044795206e-06,0.004043519899610991,0.00029185246143884747,0.0,0.0,7.73227044795206e-06
180,self,p2l,0.0,5.060837321093885e-06,0.00692825898218645,0.0016526615202708268,0.0,0.0,5.060837321093885e-06
180,self_noise,p2p,9.201037717021008e-05,0.0001025305740420585,0.1262422684259784,0.02536588100681937,0.1176555820384018,0.025822635978039136,8.264145867029876e-06
180,self_noise,p2l,5.493789751477533e-05,8.853852705134451e-05,0.17015845899621476,0.03193959112169989,0.17042348161263185,0.03274273708636012,1.2364363431512937e-05
185,self,p2p,0.0,1.30898322084348e-05,0.006887701010270007,0.0003824579163900921,0.0,0.0,1.30898322084348e-05
185,self,p2l,0.0,7.704744679375958e-06,0.012424285158465212,0.0014909672293606923,0.0,0.0,7.704744679375958e-06
185,self_noise,p2p,9.045198412253781e-05,0.00015940112545146482,0.2162362768372285,0.0670204706502802,0.2487542742060555,0.06838434483356175,1.0086138033091229e-07
185,self_noise,p2l,5.447881773459683e-05,0.0001069598385064999,0.2067699432470123,0.035426016937393695,0.0,0.0,0.0001069598385064999
190,self,p2p,0.0,6.9904781526528004e-06,0.0036605810813467453,0.00027328909105942385,0.0,0.0,6.9904781526528004e-06
190,self,p2l,0.0,8.71852472524535e-06,0.013085038365395684,0.0011801926884471847,0.0,0.0,8.71852472524535e-06
190,self_noise,p2p,9.080643254713713e-05,0.0002226827012733306,0.4159570111535186,0.026187308808703062,0.43646638710364305,0.022033992642884123,2.9946223180115055e-05
190,self_noise,p2l,5.5021857123226135e-05,0.00024180170246750396,0.48757524392390844,0.06004321404121419,0.4817591505604165,0.019607499692354074,4.0153191428864954e-05
195,self,p2p,0.0,2.271748636383236e-05,0.012065156496701373,0.0004605516874220312,0.0,0.0,2.271748636383236e-05
195,self,p2l,0.0,1.2411417188806913e-05,0.019401011054373033,0.0002004631021259378,0.0,0.0,1.2411417188806913e-05
195,self_noise,p2p,9.026814606984376e-05,0.00018798699744589277,0.13133830914692968,0.045909634794987234,0.13424725380415775,0.04611058890508188,9.375922306470052e-06
195,self_noise,p2l,5.4661382344239545e-05,0.00017850582793050055,0.2206107249778878,0.038817633657764285,0.21271282954012352,0.03768284609676466,9.412250266406713e-06
200,self,p2p,0.0,1.114037204535599e-05,0.006353252442089985,0.00023465753597710825,0.0,0.0,1.114037204535599e-05
200,self,p2l,0.0,5.1303332420339354e-06,0.0074569797093166895,0.001070192318669683,0.0,0.0,5.1303332420339354e-06
200,self_noise,p2p,9.204096097283215e-05,0.00020294328956476667,0.19398859684819744,0.05117933325800519,0.20001659717891274,0.049589631931838025,2.3763240189077336e-06
200,self_noise,p2l,5.5293185646454854e-05,0.00014973555180178953,0.1131073160368048,0.03552381080947216,0.16982787860171114,0.02470547667712192,1.0593164813969615e-05
205,self,p2p,0.0,2.628178752296421e-05,0.01534506782129577,0.00019449577615954905,0.0,0.0,2.628178752296421e-05
205,self,p2l,0.0,5.632810975429005e-06,0.007994379565429165,0.0009060086109010774,0.0,0.0,5.632810975429005e-06
205,self_noise,p2p,9.184400199287151e-05,0.00021268160432744837,0.3600422457420438,0.02264208932072585,0.358023712840971,0.02659803332208924,4.0284131610599213e-07
205,self_noise,p2l,5.56203432317371e-05,0.00026553484990075,0.4707312134915514,0.045832252668424854,0.5088198189451544,0.029780203609075247,3.734746134891901e-05
210,self,p2p,0.0,1.2727811350902455e-05,0.0064784910298133274,0.00028184949501619885,0.0,0.0,1.2727811350902455e-05
210,self,p2l,0.0,3.0647380307000047e-06,0.004739991193025356,0.00016777021263211312,0.0,0.0,3.0647380307000047e-06
210,self_noise,p2p,9.07595057686006e-05,0.00014932246814451707,0.22663700371306122,0.019043799692097546,0.2364243161659013,0.01608529671897686,4.044145848037285e-06
210,self_noise,p2l,5.4694177180804325e-05,8.736821171408121e-05,0.1642662029184111,0.022892196431606594,0.0,0.0,8.736821171408121e-05
215,self,p2p,0.0,1.0757455745011427e-05,0.006176161722238753,8.449999922576085e-05,0.0,0.0,1.0757455745011427e-05
215,self,p2l,0.0,4.259951506162313e-06,0.00635671066159122,0.0009281404330721618,0.0,0.0,4.259951506162313e-06
215,self_noise,p2p,9.109015968623252e-05,0.00015048141472836433,0.32046454346068204,0.036401208214036744,0.30767349443057423,0.03405550097073588,7.675373352119954e-06
215,self_noise,p2l,5.5227978069351e-05,0.0001736246732988734,0.381578055609674,0.027479483076792977,0.23864872391294212,0.008212484402812683,7.191079311780522e-05
220,self,p2p,0.0,1.4001598300822627e-05,0.0071686136276560555,0.0005305999941759091,0.0,0.0,1.4001598300822627e-05
220,self,p2l,0.0,7.054180996433516e-06,0.006035554548181984,0.003209775830444048,0.0,0.0,7.054180996433516e-06
220,self_noise,p2p,9.114095238622102e-05,0.0001747849890258429,0.2104774629101383,0.03426243413880665,0.2210294049145593,0.028883569531720683,1.6211986885322945e-05
220,self_noise,p2l,5.549624925985013e-05,0.000180211835513898,0.29965381105082894,0.07899314167782649,0.29361642401255794,0.05900358917145951,1.374797430779696e-05
225,self,p2p,0.0,1.3603270688250596e-05,0.00795900143453831,0.00035572677675590103,0.0,0.0,1.3603270688250596e-05
225,self,p2l,0.0,6.8596680577898085e-06,0.012026287467736553,0.0012453057080135822,0.0,0.0,6.8596680577898085e-06
225,self_noise,p2p,9.123361883340536e-05,0.0002787058429344925,0.3927356803159408,0.04198684607152205,0.4025915472213238,0.0385720898139411,9.4431120383685e-06
225,self_noise,p2l,5.5028361603912716e-05,0.00024374722848923957,0.40252190588645426,0.0779838487232646,0.4091918574510145,0.04937958170800411,1.652749121330124e-05
230,self,p2p,0.0,9.387727288704108e-06,0.004041082059882241,0.0005214335352392687,0.0,0.0,9.387727288704108e-06
230,self,p2l,0.0,5.200749102556258e-06,0.006077054030138106,0.0009283235324027698,0.0,0.0,5.200749102556258e-06
230,self_noise,p2p,9.113300571373531e-05,0.00010401917276440224,0.132270287205956,0.0429863889887073,0.14974861264599576,0.044255789662220615,9.112819350490403e-06
230,self_noise,p2l,5.443770776419009e-05,0.00012670779992264875,0.18075889921169822,0.0296707071522136,0.17209909750711283,0.0208207484502146,2.762067187438064e-05
235,self,p2p,0.0,1.0543813644640641e-05,0.005964924136049217,0.00037205347271355895,0.0,0.0,1.0543813644640641e-05
235,self,p2l,0.0,6.939966991018675e-06,0.008481846660381015,0.00068919650407656,0.0,0.0,6.939966991018675e-06
235,self_noise,p2p,8.972142517572726e-05,0.00018529972442499676,0.18541864641828837,0.0506598269144696,0.1950423359638007,0.05306847923474586,8.60109099622079e-06
235,self_noise,p2l,5.385903684724461e-05,0.0001455634499868237,0.18112863248154476,0.05403519747782563,0.15124744205489266,0.010373843263805452,6.911355665913717e-05
240,self,p2p,0.0,1.1032114706001071e-05,0.005361482595510708,0.00017567814061044177,0.0,0.0,1.1032114706001071e-05
240,self,p2l,0.0,1.0471031977609183e-05,0.01701634135517273,0.0007506571826098818,0.0,0.0,1.0471031977609183e-05
240,self_noise,p2p,9.081840444944603e-05,0.00016780296517356584,0.2584005920333441,0.027179222390718988,0.26179272063536746,0.011749804545672031,3.045392006843684e-05
