dataset,order,scan,block_full,in_support,condition,kind,n_points,gt_norm,gr_norm,residual_rms_mm,trans_error_mm,rot_error_deg,patch_spread_mm
IV,11,11,0,False,N3,p2p,9450,0.03409690094262778,0.018407012316869246,64.444869899608,103.94901349394841,2.426406150845933,70.69208541262009
IV,11,11,0,False,N3,p2l,9450,0.032666999400052806,0.017894320210040237,61.3260541898962,101.67109150892063,2.405644151147321,70.69208541262009
IV,12,12,0,False,raw,p2p,9458,0.05947217919002401,0.016030545457920493,68.04172737551248,110.72277997829266,2.23926688007641,195.0567648708593
IV,12,12,0,False,raw,p2l,9458,0.05572918204680546,0.012698024516703859,64.78084159002019,109.86979984716447,2.4471126483724284,195.0567648708593
IV,12,12,0,False,N1,p2p,9458,0.019751798673366506,0.013640258416000589,55.591800222642796,97.4809527505242,2.2048297092732287,185.8409363665231
IV,12,12,0,False,N1,p2l,9458,0.015042372760656841,0.010073187958836279,51.52363702066645,97.36968837796641,2.3776850237098777,185.8409363665231
IV,12,12,0,False,N2,p2p,9458,0.018298550242625427,0.012936096819077456,56.023193131900506,103.10068060794428,3.8908359311361167,190.80746316073837
IV,12,12,0,False,N2,p2l,9458,0.014932037831009352,0.011301041827278918,51.92274764494934,103.123444311771,4.828580369257778,190.80746316073837
IV,12,12,0,False,N3,p2p,9458,0.0339818655390294,0.017897133598068198,64.14167353297593,106.28891361562609,2.3421666769810923,207.58494694371856
IV,12,12,0,False,N3,p2l,9458,0.032216266672176544,0.015959429768308834,60.817292466784714,105.93731940045767,2.2269621312317973,207.58494694371856
IV,13,13,0,False,raw,p2p,9497,0.05979911305359771,0.016323014865247565,70.0740792250353,114.18048023956663,2.704035492892429,176.17412286137312
IV,13,13,0,False,raw,p2l,9497,0.05681392895266876,0.011106070063842448,66.90760253485882,111.37322495955873,3.1007829912556795,176.17412286137312
IV,13,13,0,False,N1,p2p,9497,0.020110733808918157,0.013766238294513594,57.95933711126177,100.52577065561377,2.720455718265982,166.7708568621601
IV,13,13,0,False,N1,p2l,9497,0.01570089676816607,0.01034220409215907,54.26806549337367,98.31291423749678,3.978232071482352,166.7708568621601
IV,13,13,0,False,N2,p2p,9497,0.018692975278148123,0.013165994905039329,58.56311438012892,106.6823222572905,4.387861042509193,171.74672589179693
IV,13,13,0,False,N2,p2l,9497,0.013363539843054583,0.00970506400768783,54.21577253411069,104.48950860125758,5.479413141281234,171.74672589179693
IV,13,13,0,False,N3,p2p,9497,0.034611450426665795,0.01820264522403935,66.60886123610236,108.50698236506754,2.754645590741347,186.7509347966861
IV,13,13,0,False,N3,p2l,9497,0.03478842561077554,0.01748570041052516,63.264165852750075,104.87925752655707,3.6171793900802753,186.7509347966861
IV,14,14,0,False,raw,p2p,9448,0.05935059783042378,0.016844621554336258,68.46057829031697,116.0428846449026,2.4067389845620415,174.47024828094482
IV,14,14,0,False,raw,p2l,9448,0.056730721797931136,0.015044014768501417,65.45450654184346,116.5378112295844,2.4392761761544492,174.47024828094482
IV,14,14,0,False,N1,p2p,9448,0.020054663850334165,0.014269318041167855,55.9423068486706,103.23129330284316,2.4019409086176364,165.30235269480536
IV,14,14,0,False,N1,p2l,9448,0.015877556511560257,0.010670535602651191,52.13612103952869,104.3325440555945,2.499076728031465,165.30235269480536
IV,14,14,0,False,N2,p2p,9448,0.019272078154380708,0.014013555544276727,56.63005794315576,108.787876612345,4.238211417090439,170.0792732574578
IV,14,14,0,False,N2,p2l,9448,0.01582865846087092,0.012746695739539817,52.771204001445525,110.06891143388634,4.818487185061673,170.0792732574578
IV,14,14,0,False,N3,p2p,9448,0.0346007314738224,0.01857177786164903,64.53770388176794,108.8323589312312,2.370901403353503,185.36659887389672
IV,14,14,0,False,N3,p2l,9448,0.032124916815991424,0.016174054155303673,61.473085591154884,110.07588983331242,2.1397785939550054,185.36659887389672
IV,15,15,0,False,raw,p2p,9435,0.05853970204709894,0.01742338252564019,67.52337324374712,117.61624425775975,2.45967982906928,39.10910683911935
IV,15,15,0,False,raw,p2l,9435,0.054801836523585334,0.012434825074702185,64.44648349084781,121.5075295463776,2.4163507506341473,39.10910683911935
IV,15,15,0,False,N1,p2p,9435,0.020991705082204208,0.014800787229724954,55.50073525880995,105.3077552182272,2.427860714154033,45.28937888288396
IV,15,15,0,False,N1,p2l,9435,0.015737641503378735,0.011570913330582796,51.57326318629721,110.61174345733302,2.337968265682934,45.28937888288396
IV,15,15,0,False,N2,p2p,9435,0.018990229357555337,0.014563928797462005,55.9884511688468,111.8444745810709,3.982162172830573,49.841929288901476
IV,15,15,0,False,N2,p2l,9435,0.01486550420325547,0.012614230790697399,51.77277487409949,116.4968896822354,4.767055887626246,49.841929288901476
IV,15,15,0,False,N3,p2p,9435,0.03386887793841469,0.01901738987585802,63.61500499209724,111.4243806549188,2.3277730264703953,47.38671490446387
IV,15,15,0,False,N3,p2l,9435,0.03140835727119054,0.01564457534431319,60.48304269385895,114.07677529938022,2.531731470960233,47.38671490446387
IV,16,16,0,False,raw,p2p,9499,0.05901087415255608,0.017519638706946544,68.43153596943414,117.28567447945551,2.381583885279049,178.54270666808537
IV,16,16,0,False,raw,p2l,9499,0.05634221174930135,0.014176486713370235,65.13430824164782,118.37052062577088,2.6026319146374837,178.54270666808537
IV,16,16,0,False,N1,p2p,9499,0.02122875434912869,0.015620759951346016,56.288412446442486,104.86025043072065,2.3974802611210997,168.85586379083654
IV,16,16,0,False,N1,p2l,9499,0.014109889371272511,0.011493078039182324,52.03207803176061,107.42084183555639,2.6874313182526612,168.85586379083654
IV,16,16,0,False,N2,p2p,9499,0.01949005947715714,0.015110149392288205,56.9754175731523,111.8884174392777,4.1782822323905275,173.82451869886552
