order,scan,dbs_mhat_m,raw_ete_mm,dbs_ete_mm,dbs_ete_sens_globalmed_mm,raw_eR_deg,dbs_eR_deg,dir_cos_vhat_realized,improved_primary,in_support,block_full,block_primary
346,346,0.16890711995159613,61.46220413812153,113.64972736918594,106.30184802025444,1.2018461342162474,1.2018461342162474,0.9339275009488978,False,True,6,3
347,347,0.16889829474837637,60.20682637483695,114.97472307601932,107.63216006095968,1.1579744406911832,1.1579744406911832,0.9308990509825581,False,True,6,3
348,348,0.16888950345922518,59.868301645876116,114.85827170888774,107.51371409839825,1.0703105710713121,1.0703105710713121,0.9353781215608181,False,True,6,3
349,349,0.16888066425901022,59.21442947050706,114.72213249144473,107.36754033215843,1.217142922825295,1.217142922825295,0.9432767451414288,False,True,6,3
350,350,0.16880996555596361,58.444438087510534,115.01262430637601,107.71676700504015,0.7892686049715384,0.7892686049715384,0.9469210563372977,False,True,7,3
351,351,0.16879059883229808,58.86428606718749,114.57498098426898,107.29946786673963,1.0446063275824597,1.0446063275824597,0.9474809007935876,False,True,7,3
352,352,0.16792023076485826,57.36069694724126,116.13554853405833,109.73081073844722,1.1139327520070226,1.1139327520070226,0.9343826672568544,False,True,7,3
353,353,0.16790289365710742,55.81122940055834,117.97118282404682,111.58399903580458,0.8104445185380811,0.8104445185380811,0.9278263797051207,False,True,7,3
354,354,0.16788538706244371,54.97795612607965,118.24829724196358,111.86719680895496,0.9543985110196836,0.9543985110196836,0.933121752472844,False,True,7,4
355,355,0.16786786301144904,55.59689374603637,117.04683376332711,110.67525637815828,1.0021846614077619,1.0021846614077619,0.941326542165054,False,True,7,4
356,356,0.16687435279430424,54.882031573131094,116.99833999736376,111.60886588400972,0.9752183549132305,0.9752183549132305,0.9374164094330335,False,True,7,4
357,357,0.16685471650148706,53.91152286136222,118.60051639331819,113.2370332484603,1.2112347914046049,1.2112347914046049,0.9271895255341555,False,True,7,4
358,358,0.1668350669345396,54.276616671246856,117.36439447704578,112.00964559624828,1.0146629594046963,1.0146629594046963,0.9389858246598034,False,True,7,4
359,359,0.16681556155201327,54.6009756343658,117.43341826982125,112.10423754141658,1.2123431371523365,1.2123431371523365,0.9342086101494921,False,True,7,4
360,360,0.1667958949604748,54.2099857518999,117.96430946455312,112.65578979143305,1.1232114608754455,1.1232114608754455,0.9314316007811856,False,True,7,4
361,361,0.16688278444879187,54.633889510302055,117.36877732748601,111.97202688914153,1.3393249345191491,1.3393249345191491,0.9355294104439111,False,True,7,4
