order,scan,cos_translation_p2p,cos_rotation_p2p,cos_translation_p2l,cos_rotation_p2l,pred_et_mm_p2p,real_et_mm_p2p,pred_eR_deg_p2p,real_eR_deg_p2p,in_support,block_full,block_primary
110,110,0.9999941922185125,0.5561215935086667,0.9767346681729139,0.6485059220932623,46.33556048313201,65.46800043293982,0.6738946458740908,1.7639244853669382,False,2,-1
111,111,0.99999631393019,0.5636106378762696,0.9761229516553314,0.10790448583527892,45.7642367985519,62.64036436113056,0.6504574675348104,2.048368179203447,False,2,-1
112,112,0.9991070978509135,0.5401138074319394,0.9585845772123788,0.6588926979877678,45.85044280003307,60.181197680403216,0.6314907327362649,1.8373983010235924,False,2,-1
113,113,0.9985743445857657,0.633912608552353,0.9892847842357692,0.6604809306079664,45.21540614571576,61.3257227508445,0.6731430100159522,1.5461014273925675,False,2,-1
114,114,0.9997592764586832,0.49992180049647617,0.98870030163052,0.2760309915996582,45.66240559200408,60.13515338245006,0.6612711512407944,1.1499803676673668,False,2,-1
115,115,0.9974285088793434,0.6016757530832394,0.9874941584241609,0.311345823846073,46.100621753697894,62.58814779725337,0.6773269682037135,1.5817075867874466,False,2,-1
116,116,0.9979626488806738,0.6438415508806297,0.988755516761427,0.8129976916686827,46.687154074563104,64.28236969685388,0.6736409931571464,1.085485795560812,False,2,-1
117,117,0.9941581214568962,0.5369385173867167,0.9935330719307052,0.36866794783401585,46.928092147698834,64.92164832411693,0.6965350228839409,1.2124718522368683,False,2,-1
118,118,0.9885423372453565,0.5775135195993664,0.9983162330134265,0.636178973531469,47.373182294295866,65.4703262274927,0.6856009758500452,1.3778139508344454,False,2,-1
119,119,0.9927833416648753,0.644061057856065,0.9791164342472344,0.62932484547235,46.29010792606447,65.82208037851576,0.6789419362531095,1.163864338447032,False,2,-1
120,120,0.9874885511632412,0.6504589203833601,0.9865517560869521,0.6093677711604815,46.624571161364436,65.8978716288046,0.6805172447069465,1.1851842496405076,False,2,-1
121,121,0.9851683624865537,0.5340614381755923,0.9912691149518134,0.7848359118692201,46.91902398178812,65.90019462513176,0.7388038322573612,1.2538395512122684,False,2,-1
122,122,0.984925018149467,0.5008833636679318,0.9972991508256223,0.3715583502968177,47.207516682296124,66.27155412194527,0.7267499446956087,1.0914245085925423,False,2,-1
123,123,0.9891105755265751,0.5063507497420402,0.9926023938194506,0.39427205204633514,46.17528381236991,66.2782823865559,0.7575922519089744,1.0745184740001064,False,2,-1
124,124,0.9865787141256435,0.5631212595382399,0.9931937657796579,0.5585462073326275,46.419670272109556,66.5116989971549,0.7534828018067246,1.0287255240406141,False,2,-1
125,125,0.9851607865140167,0.44830506645331253,0.9970864443906036,0.1161362993070771,46.554341582460395,66.62231223138188,0.7669119500148656,0.9069712821336953,False,2,-1
126,126,0.9796605206364788,0.5996869513786438,0.9989382974358375,0.717601275491259,46.89294408379597,67.30273450799466,0.7749704640596441,0.9965385337286362,False,2,-1
127,127,0.9845959215976691,0.5733810575617638,0.9978940331980576,0.1083364028174582,45.627270066644265,67.21531318277894,0.7711892269733751,0.9168918126779494,False,2,-1
128,128,0.9804525057246903,0.7082733576662866,0.9988663672315892,0.26074903899156393,45.65048867422386,68.99906652739867,0.7994390675536089,0.9792719918518452,False,2,-1
129,129,0.9803446032245379,0.6056278882631293,0.9992036252198363,0.11201118068565843,45.648485138815,69.07746228385646,0.7774523801632535,0.7843902985994072,False,2,-1
130,130,0.9799257557466403,0.6829459997060537,0.9987954831831589,0.6706240091337655,46.08172404378274,69.43449580407143,0.7969243316588734,0.88425809480002,False,2,-1
131,131,0.9809787249544855,0.8126461333133421,0.995958797030759,0.41921199516860164,44.61920014303796,70.19132167865301,0.8198488494352036,0.8833919499564047,False,2,-1
132,132,0.9776340103535367,0.7984139006044779,0.9991167260228943,0.510779672287772,44.59646283233138,70.72825774392592,0.7994598259741167,0.959801331634908,False,2,-1
133,133,0.9747759524474235,0.8514741631055202,0.9980152409524028,0.7135004446458306,42.983525748343595,70.67148975077603,0.7992686150452244,0.9776146117486634,False,2,-1
134,134,0.9606610438222662,0.7302589631398931,0.9977352765842987,0.23626673040462454,43.04790339997372,71.39637281115324,0.8175882732904003,1.0048783687938438,False,2,-1
135,135,0.9545136305929088,0.8917474376327398,0.9962828567809849,0.2693982849689839,42.979875855503536,71.2870387443144,0.7997384981452422,1.2447658736360712,False,2,-1
136,136,0.9505914733210988,0.7425331245476569,0.995454546979195,0.06970426469079481,42.944282888805326,71.72002588022004,0.8260433695726173,1.239962017367542,False,2,-1
137,137,0.9551986371632323,0.8911455916629178,0.9998956891788765,0.39360357172136273,42.8731391242592,71.41222874099073,0.7834386090885876,1.1563897042752953,False,2,-1
138,138,0.9568904425930721,0.8226271283001654,0.99656650885195,0.40027793006368223,42.77536344617183,71.32242122175282,0.8131733903002576,1.237321480910439,False,2,-1
139,139,0.9502254967637481,0.8706313996996072,0.9914012585272554,-0.31263368923628004,43.17881005292496,71.8557368859273,0.7973883089784287,1.1747184510404316,False,2,-1
140,140,0.9598664285590972,0.8801358430389316,0.9993890023643126,0.6468151246165921,41.67302409332357,71.07370089782003,0.781516306073721,1.155589941481264,False,2,-1
141,141,0.9572576005744579,0.7955327727222622,0.9985139956461826,0.495359753161096,41.63774262505069,70.59943972746268,0.7735257255407487,1.263147717032531,False,2,-1
142,142,0.9492430859619982,0.8871866228937537,0.9998283668935504,0.6047406029012823,41.31086470764854,71.73012629299852,0.7691867276173993,1.21359580616768,False,2,-1
143,143,0.9573206115225428,0.8870386206603873,0.998897766621029,0.541908232804458,41.534708320624596,70.4231697024636,0.7771696593112166,1.3174933340165929,False,2,-1
144,144,0.9580122948674223,0.8842145453152035,0.9998905627165006,0.5066985113145982,40.08199301746986,71.0546250456234,0.7719369703700992,1.1463830658632976,False,2,-1
145,145,0.941307598463807,0.9145474982292989,0.9930035744406638,-0.45353467054671054,40.00313756258883,71.77653618314928,0.7935109569410106,1.0624066633837816,False,2,-1
146,146,0.9407996784496302,0.7762118465771579,0.9940350892955134,0.3021006956781296,39.702333878892176,71.96377638188324,0.7801793193863076,1.00752590545414,False,2,-1
147,147,0.9517275942496594,0.8930012856416417,0.9978730041420298,0.3415429234210224,38.51012868042401,71.5759542042058,0.7839081999957432,0.9360068055245326,False,2,-1
148,148,0.9578554777546935,0.9432227004291577,0.9969319577681468,-0.16773414986852253,38.18406838550291,71.45822790431235,0.7923490709850335,0.9959807240173406,False,2,-1
149,149,0.9497126156912216,0.9501414725612511,0.9949083459038588,0.2572563465182853,38.06896407276563,71.72228020368564,0.7741458976118936,1.1626129920662511,False,2,-1
150,150,0.9363258095075908,0.9038119381156071,0.9925792538299669,0.4467223414847512,37.83318936447846,74.16658820392026,0.7898661084012334,1.0910794908071344,False,3,-1
151,151,0.947809810010227,0.9004967107233047,0.9959053546856469,0.5020868678687728,36.753721711828,73.70140334613544,0.7886977407898721,1.2249935764686328,False,3,-1
152,152,0.9575757915574404,0.9188791702287563,0.9969915003866529,-0.12116625856355331,36.87945243955892,72.76813640233306,0.8033870584223167,1.1732593935139772,False,3,-1
153,153,0.9398551900089236,0.8952423764939501,0.9305361908873754,-0.8104171080568913,36.29986908885966,74.9929848505668,0.8222084867446986,1.2698815356594637,False,3,-1
154,154,0.9323911309430339,0.9267677799365298,0.9742120275775368,0.6586559687554907,36.108363106875295,75.2908288296932,0.7860082811017649,1.0759458155234871,True,3,0
155,155,0.913544173341399,0.8825813230029745,0.9416627250982983,0.9550172240533806,35.51388873741555,78.5382713305995,0.811318130092245,1.3751667255994593,True,3,0
156,156,0.930588890239396,0.8936289318493253,0.9548883930075402,0.5522451810699872,35.39992307071676,75.97687935759663,0.7866059905857414,1.1436179537461286,True,3,0
157,157,0.9177218097317669,0.9146152231727693,0.9721233746884405,0.18074370046136146,35.38096379455942,78.51087144458154,0.739547196001927,1.324053861176435,True,3,0
158,158,0.9335392505727105,0.9685596966760304,0.9542297054861795,0.4917707917859198,35.10054262075932,78.020116854071,0.7200074358854957,1.1979497235940748,True,3,0
159,159,0.9215074566793212,0.8751253325965921,0.9401739061636464,0.5275112145000086,35.40358704781645,80.24178784674908,0.681460622166764,1.3095683755459655,True,3,0
160,160,0.9284179501034777,0.903435593575807,0.938410440438183,0.8453689052223283,35.21453611914022,80.73713548711285,0.6851851691196286,1.3276817360357769,True,3,0
161,161,0.9288555789329399,0.8526449315890213,0.9442043401129394,0.7094606690671159,35.04679414554307,79.07573882539074,0.6295523822233728,1.2279441731482845,True,3,0
162,162,0.9176295832722916,0.760836085132604,0.9366562388862314,0.909161355405431,35.49804480572182,80.7052481474605,0.6850527994613923,1.3969393167384863,True,3,0
163,163,0.9328796626792241,0.8884074002506028,0.9759269553998113,0.8976894755220698,35.29050004668418,80.48211787939647,0.6692988573418166,1.3014390172982875,True,3,0
164,164,0.9265733843319196,0.8954441428453012,0.9819529183544178,0.8241965544826924,35.347015576569795,81.26311971092481,0.6842013826551808,1.3402710451101183,True,3,0
165,165,0.9310003903036278,0.9366644204276255,0.9651253322252032,0.7910932380989079,34.998340253591344,79.3645317338672,0.6524745053732369,1.469910642893801,True,3,0
166,166,0.9288277268719652,0.934668414267269,0.9690707595717571,0.851394697472455,35.095963402050785,79.26708895002812,0.6561601946064353,1.368280591288046,True,3,0
167,167,0.936956235544883,0.8852196596747328,0.961831515377376,0.8672030567478307,34.52907351373513,79.61878226715673,0.6443995363925755,1.2912168435855518,True,3,0
168,168,0.9465449401659761,0.956506565491551,0.9547154635930222,0.8796214380501801,33.980293128574175,77.84263324032952,0.6495125957374757,1.2950912975019997,True,3,0
