panel,patch_id,block,center_median_mm,n_stat_units,center_statistic,shaded_band,statistical_unit,bin_edge_lo_m,bin_edge_hi_m,range_center_m,band_q25_mm,band_q75_mm,bin_index
2B,4,5.0,73.3343213796615,83,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,5,5.0,71.3568329811096,83,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,6,5.0,114.0505447983741,73,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,7,5.0,70.6126391887664,82,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,8,5.0,74.68579150736329,82,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,9,5.0,108.8745407760143,64,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,10,5.0,39.954006671905496,83,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,11,5.0,69.77458670735355,80,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,12,5.0,117.0138493180275,59,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,13,5.0,110.5047427117824,58,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,14,5.0,125.7276497781276,66,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,15,5.0,55.8644402772188,83,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,16,5.0,70.3583694994449,76,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,17,5.0,74.8813599348068,83,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,18,5.0,102.8353869915008,69,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,19,5.0,71.4126713573932,71,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,20,5.0,45.9892600774765,83,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,21,5.0,42.1153455972671,83,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,22,5.0,72.8000588715076,80,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,23,5.0,64.1934424638748,83,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2C,3,,30.055658891797,39,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,8.74651829842418,9.503480232737164,9.111138075283352,28.9701861329376,31.67736716568465,0.0
2C,3,,31.620783731341298,96,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,9.503480232737164,10.260442167050149,9.810499265315158,29.889600817114072,33.33701845258467,1.0
2C,3,,31.6077154129743,52,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,10.260442167050149,11.017404101363134,10.638113117839758,30.1425100769847,32.963387202471424,2.0
2C,3,,29.779903590679098,45,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,11.017404101363134,11.774366035676117,11.3875998281904,28.7009757012128,31.914073973894098,3.0
2C,3,,30.2768005058169,42,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,11.774366035676117,12.531327969989103,12.138017045948416,28.70679507032035,31.205726787447873,4.0
2C,3,,27.9449876397848,39,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,12.531327969989103,13.288289904302086,12.887592648347324,26.26980887725945,29.060540255159097,5.0
2C,3,,27.41096587851635,36,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,13.288289904302086,14.045251838615071,13.648657075464158,26.303379330784075,28.841387946158576,6.0
2C,3,,26.6743646934628,152,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,14.045251838615071,14.802213772928056,14.795915481352779,25.443575810640997,28.123952914029324,7.0
2D,20,,63.5905414819717,39,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,8.74651829842418,9.503480232737164,9.111138075283352,37.34176047146315,83.57614837586874,0.0
