trajectory,block,n,raw_et_med,raw_eR_med,raw_gt_med,raw_gr_med,patch_et_med,patch_eR_med,patch_gt_med,patch_gr_med,shuf_et_med,shuf_eR_med,shuf_gt_med,shuf_gr_med,shuf_ens_et_med,shuf_ens_et_lo,shuf_ens_et_hi,d_et_patch_raw,d_et_shuf_raw,d_et_patch_shuf,d_eR_patch_raw,d_eR_shuf_raw,d_gt_patch_raw,d_gt_shuf_raw
IV,3,6,164.4280207452125,3.9195880366896585,0.06297409213861695,0.02583105429660535,146.52729836328137,3.7744131156655274,0.04556005358479345,0.02406137149843245,154.75774303388965,3.262950638537086,0.0480427144817315,0.024211831543676753,175.59164650778317,156.50278632648877,190.88898915724195,19.274250017562153,10.016787086780738,9.257315954774242,0.08807141193846775,0.7652780449807707,0.0167702821235483,0.01493137765688535
V,0,50,154.02384701791902,4.508039001527891,0.12138475597544965,0.0153223127848328,97.49261006365991,5.520135275218187,0.06893490230803015,0.01358641422581705,153.8595470299091,4.987058704985305,0.11051833986398445,0.015188205878777599,157.02496815547866,122.19210701633978,171.32932278233108,54.297046034513265,-2.082489087924287,58.347005767175006,-1.1170847315972925,-0.6148851107043105,0.04895838923709645,0.0128299116900493
V,1,50,155.82608230462807,4.643852966579203,0.12935464986791428,0.0156915698491866,97.51796744851403,5.82376446112765,0.07617710905011299,0.01323550475731635,158.87450963087042,4.925386197021102,0.12084314105366539,0.0158061180051423,158.38793514164132,139.5827618126049,178.90436243705565,57.571663830923306,-2.493463652953224,59.905279176204964,-1.158754565872412,-0.0997321272642408,0.051317683699788,0.0065446467901265504
V,2,50,157.6744436467052,4.1857029375525014,0.09943324765283565,0.017542712106235002,109.51833992483496,5.013074068035234,0.0564589322651845,0.0150996875551419,156.69494215613193,4.530434147979366,0.08752574642837954,0.014466731507691299,163.83259846597625,147.51679815769788,177.98072939936253,46.260668902163836,2.188303920798205,44.63400423284064,-0.6824833649926028,-0.34280430682640944,0.0421042893091282,0.012716606621421
V,3,50,159.33926172903716,3.6637927428086625,0.10001006839977025,0.01816732904549035,109.97280075097044,4.0526692990464195,0.058046691583182944,0.0158059524273403,154.69245756430686,4.078784130897054,0.0874683087312492,0.01422713578796905,161.65632824292675,129.54428189720946,170.24634718406645,49.37390053668858,3.609878495986777,43.30943985439073,-0.44166871100604105,-0.6137142955295734,0.0386201785436472,0.0112828489694931
V,4,50,159.9341407221243,3.754753642290643,0.0977303879970001,0.01753471129352035,112.44298365356828,4.635416273062088,0.05835097971203675,0.015855070005730547,165.15299103606014,4.074097140256062,0.090527222048214,0.0170824428103521,160.5331404304357,129.62812804963025,181.70071375348957,47.763129601068584,-5.415556002120084,52.89490053556193,-0.8373180634901729,-0.4682853042640369,0.037965954406489894,0.00858834601783165
V,5,50,160.97786191661768,3.88264925694456,0.0924903209142045,0.01726614388875525,116.62622880015971,4.954218356757841,0.0567011906049402,0.0169596210207924,163.4533224509871,3.821978369623224,0.08243702116671625,0.01343469140241,169.74155043922283,157.49006613076534,197.74513217758897,43.8951469599012,-2.6253571254651433,46.22299159053813,-1.1351997574671613,-0.13689883315667203,0.035508660516948246,0.00889215680149865
V,6,50,163.17728982803618,3.6251188226381075,0.09047754593959931,0.0168333339474942,112.97116444562374,3.951777567388004,0.058304517793989596,0.015528506494271049,157.89202583121602,4.0989081496766655,0.08123628607492304,0.012224695429610199,161.16240088662954,131.70525083996205,173.13262060844534,49.37866470395287,4.067154648922767,45.01604419943226,-0.3221549016946521,-0.5955947861486528,0.031047888038907998,0.0093140266507611
V,7,50,165.38192006651224,3.750330452698924,0.0861415674576334,0.0134556824459727,121.68801284507816,5.0510202829009865,0.05505470122786655,0.01576263889480045,172.6312113760202,3.487126238421192,0.0808148286244958,0.01808421252785795,172.6744245338221,161.6503091495656,200.91532242429997,43.69797290069011,-7.97834255446017,50.03300554806375,-1.3349129323879243,0.09402499393790051,0.030463931621550748,0.00266736610723395
V,8,50,163.33377798938736,3.4280114509022566,0.0784911456130851,0.0141370969639469,113.44886140909702,3.7980991239427224,0.0559446062212818,0.015983450477980048,155.25477254590302,4.171488443257545,0.0700544796061923,0.01019818915903295,165.71639245339816,135.7293717783366,174.12139039169614,50.01414472876518,6.6400954609900396,42.04183825290197,-0.2697531629815697,-0.7257355537847257,0.022995327763180397,0.009047041339477
V,9,50,167.14070503555632,3.771114949541877,0.0711400634079773,0.0181990735156435,123.97607876903616,4.6892950575817,0.0574054318082087,0.0221255802627265,174.3068869709248,3.597186852852473,0.07295184808997535,0.0248527435020292,177.28800331488816,158.04365837336923,201.9516174076635,44.593042234027536,-7.1817132092226075,50.16044286820265,-0.9731700748109102,0.1403047955782832,0.014564733219196751,-0.0016964377534910999
