trajectory,order,level,in_support,posthoc,et_mm,eR_deg,iters,on_bound
VI,83,B2_full,True,0,64.92367899372026,4.353716499183667,40,0
VI,84,A1_patch,True,0,109.78683919563369,7.200840926577611,40,0
VI,84,A2_allhist_scanw,True,0,132.98402885056808,6.643061544762,40,0
VI,84,B1_view_pointw,True,0,68.52055301580107,5.172423935415373,40,0
VI,84,B2_full,True,0,67.0376824033314,5.0718719313631615,40,0
VI,85,A1_patch,True,0,122.31580547928814,5.541166583427354,23,0
VI,85,A2_allhist_scanw,True,0,141.0269163652598,4.8749763351906745,40,0
VI,85,B1_view_pointw,True,0,77.04440675007629,4.283141274014963,40,0
VI,85,B2_full,True,0,75.03163508261407,4.104252633936773,40,0
VI,86,A1_patch,True,0,120.98600325813612,5.638555928165458,40,0
VI,86,A2_allhist_scanw,True,0,138.18061287863594,5.113298292594126,40,0
VI,86,B1_view_pointw,True,0,82.29413830028574,5.576246921125586,40,0
VI,86,B2_full,True,0,81.88567210813027,5.493200044697463,40,0
VI,87,A1_patch,True,0,111.99604175914133,6.825601637842906,40,0
VI,87,A2_allhist_scanw,True,0,125.38532410339332,5.954306127720112,40,0
VI,87,B1_view_pointw,True,0,79.86497899949913,5.6374413601877285,40,0
VI,87,B2_full,True,0,79.26598333305841,5.601225678953111,40,0
VI,88,A1_patch,True,0,103.28622424567078,5.366426508088112,33,0
VI,88,A2_allhist_scanw,True,0,115.48753026495773,4.674055060271486,40,0
VI,88,B1_view_pointw,True,0,60.62550935593581,2.7590863213074,40,0
VI,88,B2_full,True,0,60.82741354411854,2.742637736242913,39,0
