trajectory,order,scan,block,in_support,method,arm,translation_error_mm,rotation_error_deg,iters,on_bound,n_points,wmean,sumw,ess_w,keep_ratio,n_retain
II,155,155,0,True,Patch+Trim,PatchTrim,14.740550596309216,1.721335213719648,40,0,10409,0.7999807858583918,8327.0,8327.0,0.7999807858583918,8327
II,155,155,0,True,Raw LS,Raw,88.77677139434556,2.594472712152044,40,0,10409,1.0,10409.0,10409.0,1.0,10409
II,155,155,0,True,Trim Raw,Trim,66.88427150771638,0.9994993056088722,40,0,10409,0.7999807858583918,8327.0,8327.0,0.7999807858583918,8327
II,156,156,0,True,Huber Raw,Huber,72.42812041011511,1.1080205597150987,39,0,10562,0.7781263431928562,8218.570436802947,9162.277280748522,,10562
II,156,156,0,True,Patch LS,Patch,37.17947696812527,0.9604616742311974,40,0,10562,1.0,10562.0,10562.0,1.0,10562
II,156,156,0,True,Patch+Huber,PatchHuber,17.191532209941606,0.9684527604409134,40,0,10562,0.7851772199534388,8293.04179714822,9244.710331352446,,10562
II,156,156,0,True,Patch+Trim,PatchTrim,14.826689166691938,1.663556079632031,40,0,10562,0.8000378716152244,8450.0,8450.0,0.8000378716152244,8450
II,156,156,0,True,Raw LS,Raw,88.97639336331491,2.124642349844424,38,0,10562,1.0,10562.0,10562.0,1.0,10562
II,156,156,0,True,Trim Raw,Trim,66.79950436545266,1.0304679091434987,40,0,10562,0.8000378716152244,8450.0,8450.0,0.8000378716152244,8450
II,157,157,0,True,Huber Raw,Huber,72.91586794521774,1.1034670796222477,40,0,10628,0.7824728730733628,8316.1216950237,9249.16202761456,,10628
II,157,157,0,True,Patch LS,Patch,41.416160156074895,1.0041112590614996,36,0,10628,1.0,10628.0,10628.0,1.0,10628
II,157,157,0,True,Patch+Huber,PatchHuber,19.24509187731336,0.9673978522346456,31,0,10628,0.7889055513969953,8384.488200247266,9330.018503713,,10628
II,157,157,0,True,Patch+Trim,PatchTrim,14.555758904686138,1.7164155079815444,40,0,10628,0.7999623635679337,8502.0,8502.0,0.7999623635679337,8502
II,157,157,0,True,Raw LS,Raw,91.27184425851016,2.292097432679073,39,0,10628,1.0,10628.0,10628.0,1.0,10628
II,157,157,0,True,Trim Raw,Trim,66.3295573393652,1.037452531646346,40,0,10628,0.7999623635679337,8502.0,8502.0,0.7999623635679337,8502
II,158,158,0,True,Huber Raw,Huber,71.56076747685721,1.275374339260775,40,0,10792,0.782763984815795,8447.58892413206,9394.842766298903,,10792
II,158,158,0,True,Patch LS,Patch,39.27608048028538,1.2546484876151338,40,0,10792,1.0,10792.0,10792.0,1.0,10792
II,158,158,0,True,Patch+Huber,PatchHuber,18.20134991646023,0.9397140084477014,40,0,10792,0.7885098649160516,8509.598462174028,9485.11307388109,,10792
II,158,158,0,True,Patch+Trim,PatchTrim,12.07869410252315,1.6043942294394102,39,0,10792,0.8000370644922165,8634.0,8634.0,0.8000370644922165,8634
II,158,158,0,True,Raw LS,Raw,89.81331771669205,2.218586308539568,37,0,10792,1.0,10792.0,10792.0,1.0,10792
II,158,158,0,True,Trim Raw,Trim,65.41533873803247,1.2430915339225004,40,0,10792,0.8000370644922165,8634.0,8634.0,0.8000370644922165,8634
II,159,159,0,True,Huber Raw,Huber,71.95347438980738,1.2575705344042514,40,0,10876,0.7902603096260494,8594.871127492914,9540.497157532189,,10876
II,159,159,0,True,Patch LS,Patch,35.98687586496337,0.8840358081301103,35,0,10876,1.0,10876.0,10876.0,1.0,10876
