table,trajectory,method,block,n_frames,median_translation_mm,median_rotation_deg,axis,block_benefit
paired,VI,Patch+Huber vs Patch LS,1,70,,,rotation,0.6217322539135313
paired,VI,Patch+Huber vs Patch LS,2,79,,,rotation,0.40219225761454913
paired,VI,Patch+Huber vs Patch LS,3,96,,,rotation,0.33626543159544475
paired,VI,Patch+Huber vs Patch LS,4,103,,,rotation,0.2846669394154677
paired,VI,Patch+Huber vs Patch LS,5,83,,,rotation,0.44861565248640556
paired,VI,Patch+Huber vs Huber Raw,0,70,,,translation,42.28372585101233
paired,VI,Patch+Huber vs Huber Raw,1,70,,,translation,41.76822111625632
paired,VI,Patch+Huber vs Huber Raw,2,79,,,translation,43.99813544787531
paired,VI,Patch+Huber vs Huber Raw,3,96,,,translation,48.38053081039001
paired,VI,Patch+Huber vs Huber Raw,4,103,,,translation,46.12023646877964
paired,VI,Patch+Huber vs Huber Raw,5,83,,,translation,47.3264724275686
paired,VI,Patch+Huber vs Huber Raw,0,70,,,rotation,-0.5262307492187621
paired,VI,Patch+Huber vs Huber Raw,1,70,,,rotation,-0.7395458594795317
paired,VI,Patch+Huber vs Huber Raw,2,79,,,rotation,-0.42243343808232225
paired,VI,Patch+Huber vs Huber Raw,3,96,,,rotation,-0.1295167412366789
paired,VI,Patch+Huber vs Huber Raw,4,103,,,rotation,-0.19772322382714114
paired,VI,Patch+Huber vs Huber Raw,5,83,,,rotation,-0.4448255125527081
paired,VI,Patch+Trim vs Patch LS,0,70,,,translation,30.375759242429005
paired,VI,Patch+Trim vs Patch LS,1,70,,,translation,30.612961014340712
paired,VI,Patch+Trim vs Patch LS,2,79,,,translation,29.22120068259491
paired,VI,Patch+Trim vs Patch LS,3,96,,,translation,21.99300955736785
paired,VI,Patch+Trim vs Patch LS,4,103,,,translation,16.250882808391196
paired,VI,Patch+Trim vs Patch LS,5,83,,,translation,11.595325592707937
paired,VI,Patch+Trim vs Patch LS,0,70,,,rotation,0.49486820270476395
paired,VI,Patch+Trim vs Patch LS,1,70,,,rotation,0.40334854152781396
paired,VI,Patch+Trim vs Patch LS,2,79,,,rotation,0.36393691197810973
paired,VI,Patch+Trim vs Patch LS,3,96,,,rotation,0.1892121516418248
paired,VI,Patch+Trim vs Patch LS,4,103,,,rotation,0.09624930452660596
paired,VI,Patch+Trim vs Patch LS,5,83,,,rotation,0.21876934839069495
paired,VI,Patch+Trim vs Trim Raw,0,70,,,translation,46.28901173589192
paired,VI,Patch+Trim vs Trim Raw,1,70,,,translation,45.999505605883066
paired,VI,Patch+Trim vs Trim Raw,2,79,,,translation,46.876334308476956
paired,VI,Patch+Trim vs Trim Raw,3,96,,,translation,48.35394661838725
paired,VI,Patch+Trim vs Trim Raw,4,103,,,translation,47.79196051309755
paired,VI,Patch+Trim vs Trim Raw,5,83,,,translation,51.88992414589201
paired,VI,Patch+Trim vs Trim Raw,0,70,,,rotation,-0.6579605288563819
paired,VI,Patch+Trim vs Trim Raw,1,70,,,rotation,-0.9702598061688286
paired,VI,Patch+Trim vs Trim Raw,2,79,,,rotation,-0.8238339406094815
paired,VI,Patch+Trim vs Trim Raw,3,96,,,rotation,-0.713186750656783
paired,VI,Patch+Trim vs Trim Raw,4,103,,,rotation,-0.7121860486990852
