section,trajectory,method,arm,n,K,t_median,t_q25,t_q75,t_ci_lo,t_ci_hi,r_median,r_q25,r_q75,r_ci_lo,r_ci_hi,med_iters,on_bound_rate,med_wmean,med_ess_w,med_keep,comparison,axis,target,comparator,k_improved,n_negative,n_zero,median_block_benefit,q25,q75,ci_lo,ci_hi,sign_p,wilcoxon_p,median_frame_benefit
marginal,II,Trim Raw,Trim,428.0,,47.31514450153497,35.92466672172632,56.757844814787816,35.249497282577046,57.373865303349454,1.0510585845729663,0.932366846810256,1.1341604536519885,0.9585385405202983,1.1073178104019812,40.0,0.002336448598130841,0.8,8020.0,0.8,,both,,,,,,,,,,,,,
marginal,II,Patch LS,Patch,428.0,,41.77723740078632,33.94298068132507,73.3932571360748,35.23121940050158,70.8778461509393,1.2694027224561912,0.7676099879311041,1.8966694064831404,0.7863175130053577,1.6536443818820297,40.0,0.07009345794392523,1.0,10025.0,1.0,,both,,,,,,,,,,,,,
marginal,II,Patch+Huber,PatchHuber,428.0,,40.133061803888246,33.60623202530039,44.99187657159463,33.162567170302765,44.1728114460101,1.53086484902532,1.1222553398488229,1.8954407415607095,1.2035159950564644,1.8949692944340577,40.0,0.0,0.8024181525589348,8883.178248828448,,,both,,,,,,,,,,,,,
marginal,II,Patch+Trim,PatchTrim,428.0,,40.5207570831741,30.75418856203551,47.49657425057457,28.299311148793823,47.58928255608185,1.6285731509532297,1.1136563908494688,2.5778541644644495,1.1653259230619493,2.564950300370521,40.0,0.004672897196261682,0.8,8020.0,0.8,,both,,,,,,,,,,,,,
marginal,III,Raw LS,Raw,371.0,,75.03685823906689,54.04778861708195,86.37978732748773,54.215123430297325,85.57901883646726,1.6582788034687348,1.2380414804303843,2.525925743519894,1.3258224501703642,2.548661417085196,34.0,0.0,1.0,10268.0,1.0,,both,,,,,,,,,,,,,
marginal,III,Huber Raw,Huber,371.0,,55.890951830742615,41.034981873995164,61.14496076340186,41.23880405699994,61.0836685704509,1.0469504575392192,0.8968670076257107,1.3654207686537259,0.9323256473830562,1.3765957593955558,40.0,0.0,0.756770041541224,8783.375941845912,,,both,,,,,,,,,,,,,
marginal,III,Trim Raw,Trim,371.0,,55.03018006664552,44.227511795833166,58.40678526503709,43.701557197055806,58.03432199787761,1.1529579492353623,1.0048572914415836,1.2925643592310077,1.0465953521551852,1.2500624282807788,38.0,0.0,0.8,8214.0,0.8,,both,,,,,,,,,,,,,
marginal,III,Patch LS,Patch,371.0,,41.29782690845897,24.00642019848893,57.82741774164175,24.02386364865552,56.57388069099374,2.116023558976764,1.4227398557113804,2.6597152799425725,1.4553103107003236,2.5432592810122814,37.0,0.0,1.0,10268.0,1.0,,both,,,,,,,,,,,,,
marginal,III,Patch+Huber,PatchHuber,371.0,,32.19458455669096,21.984641476614982,45.78537405343986,22.145699918470868,44.97754359060257,1.732525011135248,1.2802554010029996,2.2770562549245223,1.296510735043757,2.221679384822981,40.0,0.0,0.786657724665871,8991.647688621399,,,both,,,,,,,,,,,,,
marginal,III,Patch+Trim,PatchTrim,371.0,,37.58320533646747,29.75789922370623,45.25819727045504,29.82560546221323,45.192029554891235,2.1608300833308465,1.5297030748513492,2.607327701140361,1.5080217537313787,2.443040251997987,40.0,0.0,0.8,8214.0,0.8,,both,,,,,,,,,,,,,
