geometry,dtype,family,mag,res_RMS_mm,rms_q25,rms_q75,translation_bias_mm,tb_q25,tb_q75,rotation_bias_deg,grad_total,n_rep,alpha,eta_t,eta_R,gt_norm,gr_norm,pjw_mm,pjw_t_mm,pjw_r_mm,re_rms_mm,re_et_mm,re_eR_deg,organization
GA,D5_appendage_tilt,D5,0.25,5.071529152480024,5.065033893314785,5.302664466326769,0.42173407111689987,0.4033700385071513,0.4351530094780449,0.22457154458875372,0.00170934151145025,20,0.3551669316375199,0.0035288955113996047,0.35091354071397285,3.280957068600658e-05,0.0032147859610172666,1.4967171698477655,0.15283106465399324,1.3941889208723406,5.068529451521071,0.42865121781234294,0.22452603732955745,coherent_extensive_rot
GA,D5_appendage_tilt,D5,0.5,5.183664687565995,5.174556449027048,5.442078368865156,0.06676124100194185,0.05986899459797582,0.07174055455203615,0.03224645521916135,0.0027155834507211,20,0.3551669316375199,0.0028951792843343246,0.17265505697528327,2.6280800659637866e-05,0.0010754988671471412,0.5008797439960879,0.05367839794191026,0.4661994650807065,5.183068497889076,0.07123233175884063,0.03154813036580015,coherent_extensive_rot
GA,D5_appendage_tilt,D5,1.0,8.443210280192009,8.434419667262308,9.059320875063108,0.8177013668517481,0.8008195089383362,0.8343788951201095,0.48403548383878425,0.0058238512836802005,20,0.3551669316375199,0.00208122394970801,0.338425871888393,2.9661646917342394e-05,0.0029229166152443635,1.3606367253492313,0.1411835694143291,1.2674956679920901,8.444116926641387,0.8147586888370332,0.4837166709698899,coherent_extensive_rot
GA,D5_appendage_tilt,D5,2.0,15.611889697864152,15.608667196527502,16.9325604729874,0.10006974128485241,0.09137168106215375,0.11127756910145706,1.4960844839000798,0.012902452464495201,20,0.3551669316375199,0.002050470054086523,0.7363287613093177,4.98209204837667e-05,0.013040795192240606,6.072044518723659,0.6332205246967129,5.655984477832835,15.61123900357169,0.1011644792224148,1.49574813601297,coherent_extensive_rot
GB,CTRL_random_noise,CTRL,2.0,4.783331739904355,4.776209381781262,4.785277418207054,0.03942012043177865,0.034349645417718,0.05702053511418567,0.0027013445620352,5.345903500333994e-05,20,0.0,0.006341948420143593,0.006584253641325214,5.6030503437990884e-05,5.1454200964671945e-05,0.055675944124547475,0.06029641835261784,0.06621619206255899,4.78572656819655,0.042227602374634986,0.0027847099323380343,unstructured_noise
GB,CTRL_random_noise,CTRL,5.0,7.482275019763405,7.473135519285163,7.492690786677644,0.11390490829196365,0.082979512821097,0.13990893386185527,0.0061812057699028,0.0001136369266487,20,0.0,0.008368643637108392,0.005223137044884732,0.00011660756378922715,5.7329568527686076e-05,0.09251389816029232,0.10954559571050818,0.07701627918161308,7.479955620666196,0.1287185599566018,0.005103861050110164,unstructured_noise
GB,CTRL_random_noise,CTRL,10.0,11.504251608551279,11.478269535441344,11.511806815672577,0.3173538548536265,0.2776840093418327,0.4937145160524635,0.01282505532326635,0.0002794646265873,20,0.0,0.012610421750473482,0.0063804625843100985,0.000256801371037951,8.724157531696612e-05,0.1762246262414925,0.2140220544672288,0.13889963171927666,11.496803908320906,0.3523657830864063,0.011686821083953039,unstructured_noise
GB,CTRL_random_noise,CTRL,25.0,25.636580618003503,25.607581714561878,25.695010997696844,1.8401337908226276,1.6011636980187318,1.9419244234359738,0.048048601225895354,0.00100442890523765,20,0.0,0.026169647395887834,0.006882723511237371,0.0011102864766892903,0.00017003244228884157,0.6952692885894958,0.8758575049083195,0.5044130770819956,25.589036362452262,1.904188196536346,0.0484397982665015,unstructured_noise
GB,CTRL_random_noise,CTRL,50.0,50.10689796259919,50.000590440196,50.243688212093495,7.415944229504536,5.898871219738897,8.148028184387416,0.14638850838756723,0.0037167983498427003,20,0.0,0.047760850028762396,0.00722026402832676,0.0038781179131321514,0.00031385006611667654,2.3028477154230447,2.975652816580719,1.6215786614708874,50.06331389048257,7.29953837339062,0.12720086587519175,unstructured_noise
GB,CTRL_random_noise,CTRL,100.0,98.77344774698847,98.53970085682296,99.16160960563569,26.693102142499065,21.66149201691543,27.80602526242654,0.5020535052671475,0.0122042468064376,20,0.0,0.0775044619427456,0.008783606766216413,0.012274868862767595,0.0007482726435619567,7.1525969747238065,8.842958541797245,4.589409373501566,98.79693131941733,25.92984518848094,0.5086539515396111,unstructured_noise
