section,trajectory,method,axis,n,K,median,q25,q75,ci_lo,ci_hi,target,comparator,k_improved,n_negative,n_zero,median_block_benefit,sign_p,wilcoxon_p,median_frame_benefit
paired,IV,Full_vs_Huber,rotation,,4,,0.6411152487735141,1.1453489304838933,-0.19222905605417262,1.226127434340961,Full,Huber,3.0,1.0,0.0,1.0186597231238068,0.625,0.25,0.9997115098282074
paired,IV,Full_vs_Trim,translation,,4,,5.343239048096198,48.96581871870799,-6.330608459553808,55.687086717886935,Full,Trim,3.0,1.0,0.0,27.979958801480606,0.625,0.25,44.977741849910714
paired,IV,Full_vs_Trim,rotation,,4,,0.37787165628554076,0.948196970089703,-0.6196765142931524,1.0009391562914614,Full,Trim,3.0,1.0,0.0,0.8205019772504445,0.625,0.25,0.7594975444213108
paired,II,Patch_vs_Raw,translation,,9,,9.91614028428932,28.549276531138833,9.747568741652113,32.11944601534316,Patch,Raw,9.0,0.0,0.0,18.099165504740768,0.00390625,0.00390625,19.1030687120173
paired,II,Patch_vs_Raw,rotation,,9,,0.024604347495668977,0.5907648293352284,0.0065102743628557835,0.8667076781149394,Patch,Raw,8.0,0.0,1.0,0.20579929932539465,0.0078125,0.0078125,0.38938717153810126
paired,II,Patch_vs_Huber,translation,,9,,-13.352835078816641,8.556346667952432,-14.482615559168789,18.334733338796802,Patch,Huber,5.0,4.0,0.0,5.557660105784571,1.0,0.91015625,-2.0180853132634837
paired,II,Patch_vs_Huber,rotation,,9,,-0.5387830904801524,-0.07983984934620725,-0.5425943100955565,0.18729030843942213,Patch,Huber,2.0,7.0,0.0,-0.30310094787102093,0.1796875,0.1640625,-0.3031847736627374
paired,II,Patch_vs_Trim,translation,,9,,-16.202146368501346,5.348873055239697,-17.413913570238556,14.46701015101905,Patch,Trim,5.0,4.0,0.0,2.6159895885927753,1.0,0.65234375,-4.987348578251716
paired,II,Patch_vs_Trim,rotation,,9,,-0.4233801463770095,-0.0987949326493526,-0.43056301454929685,0.04647903692552208,Patch,Trim,2.0,7.0,0.0,-0.27166040332515495,0.1796875,0.09765625,-0.27784970453545893
paired,II,Patch_vs_Global,translation,,9,,-2.0316487643781116,16.019842757805478,-2.2227267520295158,21.45870209615434,Patch,Global,5.0,3.0,1.0,5.213323963360551,0.7265625,0.109375,7.467911622864934
paired,II,Patch_vs_Global,rotation,,9,,0.02516988569923856,0.5902612742000514,0.008654512644845291,0.8684673106138343,Patch,Global,8.0,0.0,1.0,0.17051087510039598,0.0078125,0.0078125,0.3917002478067925
paired,II,Full_vs_Raw,translation,,9,,-13.897747967352714,11.631228634267831,-13.897747967352714,20.36599474297624,Full,Raw,5.0,4.0,0.0,1.6710666337803097,1.0,1.0,0.7890331893236393
paired,II,Full_vs_Raw,rotation,,9,,-0.8398713213944276,-0.22386397198450264,-0.907179572513986,-0.21184959941074694,Full,Raw,2.0,7.0,0.0,-0.3796675834167562,0.1796875,0.09765625,-0.35769605438556173
paired,II,Full_vs_Huber,translation,,9,,-44.31346535466025,-9.784069823849407,-47.40157783600612,3.8908468672124528,Full,Huber,2.0,7.0,0.0,-14.241841385250748,0.1796875,0.0546875,-14.268708977123566
paired,II,Full_vs_Huber,rotation,,9,,-1.4702665487252329,-0.8290266059290644,-1.507027946651557,-0.8290266059290644,Full,Huber,0.0,9.0,0.0,-1.2095216770288717,0.00390625,0.00390625,-1.1967000484528314
paired,II,Full_vs_Trim,translation,,9,,-46.70427758262355,-14.191078738253022,-48.70238897211854,2.9110344529219,Full,Trim,2.0,7.0,0.0,-18.794561476556538,0.1796875,0.01953125,-19.12974625775895
