trajectory,order,scan,method,block,in_support,translation_error_mm,rotation_error_deg
II,163,163,Patch,0,True,31.170412584118072,1.2824860819248636
II,163,163,Raw,0,True,86.13415210063627,1.3640123567445706
II,163,163,Trim,0,True,62.501859939103845,1.0168317777295763
II,164,164,Full,0,True,37.092594267902015,2.341505235840779
II,164,164,Global,0,True,76.82517838172585,1.6359672250167892
II,164,164,Huber,0,True,67.88902177628421,0.9232206277225588
II,164,164,Patch,0,True,30.436350250016886,0.9185264327062436
II,164,164,Raw,0,True,85.62273217521002,1.631980248488036
II,164,164,Trim,0,True,62.09159952676536,0.8904723779626159
II,165,165,Full,0,True,41.027697097528026,2.429046123926688
II,165,165,Global,0,True,77.74026536528898,1.7469813225068256
II,165,165,Huber,0,True,64.62469750009674,1.2100884850048113
II,165,165,Patch,0,True,31.590065289686457,1.1695520074983945
II,165,165,Raw,0,True,86.20948603697101,1.74273519120299
II,165,165,Trim,0,True,61.72681364565404,1.0706497514844813
II,166,166,Full,0,True,44.54265270933314,2.256870115581035
II,166,166,Global,0,True,77.56404053598463,1.9313103432690373
II,166,166,Huber,0,True,66.36449259008825,1.0699008544737516
II,166,166,Patch,0,True,31.960778886197264,1.0162545070468918
II,166,166,Raw,0,True,86.57795145317921,1.931529378166983
II,166,166,Trim,0,True,60.078410985788224,0.8652220741778394
II,167,167,Full,0,True,41.75018148552985,2.1337007274953903
II,167,167,Global,0,True,78.83135701357624,2.159741212201898
II,167,167,Huber,0,True,66.90696361607868,1.0830109346495451
II,167,167,Patch,0,True,32.16785444021253,1.0082902092090178
II,167,167,Raw,0,True,87.86423726158932,2.1562448699811534
II,167,167,Trim,0,True,60.25157442442282,1.0001591276685642
II,168,168,Full,0,True,47.8438589188378,2.4902290928293485
II,168,168,Global,0,True,79.31550508834158,2.272520115552498
II,168,168,Huber,0,True,66.25759319065234,1.290143377693482
II,168,168,Patch,0,True,33.80365937793189,0.9987810898751094
II,168,168,Raw,0,True,88.29850434120988,2.2717686204445298
II,168,168,Trim,0,True,59.09269476259927,1.0950335559032545
II,169,169,Full,0,True,46.099351223921694,2.1238435238968663
II,169,169,Global,0,True,79.11152864191787,2.016148508592532
II,169,169,Huber,0,True,65.86348172308129,1.34028175514894
II,169,169,Patch,0,True,36.03719068807958,0.7586694666440972
II,169,169,Raw,0,True,88.2856517419532,2.016410308943254
II,169,169,Trim,0,True,57.89754626196928,1.1924955164236453
II,170,170,Full,0,True,48.919888421846665,1.614213082880554
II,170,170,Global,0,True,81.54895807858092,2.272441153406272
II,170,170,Huber,0,True,64.71611766690282,1.273493792712834
II,170,170,Patch,0,True,34.73352083798911,1.0193898345803751
II,170,170,Raw,0,True,89.74722249022022,2.272745563991749
II,170,170,Trim,0,True,57.461212002012815,1.1846008681970788
II,171,171,Full,0,True,47.21467147320579,1.915988833674076
II,171,171,Global,0,True,81.63311835441262,2.0872929090638723
II,171,171,Huber,0,True,65.38437495705908,1.136193078065897
II,171,171,Patch,0,True,38.637911863541845,1.3034281211150605
II,171,171,Raw,0,True,90.0885267098994,2.0844373784122303
II,171,171,Trim,0,True,58.42772066715144,1.0930485648750818
II,172,172,Full,0,True,48.81551808064647,2.131126316662864
II,172,172,Global,0,True,84.0907482217151,1.964012043988466
II,172,172,Huber,0,True,65.90359700088561,1.102413581048148
II,172,172,Patch,0,True,39.5377960841404,1.047826686628143
II,172,172,Raw,0,True,92.13571860999872,1.9576486439180687
II,172,172,Trim,0,True,58.563271726877616,1.1018841004650637
II,173,173,Full,0,True,49.17908236966882,2.141130675861407
II,173,173,Global,0,True,84.69337596792124,1.8610109834234152
II,173,173,Huber,0,True,65.80162349710187,1.1562977076619534
II,173,173,Patch,0,True,40.86082722564551,0.8556149152509226
II,173,173,Raw,0,True,92.66260874109946,1.8634038548187493
II,173,173,Trim,0,True,58.21001314340878,1.0986051826224177
II,174,174,Full,0,True,50.67516457895598,2.2845882212296167
II,174,174,Global,0,True,85.89144135636658,1.9058583611033768
II,174,174,Huber,0,True,67.47563254243543,1.2099293369745177
II,174,174,Patch,0,True,41.73919574189407,1.100805945013882
II,174,174,Raw,0,True,93.49188671943637,1.9010700525932829
II,174,174,Trim,0,True,59.96959653703118,1.057736538551321
II,175,175,Full,0,True,48.45358265315995,2.471864600234156
II,175,175,Global,0,True,86.04437049753898,1.6585315291461036
II,175,175,Huber,0,True,66.48838476036921,1.0012915036473342
II,175,175,Patch,0,True,44.01374345973301,1.0692720715950432
