trajectory,order,scan,method,block,in_support,translation_error_mm,rotation_error_deg
II,175,175,Raw,0,True,93.61379813490942,1.6581225614415935
II,175,175,Trim,0,True,58.91684455967014,1.0532208361549371
II,176,176,Full,0,True,48.83470869235316,2.6426098597361123
II,176,176,Global,0,True,85.46989307860063,1.5262840968354867
II,176,176,Huber,0,True,65.56979861768687,1.115991665582675
II,176,176,Patch,0,True,47.8334268729765,2.037027493672802
II,176,176,Raw,0,True,94.26051737132744,1.5268965586629302
II,176,176,Trim,0,True,58.21430659871696,1.1087494404000096
II,177,177,Full,0,True,48.62493183907231,2.251186599641265
II,177,177,Global,0,True,90.56083155975924,2.2344692685740046
II,177,177,Huber,0,True,66.0905139250735,1.1618577258326217
II,177,177,Patch,0,True,54.85289486757736,2.472242485810895
II,177,177,Raw,0,True,99.84657297785726,2.2351704676813022
II,177,177,Trim,0,True,57.80581679251127,0.9834565533278672
II,178,178,Full,0,True,50.01588178306019,1.9590476168122868
II,178,178,Global,0,True,89.1538280629385,1.883057922766192
II,178,178,Huber,0,True,66.32683990085233,1.0354713127491366
II,178,178,Patch,0,True,53.04448211619852,2.1408544562920384
II,178,178,Raw,0,True,98.72688853590172,1.9280699933742336
II,178,178,Trim,0,True,58.05562992717452,1.0160763655364633
II,179,179,Full,0,True,52.21459418539201,2.397700654591262
II,179,179,Global,0,True,92.89210721073846,2.1236555920263203
II,179,179,Huber,0,True,65.94076086675666,0.8821204534416752
II,179,179,Patch,0,True,58.37101296671843,2.6802428352340324
II,179,179,Raw,0,True,102.61323287839636,2.128458807446689
II,179,179,Trim,0,True,57.372759648936,0.8515940459359556
II,180,180,Full,0,True,47.55376158165483,2.822496019299097
II,180,180,Global,0,True,93.16963194823364,1.4754564985201035
II,180,180,Huber,0,True,66.70869996777266,0.9386648543661632
II,180,180,Patch,0,True,54.94633180967224,1.4186328450824028
II,180,180,Raw,0,True,101.58345451728574,1.473971633522886
II,180,180,Trim,0,True,58.06455567250674,0.8972812925323176
II,181,181,Full,0,True,52.01119093280913,2.477635912891115
II,181,181,Global,0,True,93.63338608648844,1.6134380698074426
II,181,181,Huber,0,True,67.20681107584346,0.7900637899187264
II,181,181,Patch,0,True,55.41101742482884,1.027818781544257
II,181,181,Raw,0,True,101.77065607782777,1.61774628477236
II,181,181,Trim,0,True,59.738134078171726,0.7135346840570175
II,182,182,Full,0,True,55.80228065192457,2.088535931658668
II,182,182,Global,0,True,98.70262191530628,1.8408965780903752
II,182,182,Huber,0,True,70.13208731551371,0.9375190837152548
II,182,182,Patch,0,True,61.122787266056285,1.3377554339281612
II,182,182,Raw,0,True,106.37254504688826,1.8353977220673816
II,182,182,Trim,0,True,62.119400931836616,0.874004845581988
II,183,183,Full,0,True,52.23835128917058,1.8445718116284144
II,183,183,Global,0,True,98.4349701822449,1.63829389210999
II,183,183,Huber,0,True,70.10461900983556,0.951945137888061
II,183,183,Patch,0,True,62.22801537277389,1.1152274278511027
II,183,183,Raw,0,True,105.76868112320156,1.6377267531293425
II,183,183,Trim,0,True,63.28073541783309,0.8079209603356564
II,184,184,Full,0,True,63.56937518116485,1.928073799473795
II,184,184,Global,0,True,107.00495770895992,2.0468232145890832
II,184,184,Huber,0,True,71.54797071612097,0.9565313478829102
II,184,184,Patch,0,True,70.95463313539508,1.6377479793685064
II,184,184,Raw,0,True,114.30204458546665,2.0470213564197923
II,184,184,Trim,0,True,64.50055313853949,0.8024764004235135
II,185,185,Full,0,True,65.53703498367291,1.8152368160417267
II,185,185,Global,0,True,106.29583360273789,2.6185300345263967
II,185,185,Huber,0,True,73.22376599283373,1.2961850545766436
II,185,185,Patch,0,True,71.29144599662072,2.1440007378991712
II,185,185,Raw,0,True,114.13537423198602,2.617848014449271
II,185,185,Trim,0,True,65.02419709045844,1.038992883052092
II,186,186,Full,0,True,56.58071528852699,0.8798604837666204
II,186,186,Global,0,True,102.85833105959968,2.198370373649672
II,186,186,Huber,0,True,71.86454112025294,1.286927061294391
II,186,186,Patch,0,True,69.80564493253914,1.8338668405519667
II,186,186,Raw,0,True,110.93155061602585,2.198370373649663
II,186,186,Trim,0,True,64.91947623078639,0.9693151486338576
II,187,187,Full,0,True,53.60981081272358,1.6370569694743
II,187,187,Global,0,True,107.5253584340018,2.662943787022693
II,187,187,Huber,0,True,72.867608365387,1.3449839733300826
II,187,187,Patch,0,True,74.77518562404543,2.1471636860044856
II,187,187,Raw,0,True,114.72476360006624,2.6622111808023945
