geometry,dtype,mag,form,n,et_med,et_lo,et_hi,eR_med,eR_lo,eR_hi,grad_med,grad_lo,grad_hi,on_bound
GA,D4_appendage_scale,0.025,ls,20,0.19384337358809756,0.1885806064061934,0.22974613894481144,0.00282593106633145,0.00183009537652655,0.00334120914716495,0.00027653927105865,0.0002704937769336,0.00029668381162189996,0.0
GA,D4_appendage_scale,0.025,trim,20,0.0341040034510352,0.0245273383112654,0.0399632566223254,0.0015568343375157502,0.0010796136182802999,0.0017860377857511,,,,0.0
GA,D4_appendage_scale,0.05,huber,20,0.3631362545642097,0.34850324791435283,0.3983817726472303,0.0045608731795185,0.00398168150431155,0.00559656285916995,0.0002239633171709,0.00021807321756704999,0.00024144113990705,0.0
GA,D4_appendage_scale,0.05,ls,20,0.6190900067007652,0.6045188040577497,0.6938769771088598,0.00911193266648575,0.008259585207957401,0.010123784132224,0.0008220067095304499,0.000811464928314,0.00089513084649035,0.0
GA,D4_appendage_scale,0.05,trim,20,0.0443627950490394,0.03509007320478285,0.048844102886337254,0.0012482562699258999,0.0011177746539099,0.001732386100841,,,,0.0
GA,D4_appendage_scale,0.1,huber,20,0.5832880321394849,0.5657247636782703,0.6534600066262616,0.0086558455198294,0.008188808417822501,0.010705553357792951,0.00040514927873615,0.00040193723847115005,0.0004427040905301,0.0
GA,D4_appendage_scale,0.1,ls,20,1.8908795142658779,1.8757249749781093,2.222078088753223,0.02886459675434825,0.027803199590543948,0.03660550055191025,0.0026574109458403997,0.00265039327280825,0.00290729157025195,0.0
GA,D4_appendage_scale,0.1,trim,20,0.0189577232062642,0.013842697389774901,0.02798981597338905,0.0015478830377018,0.00133522984921545,0.0019866366483124,,,,0.0
GA,D5_appendage_tilt,0.0,huber,20,0.015729098473766,0.011438296160517399,0.0201929661658169,0.00106183464880385,0.00082428256359395,0.001422148563326,1.5074448788103214e-05,1.1527814907810792e-05,1.7176517838046657e-05,0.0
GA,D5_appendage_tilt,0.0,ls,20,0.015729098473766,0.011438296160517399,0.0201929661658169,0.00106183464880385,0.00082428256359395,0.001422148563326,3.0148897576205977e-05,2.3055629815621892e-05,3.43530356760934e-05,0.0
GA,D5_appendage_tilt,0.0,trim,20,0.02061035449137715,0.014682670431464099,0.024228586258343898,0.0012427369226721001,0.000772049092299,0.00161553405914635,,,,0.0
GA,D5_appendage_tilt,0.1,huber,20,0.17955118716894436,0.17312695460033728,0.18642023019284393,0.08991237056010509,0.08951261036869046,0.09171863909405739,0.00054918035053995,0.0005417443649125501,0.00059596879822035,0.0
GA,D5_appendage_tilt,0.1,ls,20,0.17955118716894436,0.17312695460033728,0.18642023019284393,0.08991237056010509,0.08951261036869046,0.09171863909405739,0.0010983607010799,0.0010834887298251002,0.00119193759644075,0.0
GA,D5_appendage_tilt,0.1,trim,20,0.18526098787992595,0.17568072720514244,0.1927729075431838,0.08917503564244131,0.08859058411136991,0.0916121480109632,,,,0.0
GA,D5_appendage_tilt,0.25,huber,20,0.42173407111689987,0.4100771996012253,0.434963249469963,0.22457154458875372,0.22411791420615934,0.2293211518252721,0.0008546509758583,0.0008495380287060999,0.00093145893715145,0.0
GA,D5_appendage_tilt,0.25,ls,20,0.42173407111689987,0.4100771996012253,0.434963249469963,0.22457154458875372,0.22411791420615934,0.2293211518252721,0.00170934151145025,0.00169914405262985,0.0018629609142247002,0.0
GA,D5_appendage_tilt,0.25,trim,20,0.4169675939582082,0.38809762908690676,0.4258730686732872,0.22753426704306856,0.22682160404675916,0.23160231168093703,,,,0.0
GA,D5_appendage_tilt,0.5,huber,20,0.0667822173974479,0.06039954192166345,0.07008206084498164,0.03222929744203145,0.03117947559534015,0.032887800589855395,0.0013532563413971499,0.0013477857426781,0.00147883383921045,0.0
GA,D5_appendage_tilt,0.5,ls,20,0.06676124100194185,0.060405471116857755,0.0700812694016789,0.03224645521916135,0.031181144155498552,0.0328958999562717,0.0027155834507211,0.00270342159589995,0.0029667796475755,0.0
GA,D5_appendage_tilt,0.5,trim,20,0.0548812905426155,0.0469620911314454,0.06492552548184616,0.01780507470772925,0.01613414516181265,0.018344763995853303,,,,0.0
GA,D5_appendage_tilt,1.0,huber,20,0.8185570113610496,0.8064405186616893,0.829621829870586,0.48395643527345134,0.48318694104982013,0.49409764217268737,0.0027680439353138502,0.00276389409439585,0.0030233940693732,0.0
GA,D5_appendage_tilt,1.0,ls,20,0.8177013668517481,0.8046732250701559,0.8288794458594756,0.48403548383878425,0.48329062670570955,0.4941703279168769,0.0058238512836802005,0.0058125075144164,0.0063586386220555,0.0
GA,D5_appendage_tilt,1.0,trim,20,0.15193455026650804,0.12669252786899118,0.15887672120946145,0.0446244393668002,0.03828793798127795,0.0454655963282843,,,,0.0
GA,D5_appendage_tilt,2.0,huber,20,0.10296407495896555,0.0913080706182834,6.478267825321795,1.4960508738262892,1.4955415163802361,1.5052219998730216,0.00418895773537915,0.004186469964683651,0.0045833959278089,0.0
