geometry,dtype,mag,unit,rep,kind,form,grad_gt,et_mm,eR_deg,J0,Jstar,dJ,on_bound,n_obs,condition
GA,D3_local_surface_off,50.0,mm,18,p2p,trim,,0.0335881475423753,0.0024304271055125707,8.389339867934149e-06,8.387641318019204e-06,1.6985499149447131e-09,0,38358,structured
GA,D3_local_surface_off,50.0,mm,18,p2l,ls,0.0015699338210164002,5.505991472164842,0.4663786141441582,4.822444077348159e-05,4.3276038079975896e-05,4.948402693505692e-06,0,38358,structured
GA,D3_local_surface_off,50.0,mm,19,p2p,ls,0.0018279839904242134,0.8947526981821162,0.017524028234486705,5.9311193772651863e-05,5.8466258319979494e-05,8.449354526723693e-07,0,38358,structured
GA,D3_local_surface_off,50.0,mm,19,p2p,huber,0.0003205012525562371,0.3163320693552677,0.005157455383947809,1.9767223696357613e-05,2.91273995784232e-05,-9.360175882065587e-06,0,38358,structured
GA,D3_local_surface_off,50.0,mm,19,p2p,trim,,0.011165800949927335,0.0008777691810933121,8.350885155040701e-06,8.350701804685454e-06,1.8335035524685698e-10,0,38358,structured
GA,D3_local_surface_off,50.0,mm,19,p2l,ls,0.001596938827554839,5.490677440305922,0.45304185851211504,4.830974391035504e-05,4.3310834273863904e-05,4.998909636491133e-06,0,38358,structured
GA,D3_local_surface_off,100.0,mm,0,p2p,ls,0.004400000335925713,2.309471651093668,0.030019630801452035,0.00020981369813623848,0.00020482456123806168,4.989136898176798e-06,0,38358,structured
GA,D3_local_surface_off,100.0,mm,0,p2p,huber,0.00047685261415099655,0.47791949522251875,0.005229437430441874,4.136844806032425e-05,5.2647377210306663e-05,-1.1278929149982414e-05,0,38358,structured
GA,D3_local_surface_off,100.0,mm,0,p2p,trim,,0.02449920902335325,0.0023602932907013183,8.394236444673483e-06,8.393012864040282e-06,1.2235806332016734e-09,0,38358,structured
GA,D3_local_surface_off,100.0,mm,0,p2l,ls,0.004127561402156872,13.635074304060007,1.052351381670676,0.00018499695671041685,0.0001571769707738201,2.781998593659674e-05,0,38358,structured
GA,D3_local_surface_off,100.0,mm,1,p2p,ls,0.00443021068728348,2.372216375860046,0.026463382190962618,0.00021011543934758571,0.0002050328976475094,5.082541700076319e-06,0,38358,structured
GA,D3_local_surface_off,100.0,mm,1,p2p,huber,0.0004898504768790045,0.5083082238830047,0.0011455463957372994,4.138226978663079e-05,5.264801146901766e-05,-1.1265741682386868e-05,0,38358,structured
GA,D3_local_surface_off,100.0,mm,1,p2p,trim,,0.016458676326926144,0.002323410093244269,8.374824416095344e-06,8.374164079140377e-06,6.603369549669231e-10,0,38358,structured
GA,D3_local_surface_off,100.0,mm,1,p2l,ls,0.004100512633383859,13.7160283095801,1.053406751285515,0.0001857811069553234,0.00015746170726868374,2.8319399686639672e-05,0,38358,structured
GA,D3_local_surface_off,100.0,mm,2,p2p,ls,0.005267735750356915,12.841917186241053,0.06927028335443615,0.00024828175140611,0.00021560263824414302,3.2679113161966997e-05,0,32274,structured
GA,D3_local_surface_off,100.0,mm,2,p2p,huber,0.0005756145704493834,0.6047959093359909,0.012120076812997415,4.816409881944253e-05,6.0661421661557986e-05,-1.2497322842115453e-05,0,32274,structured
GA,D3_local_surface_off,100.0,mm,2,p2p,trim,,0.027398993590330493,0.001444847291570217,8.481809154732977e-06,8.480910763739882e-06,8.983909930950417e-10,0,32274,structured
GA,D3_local_surface_off,100.0,mm,2,p2l,ls,0.004993083217398831,16.652370758295497,2.637523625594334,0.000221208915767535,0.00018229111759338507,3.891779817414992e-05,0,32274,structured
GA,D3_local_surface_off,100.0,mm,3,p2p,ls,0.0043981432724796606,2.3475129355194486,0.030501677403953105,0.00021009728006940356,0.0002050755169057221,5.021763163681465e-06,0,38358,structured
GA,D3_local_surface_off,100.0,mm,3,p2p,huber,0.0004726562813348323,0.48391344518493584,0.003364220252021016,4.1352580674683094e-05,5.2574476474559333e-05,-1.122189579987624e-05,0,38358,structured
GA,D3_local_surface_off,100.0,mm,3,p2p,trim,,0.024644891126597256,0.0011405738945692025,8.3155364186825e-06,8.314859022080694e-06,6.773966018054812e-10,0,38358,structured
GA,D3_local_surface_off,100.0,mm,3,p2l,ls,0.004053854552858817,13.60864173219754,1.056404750229403,0.0001853659066855603,0.00015748782708965912,2.7878079595901166e-05,0,38358,structured
GA,D3_local_surface_off,100.0,mm,4,p2p,ls,0.004385720785459596,2.3101700496331214,0.02698319738185506,0.0002101078732618717,0.00020515207771699224,4.955795544879467e-06,0,38358,structured
GA,D3_local_surface_off,100.0,mm,4,p2p,huber,0.0004670826264346617,0.4780140261149611,0.0029000319977052916,4.1449025096419865e-05,5.2795763570759076e-05,-1.1346738474339211e-05,0,38358,structured
GA,D3_local_surface_off,100.0,mm,4,p2p,trim,,0.01759718101105994,0.000910699785741563,8.492076504996693e-06,8.491770893916504e-06,3.056110801893979e-10,0,38358,structured
GA,D3_local_surface_off,100.0,mm,4,p2l,ls,0.004174092384454416,13.596289660622785,1.0648135462614845,0.00018521247514482784,0.00015715514675024143,2.8057328394586405e-05,0,38358,structured
GA,D3_local_surface_off,100.0,mm,5,p2p,ls,0.005237509126486421,12.838222272701753,0.07272924485267372,0.00024752310387210236,0.00021497068719347344,3.255241667862892e-05,0,32274,structured
GA,D3_local_surface_off,100.0,mm,5,p2p,huber,0.0005674292621218014,0.5845960888159876,0.01375076879870172,4.809212628139355e-05,6.059926393096042e-05,-1.2507137649566869e-05,0,32274,structured
GA,D3_local_surface_off,100.0,mm,5,p2p,trim,,0.020667963563519284,0.0015519845933467168,8.520037508682009e-06,8.519351540555234e-06,6.85968126775183e-10,0,32274,structured
GA,D3_local_surface_off,100.0,mm,5,p2l,ls,0.00493436064106647,17.440784968110343,2.729491814197331,0.00021977928580379786,0.00018279823524935374,3.6981050554444125e-05,0,32274,structured
GA,D3_local_surface_off,100.0,mm,6,p2p,ls,0.004376173531435341,2.3242803136435337,0.02759966679046995,0.00020979925333457333,0.00020480905346869954,4.990199865873788e-06,0,38358,structured
GA,D3_local_surface_off,100.0,mm,6,p2p,huber,0.00046751154501721597,0.48521817652789173,0.0028828533161528495,4.136273282556884e-05,5.265822726091478e-05,-1.1295494435345943e-05,0,38358,structured
GA,D3_local_surface_off,100.0,mm,6,p2p,trim,,0.020322185401907042,0.0012464821185952158,8.424694780064528e-06,8.424151641743358e-06,5.431383211701489e-10,0,38358,structured
GA,D3_local_surface_off,100.0,mm,6,p2l,ls,0.0038961337869908635,13.561406423732457,1.0618044320866415,0.00018515086781004553,0.00015677899737997136,2.8371870430074172e-05,0,38358,structured
GA,D3_local_surface_off,100.0,mm,7,p2p,ls,0.0044042428836205474,2.3404341248402254,0.029610253188681077,0.00021007884308106095,0.00020510720377987148,4.971639301189478e-06,0,38358,structured
GA,D3_local_surface_off,100.0,mm,7,p2p,huber,0.0004769313664458049,0.47591717583458854,0.003317923178617865,4.137266758728682e-05,5.2652449334797624e-05,-1.1279781747510806e-05,0,38358,structured
