scan,fold,eR_deg_Huber,eR_deg_PatchFullFit,eR_deg_PatchHuberOOF,eR_deg_PatchOOF,eR_deg_Raw,et_mm_Huber,et_mm_PatchFullFit,et_mm_PatchHuberOOF,et_mm_PatchOOF,et_mm_Raw,iters_Huber,iters_PatchFullFit,iters_PatchHuberOOF,iters_PatchOOF,iters_Raw,on_bound_Huber,on_bound_PatchFullFit,on_bound_PatchHuberOOF,on_bound_PatchOOF,on_bound_Raw,benefit_oof,benefit_fullfit,benefit_ph,rot_change_oof,oof_minus_fullfit_error
318,4,4.132324147461612,4.485229544860952,4.939562341351949,4.683054358938858,5.028036628607429,164.62419825580528,140.7638199752554,125.20791419588224,140.64053790212876,180.80941721024192,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,40.16887930811316,40.04559723498653,39.41628405992304,0.3449822696685718,-0.12328207312663153
319,4,3.814528873066584,3.952522848131872,4.063047805294035,4.011484721995764,4.436061319170383,163.52231667124747,142.4875665188782,125.74425457878874,141.8035527753248,179.8432803735201,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,38.0397275981953,37.35571385464189,37.778062092458725,0.42457659717461915,-0.6840137435534075
320,4,2.868596819774208,2.9639657394224947,3.5576026918001613,3.007612756751181,3.561990597351169,160.17169089177293,138.9037016441471,121.29236021014954,138.12655800798925,177.5215198557649,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,39.39496184777565,38.61781821161779,38.87933068162339,0.5543778405999884,-0.7771436361578594
321,4,4.342899139900062,4.347577587432724,4.760909325962363,4.3437852719325525,4.740934790274351,158.62315619528576,137.96299454450386,123.10811790327402,137.47276954084197,174.91936687287313,40.0,36.0,40.0,36.0,30.0,0.0,0.0,0.0,0.0,0.0,37.44659733203116,36.95637232836927,35.51503829201174,0.39714951834179857,-0.4902250036618909
322,4,3.825968556976712,4.299104347535854,4.323294503353035,4.270172528285701,4.386008229153086,154.79366259635543,132.37962419398912,118.33421580813132,132.25905835923103,170.1190241095422,40.0,40.0,40.0,40.0,35.0,0.0,0.0,0.0,0.0,0.0,37.859965750311176,37.73939991555309,36.45944678822411,0.11583570086738515,-0.12056583475808225
323,4,2.954026926266095,4.4885786613782965,3.6206831667671415,4.534765312382781,3.665730024092529,148.15007706590396,125.1675983923206,109.70508895692228,125.29974265452113,162.58334042441473,40.0,30.0,40.0,31.0,40.0,0.0,0.0,0.0,0.0,0.0,37.2835977698936,37.41574203209413,38.444988108981676,-0.8690352882902523,0.13214426220052644
324,4,2.848061703534217,3.773406789375701,3.266096171420479,3.7054957570770304,3.8801941959700352,151.92480737577375,128.6047665902773,108.32284352568746,129.01001337597515,167.4526019740487,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,38.44258859807354,38.84783538377138,43.60196385008629,0.17469843889300485,0.405246785697841
325,4,2.709053625966508,3.586638296028809,2.729552609536175,3.5524040360090687,3.8669448139031406,154.05688383141057,130.1814543233305,108.94839765461371,130.22087700237046,170.32493612899174,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,40.10405912662128,40.143481805661224,45.10848617679686,0.31454077789407187,0.03942267903994434
326,4,4.567118004918831,4.810764689751702,3.977281777733212,4.811042698807342,5.481183560094456,161.1754642918815,132.95428622232515,111.27779063244569,133.36338734021763,176.55526568841591,40.0,30.0,40.0,31.0,25.0,0.0,0.0,0.0,0.0,0.0,43.19187834819829,43.60097946609076,49.89767365943581,0.6701408612871136,0.40910111789247594
327,4,4.285257088941029,4.375107873603244,3.404316503874765,4.323869749406707,5.347319008632143,163.72272252684112,131.43836577867913,111.89994698808488,131.64099429460862,178.97536996749153,40.0,34.0,40.0,34.0,37.0,0.0,0.0,0.0,0.0,0.0,47.33437567288291,47.5370041888124,51.82277553875625,1.023449259225436,0.20262851592949005
328,4,4.259530362586597,3.3301087739997506,2.2790518768106813,3.319611365047653,4.878094643893996,164.17473623924815,129.82494085936318,112.40204271156884,129.71216175726016,176.08523745403318,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,46.373075696773014,46.260296594669995,51.77269352767931,1.5584832788463427,-0.11277910210301911
329,4,3.1442577198069004,2.2567654206473184,1.3462376296461278,2.280283630071508,3.6157138612637776,159.711074161439,127.41897317874589,109.30754322214958,127.66699899819169,173.19362978581455,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,45.526630787622864,45.774656607068664,50.403530939289425,1.3354302311922694,0.24802581944580027
330,4,2.2123645893834434,1.5634248148576964,0.991756908613874,1.5654503660717416,2.6516789456245777,155.21973289687512,118.3831130854424,101.38079351397354,118.61856909225456,169.2182700607005,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,50.59970096844593,50.83515697525809,53.83893938290157,1.0862285795528361,0.23545600681215717
331,4,3.6616479613430015,3.0246207527635844,2.4430198818486604,3.058490931281808,3.791575266236527,156.07030254541826,117.26615755161362,100.0419774025446,117.61919963829573,168.70341494856763,40.0,39.0,40.0,39.0,38.0,0.0,0.0,0.0,0.0,0.0,51.0842153102719,51.43725739695401,56.028325142873655,0.7330843349547189,0.3530420866821089
