scan,fold,method,et_mm,eR_deg,iters,on_bound
26,0,PatchOOF,106.41197590498321,4.0130876681383825,27,0
26,0,PatchHuberOOF,80.83772151676312,3.220927320223531,40,0
26,0,PatchFullFit,105.92503864172004,3.9341968204733644,24,0
27,0,Raw,156.95391063526975,4.520446825352983,35,0
27,0,Huber,136.00036320847278,4.037953311250676,40,0
27,0,PatchOOF,110.5631776529311,4.02917830233016,30,0
27,0,PatchHuberOOF,87.29614922563997,3.900876434058772,40,0
27,0,PatchFullFit,110.34428266297247,4.027344643574741,35,0
28,0,Raw,157.30974435143804,4.697312821989447,40,0
28,0,Huber,138.5431158623876,4.519758297137071,40,0
28,0,PatchOOF,111.02761092716841,4.25325094816725,26,0
28,0,PatchHuberOOF,92.23005023174257,4.35469982242932,40,0
28,0,PatchFullFit,110.71818136966924,4.241256492166768,25,0
29,0,Raw,151.85996047218947,5.254396249784185,36,0
29,0,Huber,134.75626363686044,5.092310704345219,40,0
29,0,PatchOOF,107.11077497682652,5.577267560897979,30,0
29,0,PatchHuberOOF,89.62392041670215,4.959579686564581,40,0
29,0,PatchFullFit,106.70332717331604,5.600087948164995,32,0
30,0,Raw,147.85958022909705,4.509032326167583,39,0
30,0,Huber,132.7072466317472,3.8372231898578497,40,0
30,0,PatchOOF,102.28818709222145,5.189124201110446,25,0
30,0,PatchHuberOOF,84.76246507079343,4.13657576907918,40,0
30,0,PatchFullFit,102.1155538473895,5.154637986140575,24,0
31,0,Raw,151.13694978083257,3.8434560882481077,30,0
31,0,Huber,137.53930391135245,3.467199524597752,40,0
31,0,PatchOOF,103.79241424107471,3.7136987959654633,40,0
31,0,PatchHuberOOF,86.67068114075191,3.4700688348188846,40,0
31,0,PatchFullFit,104.04005597040756,3.7525607657001947,40,0
32,0,Raw,156.54645738937097,5.602187833124552,40,0
32,0,Huber,137.3862457657483,4.670098391206825,22,0
32,0,PatchOOF,112.17453173359297,5.653071626619799,37,0
32,0,PatchHuberOOF,90.52852408353242,4.984951605321185,40,0
32,0,PatchFullFit,112.4040240920315,5.72278386230239,40,0
33,0,Raw,162.10904467639494,4.719372822855423,29,0
33,0,Huber,141.45886230182592,4.254904986196723,36,0
33,0,PatchOOF,117.6923016107611,4.841935144571587,40,0
33,0,PatchHuberOOF,97.36750713430976,4.188189131309456,40,0
33,0,PatchFullFit,117.72858961317749,4.754689909052607,38,0
34,0,Raw,156.4010113072841,3.779888446914253,24,0
34,0,Huber,134.65997739271106,3.6322935110280543,33,0
34,0,PatchOOF,112.33382426615798,3.9477059491767124,30,0
34,0,PatchHuberOOF,92.74077104742751,3.774648806470645,40,0
34,0,PatchFullFit,111.89686964328469,3.961402684499424,30,0
35,0,Raw,151.3364189526446,5.001879187101816,40,0
35,0,Huber,131.48921124297726,4.913289352964585,40,0
35,0,PatchOOF,108.22221420652033,5.103780419487244,33,0
35,0,PatchHuberOOF,89.59461457967228,5.213473667537855,37,0
35,0,PatchFullFit,108.34765508547532,4.964670481449255,28,0
36,0,Raw,140.80943343853926,4.295151437892984,25,0
36,0,Huber,125.1777638029965,4.144080956903095,40,0
36,0,PatchOOF,98.79514726588638,5.3199617862280615,35,0
36,0,PatchHuberOOF,80.67055160339183,4.780857404956014,40,0
36,0,PatchFullFit,98.85846216940365,5.297837443304182,37,0
37,0,Raw,141.97598923069128,4.183590385040915,28,0
37,0,Huber,124.45529900770758,3.2651009428447506,40,0
37,0,PatchOOF,103.12910103942542,4.996871537141838,26,0
37,0,PatchHuberOOF,80.40836918562388,4.30471673139578,40,0
37,0,PatchFullFit,103.21558066829853,5.007426511880473,31,0
38,0,Raw,142.40180987590296,5.1272194922728325,36,0
38,0,Huber,128.3749324762752,4.515654191056767,40,0
38,0,PatchOOF,99.6148396163881,6.17064182750492,40,0
38,0,PatchHuberOOF,79.87968794226803,5.296368776171515,36,0
38,0,PatchFullFit,99.07778383683859,6.140640726981275,40,0
39,0,Raw,147.77667268914763,5.871695231738166,40,0
39,0,Huber,131.0586476619768,5.171669441322898,40,0
39,0,PatchOOF,105.58678669153937,6.58795276778161,40,0
39,0,PatchHuberOOF,84.09011978616199,5.763987242803055,40,0
39,0,PatchFullFit,104.69533395111804,6.556343588260287,40,0
40,0,Raw,152.43890387688938,4.336252269980186,27,0
40,0,Huber,133.53661477412942,3.942779661301416,38,0
40,0,PatchOOF,110.18639115593885,4.508596402347805,29,0
40,0,PatchHuberOOF,88.09954640291974,4.518508479151541,40,0
40,0,PatchFullFit,109.24490028217737,4.462353510361972,26,0
41,0,Raw,152.76831802049543,4.6332715674076805,40,0
41,0,Huber,132.66361742162766,4.484367888967686,40,0
41,0,PatchOOF,113.00387933774918,5.615450979381162,40,0
41,0,PatchHuberOOF,89.11011863505544,5.544856770146318,40,0
41,0,PatchFullFit,112.28025534665262,5.5206962990284,40,0
