trajectory,method,level,n,et_med,et_iqr,et_p25,et_p75,eR_med,eR_iqr,captureA_rate,captureB_rate,safeguard_rate,itercap_rate,numfail_rate,solvervalid_rate,posthoc,PatchRaw_gain_t_med,PatchRaw_frac_pos,PHHuber_gain_t_med,PHHuber_frac_pos
IV,Raw,L3,80,151.24633287307785,18.722536376517496,140.58289597667113,159.30543235318862,2.3690872568160364,1.8554552224837737,0.0,0.0,0.0875,0.875,0.0,0.9125,0,5.829543911270065,0.7625,-2.7562548958148554,0.4125
IV,Raw,L4,80,151.45391863515954,22.198210210658942,138.82148761149676,161.0196978221557,2.7998388295765695,2.5148808204362574,0.0,0.0,0.1,0.875,0.0,0.9,0,5.365606664794072,0.7125,-1.9981286550116124,0.4375
IV,Raw,L5,80,151.6735138967917,26.616990402417258,138.7756195735207,165.39260997593794,3.9467167166151,3.2978748011933385,0.9,0.0,0.1,0.8875,0.0,0.9,0,5.020140992069571,0.7,1.5760613591264558,0.5375
IV,Raw,L6,80,153.37445243645305,32.64032360013218,138.17091666852627,170.81124026865845,5.807663119799555,6.823288867892913,0.8875,0.0,0.1625,0.8375,0.0,0.8375,0,4.691702822419472,0.675,0.3205582077818008,0.5125
VI,Huber,L0,20,149.26344749722392,15.394825833948005,142.3323776050673,157.7272034390153,3.7624036757344763,0.9234441915749594,0.0,0.0,0.0,0.95,0.0,1.0,0,45.12091924579405,1.0,50.10325802351519,1.0
VI,Huber,L1,80,149.272685478396,15.410972598479901,142.32902133392696,157.73999393240686,3.7349592786597006,0.900554370312749,0.0,0.0,0.0,0.95,0.0,1.0,0,45.03718292788016,1.0,50.04269763764345,1.0
VI,Huber,L2,80,149.07473071717797,15.501176951146078,142.1475196527512,157.6486966038973,3.7653888772795723,1.222644203448692,0.0,0.0,0.0,0.9625,0.0,1.0,0,44.74208959866649,1.0,49.963770863159574,1.0
VI,Huber,L3,80,149.0734604813665,15.342364472518227,142.31032076321816,157.65268523573639,3.719524065276947,1.1703000319937904,0.0,0.0,0.0,0.9625,0.0,1.0,0,44.58386489637318,1.0,49.914346394248085,1.0
VI,Huber,L4,80,148.44564463935728,15.71818180753894,141.90886139391057,157.6270432014495,3.8424455222823735,1.6565232579591296,0.0,0.0,0.0,0.9625,0.0,1.0,0,44.704108953043146,1.0,49.920878820568674,1.0
VI,Huber,L5,80,148.9168917189921,18.809393245544896,138.6606634868415,157.47005673238638,3.9280086087598045,2.1011607253862454,0.975,0.0,0.025,0.975,0.0,0.975,0,44.49125974957186,0.975,50.236457390545674,1.0
VI,Huber,L6,80,157.9659799128008,103.93071997389853,143.95881781632235,247.88953779022088,5.745249817583188,11.502469206189764,0.6125,0.0,0.45,0.5375,0.0,0.55,0,45.80895724725704,0.9,42.79518481229089,0.825
VI,Patch,L0,20,115.26890796330157,18.11618469111508,106.4397305522604,124.55591524337548,4.54822709694621,1.346236678043641,0.0,0.0,0.0,0.35,0.0,1.0,0,45.12091924579405,1.0,50.10325802351519,1.0
VI,Patch,L1,80,115.24775718253238,18.286807057406122,106.26559481145577,124.55240186886189,4.5438991944888,1.3378591911299411,0.0,0.0,0.0,0.3875,0.0,1.0,0,45.03718292788016,1.0,50.04269763764345,1.0
VI,Patch,L2,80,115.3111210964235,18.54655925833552,105.98474854320474,124.53130780154027,4.580610115650211,1.4213165006562232,0.0,0.0,0.0,0.5625,0.0,1.0,0,44.74208959866649,1.0,49.963770863159574,1.0
VI,Patch,L3,80,115.359367001253,18.491035810273218,106.00497489269773,124.49601070297095,4.486045724106305,1.4896205223754553,0.0,0.0,0.0,0.725,0.0,1.0,0,44.58386489637318,1.0,49.914346394248085,1.0
VI,Patch,L4,80,115.48613890907554,18.216479687809425,106.06677542061236,124.28325510842178,4.358983860891829,1.4509891937299888,0.05,0.0,0.0,0.85,0.0,1.0,0,44.704108953043146,1.0,49.920878820568674,1.0
VI,Patch,L5,80,115.46868801575283,16.759207309643017,106.0449733039937,122.80418061363672,4.258580936799209,2.030379895250835,1.0,0.0,0.0,0.9125,0.0,1.0,0,44.49125974957186,0.975,50.236457390545674,1.0
VI,Patch,L6,80,116.80604986719506,30.335726257877752,106.12155879933772,136.45728505721547,4.740470292960104,11.104796269973033,0.8125,0.0,0.3,0.65,0.0,0.7,0,45.80895724725704,0.9,42.79518481229089,0.825
VI,PatchHuber,L0,20,102.2297842099466,20.210078099931806,88.12795309826014,108.33803119819194,4.0671144090806814,1.2561917524550537,0.0,0.0,0.0,0.95,0.0,1.0,0,45.12091924579405,1.0,50.10325802351519,1.0
VI,PatchHuber,L1,80,102.24933344770866,20.6390908931445,87.64626465637049,108.28535554951499,4.032658511135443,1.454204749390279,0.0,0.0,0.0,0.9,0.0,1.0,0,45.03718292788016,1.0,50.04269763764345,1.0
VI,PatchHuber,L2,80,103.07007932368758,20.893217259005183,87.32099955812092,108.2142168171261,4.111981557521663,1.6795326276431175,0.0,0.0,0.0,0.95,0.0,1.0,0,44.74208959866649,1.0,49.963770863159574,1.0
VI,PatchHuber,L3,80,103.48744501177696,21.56655097152091,86.65014880327628,108.21669977479719,4.009988520334176,1.7667131887757868,0.0,0.0,0.0,0.9375,0.0,1.0,0,44.58386489637318,1.0,49.914346394248085,1.0
