trajectory,frame_id,method,perturbation_level,direction_id,translation_init_mm,rotation_init_deg,final_translation_error_mm,final_rotation_error_deg,iterations,termination_reason,hit_iteration_cap,hit_translation_boundary,hit_rotation_boundary,final_objective,ref_translation_error_mm,ref_rotation_error_deg,delta_init_t_mm,delta_init_r_deg,posthoc,safeguard,numerical_failure,solver_valid,capture_A,capture_B
II,321,PatchHuber,L4,v1,100.0,5.0,55.38199126278201,2.413971487848227,40,cap,1,0,0,0.0019581249828699,51.66572554950665,1.695883024590396,3.716265713275362,0.7180884632578308,0,0,0,1,True,False
II,321,PatchHuber,L4,v2,100.0,5.0,49.63957715661204,2.2975599867900867,40,cap,1,0,0,0.0019848792818911,51.66572554950665,1.695883024590396,-2.026148392894605,0.6016769621996907,0,0,0,1,True,False
II,321,PatchHuber,L4,v3,100.0,5.0,52.55056788115196,1.6938955848719814,40,cap,1,0,0,0.0019582954675444,51.66572554950665,1.695883024590396,0.8848423316453164,-0.0019874397184145,0,0,0,1,True,False
II,321,PatchHuber,L4,v4,100.0,5.0,52.809893881473656,1.922213210007397,40,cap,1,0,0,0.0019467100297843,51.66572554950665,1.695883024590396,1.144168331967009,0.226330185417001,0,0,0,1,True,False
II,321,PatchHuber,L5,v1,200.0,10.0,58.6443508013802,3.795313285523159,40,cap,1,0,0,0.002002377307999,51.66572554950665,1.695883024590396,6.978625251873552,2.0994302609327624,0,0,0,1,True,False
II,321,PatchHuber,L5,v2,200.0,10.0,46.04718497633458,5.04007787420572,40,cap,1,0,0,0.002136902528425,51.66572554950665,1.695883024590396,-5.618540573172062,3.344194849615324,0,0,0,1,True,False
II,321,PatchHuber,L5,v3,200.0,10.0,53.30024800382786,1.6571027385704808,40,cap,1,0,0,0.0019595352502007,51.66572554950665,1.695883024590396,1.634522454321214,-0.0387802860199151,0,0,0,1,True,False
II,321,PatchHuber,L5,v4,200.0,10.0,54.08243862345761,2.2613958524735605,40,cap,1,0,0,0.0019502828082075,51.66572554950665,1.695883024590396,2.416713073950966,0.5655128278831645,0,0,0,1,True,False
II,321,PatchHuber,L6,v1,300.0,15.0,62.51204479902954,6.23410187142242,40,cap,1,0,0,0.0021673372169228,51.66572554950665,1.695883024590396,10.846319249522892,4.538218846832025,0,0,0,1,True,False
II,321,PatchHuber,L6,v2,300.0,15.0,41.50205353114146,14.92881120731765,11,boundary,0,0,1,0.0044049473116453,51.66572554950665,1.695883024590396,-10.163672018365183,13.232928182727257,0,1,0,0,True,False
II,321,PatchHuber,L6,v3,300.0,15.0,54.15081907667185,1.6454576414515305,40,cap,1,0,0,0.0019565360913314,51.66572554950665,1.695883024590396,2.485093527165205,-0.0504253831388654,0,0,0,1,True,False
II,321,PatchHuber,L6,v4,300.0,15.0,55.67333849840461,3.045172769284862,40,cap,1,0,0,0.0019526163440814,51.66572554950665,1.695883024590396,4.0076129488979575,1.349289744694466,0,0,0,1,True,False
II,385,Raw,L4,v1,100.0,5.0,64.9198705040553,2.3866281019795483,40,cap,1,0,0,0.0050323777326502,64.05762403515455,1.9621361409422176,0.8622464689007501,0.4244919610373305,0,0,0,1,True,False
II,385,Raw,L4,v2,100.0,5.0,63.29662945800286,1.7895872377913358,40,cap,1,0,0,0.0050392996572344,64.05762403515455,1.9621361409422176,-0.7609945771516848,-0.172548903150882,0,0,0,1,True,False
II,385,Raw,L4,v3,100.0,5.0,64.75079025709076,2.135257510498565,40,cap,1,0,0,0.0050301379681804,64.05762403515455,1.9621361409422176,0.6931662219362096,0.1731213695563471,0,0,0,1,True,False
II,385,Raw,L4,v4,100.0,5.0,63.92680604301426,1.9389760426077467,40,cap,1,0,0,0.0050306594019357,64.05762403515455,1.9621361409422176,-0.1308179921402867,-0.023160098334471,0,0,0,1,True,False
II,385,Raw,L5,v1,200.0,10.0,65.75279268203421,3.2511313284378685,40,cap,1,0,0,0.0050532303061263,64.05762403515455,1.9621361409422176,1.6951686468796652,1.288995187495651,0,0,0,1,True,False
II,385,Raw,L5,v2,200.0,10.0,62.21850162064872,2.07579535695772,40,cap,1,0,0,0.0050595908654139,64.05762403515455,1.9621361409422176,-1.8391224145058305,0.1136592160155023,0,0,0,1,True,False
II,385,Raw,L5,v3,200.0,10.0,65.19484374984906,2.3809893991346907,40,cap,1,0,0,0.0050327128033977,64.05762403515455,1.9621361409422176,1.1372197146945098,0.4188532581924729,0,0,0,1,True,False
II,385,Raw,L5,v4,200.0,10.0,63.85822104063184,1.921069020993627,40,cap,1,0,0,0.0050310637533512,64.05762403515455,1.9621361409422176,-0.1994029945227069,-0.0410671199485908,0,0,0,1,True,False
II,385,Raw,L6,v1,300.0,15.0,227.9507445203865,15.000000000000002,1,boundary,0,0,1,,64.05762403515455,1.9621361409422176,163.89312048523198,13.037863859057785,0,1,0,0,False,False
II,385,Raw,L6,v2,300.0,15.0,61.303702788561374,3.100310173045888,40,cap,1,0,0,0.0051145187520491,64.05762403515455,1.9621361409422176,-2.7539212465931726,1.1381740321036704,0,0,0,1,True,False
II,385,Raw,L6,v3,300.0,15.0,65.53477321257316,2.590883372493675,40,cap,1,0,0,0.0050361383821341,64.05762403515455,1.9621361409422176,1.4771491774186103,0.6287472315514571,0,0,0,1,True,False
II,385,Raw,L6,v4,300.0,15.0,63.774948077529686,1.9081064610223777,40,cap,1,0,0,0.0050313038627568,64.05762403515455,1.9621361409422176,-0.2826759576248605,-0.05402967991984,0,0,0,1,True,False
II,385,Huber,L4,v1,100.0,5.0,53.42156557709617,1.7450811451740105,40,cap,1,0,0,0.0007688622978045,51.95990545626039,0.9673787857154144,1.461660120835781,0.7777023594585958,0,0,0,1,True,False
II,385,Huber,L4,v2,100.0,5.0,49.38732751741505,1.5027660549353898,40,cap,1,0,0,0.0008117174962476,51.95990545626039,0.9673787857154144,-2.5725779388453347,0.5353872692199754,0,0,0,1,True,True
II,385,Huber,L4,v3,100.0,5.0,52.7126888131377,1.176423466940247,40,cap,1,0,0,0.0007543130685086,51.95990545626039,0.9673787857154144,0.7527833568773161,0.2090446812248324,0,0,0,1,True,False
II,385,Huber,L4,v4,100.0,5.0,51.72135382484889,0.9472915081441416,40,tol,0,0,0,0.0007550563386809,51.95990545626039,0.9673787857154144,-0.2385516314114966,-0.0200872775712729,0,0,0,1,True,False
II,385,Huber,L5,v1,200.0,10.0,55.09148708995897,4.443360474028471,40,cap,1,0,0,0.0009290131264846,51.95990545626039,0.9673787857154144,3.1315816336985804,3.4759816883130563,0,0,0,1,True,False
II,385,Huber,L5,v2,200.0,10.0,46.28173340178353,4.164181406208371,40,cap,1,0,0,0.000995508690281,51.95990545626039,0.9673787857154144,-5.67817205447686,3.1968026204929565,0,0,0,1,True,False
II,385,Huber,L5,v3,200.0,10.0,54.91551091346605,1.560237075688365,40,cap,1,0,0,0.0007829228500179,51.95990545626039,0.9673787857154144,2.955605457205664,0.5928582899729505,0,0,0,1,True,False
II,385,Huber,L5,v4,200.0,10.0,51.48421829407217,0.9454269965691322,40,cap,1,0,0,0.0007553648450143,51.95990545626039,0.9673787857154144,-0.4756871621882155,-0.0219517891462822,0,0,0,1,True,False
II,385,Huber,L6,v1,300.0,15.0,239.342629793432,15.000000000000002,1,boundary,0,0,1,,51.95990545626039,0.9673787857154144,187.3827243371716,14.032621214284587,0,1,0,0,False,False
II,385,Huber,L6,v2,300.0,15.0,44.87696983248296,7.898959660876224,40,cap,1,0,0,0.0012808038220067,51.95990545626039,0.9673787857154144,-7.082935623777431,6.93158087516081,0,0,0,1,True,False
