method,et_mm,eR_deg,g_corr_gt,J_raw_gt,J_raw_final,iters,traj,order,scan,view,ndist,in_support,nearest_d
M4_patch_corr,76.43121262393736,3.1123371747536033,0.022297483610079084,0.007141769329905736,0.005367042687045087,40,iii,3,3,oracle,2.4104424244366762,False,2.4104424244366762
M5_full_corr,47.03300402232787,2.640965548702717,0.01065646992170851,0.007141769329905736,0.006034634011760373,25,iii,3,3,oracle,2.4104424244366762,False,2.4104424244366762
M0_raw_p2p,114.55928253657531,2.1733531951142715,0.04681435947150345,0.007832362062959298,0.004923810793869064,40,iii,4,4,oracle,2.4060899998539815,False,2.4060899998539815
M1_raw_p2l,117.30071072514342,2.3363309287610345,0.044499653327023374,0.007832362062959298,0.004951980900415688,40,iii,4,4,oracle,2.4060899998539815,False,2.4060899998539815
M2_raw_huber,94.87795501742065,1.8480920134430654,0.019749561153826298,0.007832362062959298,0.005132756819425336,40,iii,4,4,oracle,2.4060899998539815,False,2.4060899998539815
M3_global_corr,108.38960727703149,2.1681260316156807,0.043520670138575586,0.007832362062959298,0.005036246641550357,40,iii,4,4,oracle,2.4060899998539815,False,2.4060899998539815
M4_patch_corr,88.52144450927607,3.101544381828292,0.025458053467871517,0.007832362062959298,0.005583494713965717,40,iii,4,4,oracle,2.4060899998539815,False,2.4060899998539815
M5_full_corr,58.3676725440237,2.423074801656405,0.013257630545377205,0.007832362062959298,0.0061991205300905,40,iii,4,4,oracle,2.4060899998539815,False,2.4060899998539815
M0_raw_p2p,122.09194798541746,2.0255932359548705,0.05220000654955345,0.008620806482336443,0.005245100763202875,40,iii,5,5,oracle,2.3928000686679907,False,2.3928000686679907
M1_raw_p2l,125.44836125058212,1.632535712724237,0.04844920307197204,0.008620806482336443,0.005266612767400334,40,iii,5,5,oracle,2.3928000686679907,False,2.3928000686679907
M2_raw_huber,100.04733279887618,1.7373409553339558,0.02512108192827543,0.008620806482336443,0.00547880042612177,40,iii,5,5,oracle,2.3928000686679907,False,2.3928000686679907
M3_global_corr,114.01670402031372,2.0212585160776757,0.0450235480720476,0.008620806482336443,0.005360206782361497,40,iii,5,5,oracle,2.3928000686679907,False,2.3928000686679907
M4_patch_corr,94.0521690966533,2.3165150724220145,0.02852879954353562,0.008620806482336443,0.005832472377666868,40,iii,5,5,oracle,2.3928000686679907,False,2.3928000686679907
M5_full_corr,64.89888431323625,1.7913123282843137,0.01717976829740178,0.008620806482336443,0.006371862030938435,40,iii,5,5,oracle,2.3928000686679907,False,2.3928000686679907
M0_raw_p2p,120.54595131838991,1.7159560530525804,0.05381057942581138,0.00890960134437551,0.0054410312469025226,40,iii,6,6,oracle,2.374049934723871,False,2.3740499347238715
M1_raw_p2l,126.04775662764672,1.8706143728219529,0.05182453109832381,0.00890960134437551,0.0055133318938876885,40,iii,6,6,oracle,2.374049934723871,False,2.3740499347238715
M2_raw_huber,99.93033604971949,1.628813354803783,0.0278171820705515,0.00890960134437551,0.00563440429475263,40,iii,6,6,oracle,2.374049934723871,False,2.3740499347238715
M3_global_corr,112.28222979958214,1.7054903665565395,0.04615691306175785,0.00890960134437551,0.00555984649212021,40,iii,6,6,oracle,2.374049934723871,False,2.3740499347238715
M4_patch_corr,92.59439124765905,2.295032994141259,0.029249491402852327,0.00890960134437551,0.006020682445022815,40,iii,6,6,oracle,2.374049934723871,False,2.3740499347238715
M5_full_corr,65.52964445097405,2.018790389733118,0.01724510853393631,0.00890960134437551,0.006518635009906129,40,iii,6,6,oracle,2.374049934723871,False,2.3740499347238715
M0_raw_p2p,117.28662637024482,1.4921662756581848,0.05416080501519923,0.008561975820526873,0.0053164559685515474,40,iii,7,7,oracle,2.3551577738569986,False,2.3551577738569986
M1_raw_p2l,121.62494445217298,2.060295247443522,0.05268155097473083,0.008561975820526873,0.005379101967437329,40,iii,7,7,oracle,2.3551577738569986,False,2.3551577738569986
M2_raw_huber,96.27679808472276,1.3824686381291034,0.02717463812191539,0.008561975820526873,0.005508796019487689,40,iii,7,7,oracle,2.3551577738569986,False,2.3551577738569986
M3_global_corr,109.24823795173329,1.48798723716651,0.045821184969688636,0.008561975820526873,0.005457739721823873,40,iii,7,7,oracle,2.3551577738569986,False,2.3551577738569986
M4_patch_corr,89.88054755217357,2.6702044021508407,0.02833139195775482,0.008561975820526873,0.00592133855187296,40,iii,7,7,oracle,2.3551577738569986,False,2.3551577738569986
M5_full_corr,65.20543294236252,2.343317401591801,0.01813700316436482,0.008561975820526873,0.006339309294650435,40,iii,7,7,oracle,2.3551577738569986,False,2.3551577738569986
M0_raw_p2p,113.82475768546067,1.6416710699872845,0.05190976853202847,0.008334693096789712,0.005340717007700612,40,iii,8,8,oracle,2.336853298356153,False,2.336853298356153
M1_raw_p2l,117.36886898895364,2.1889730447321307,0.04914784438063155,0.008334693096789712,0.005396600769798313,40,iii,8,8,oracle,2.336853298356153,False,2.336853298356153
M2_raw_huber,91.81767991738319,1.4473301247924086,0.025952476554272918,0.008334693096789712,0.005530759049974762,40,iii,8,8,oracle,2.336853298356153,False,2.336853298356153
M3_global_corr,106.00058965832888,1.6386507542936048,0.04376534240335681,0.008334693096789712,0.005478550493922936,40,iii,8,8,oracle,2.336853298356153,False,2.336853298356153
