kind,form,real,g_gt,et_mm,eR_deg,J_gt,J_star,dJ,iters,traj,order,scan,ndist,in_support,block,n
p2l,huber,0,5.919210732987206e-06,0.0,0.0,,0.0,,2,iii,4,4,2.4060899998539815,False,0,9306
p2l,trim,1,0.022767562412964324,89.10624104599043,1.2262382125035358,0.0015047847124697678,0.00031082852524056033,0.0011939561872292073,40,iii,4,4,2.4060899998539815,False,0,9306
p2l,trim,0,1.2856062734712697e-05,0.0,0.0,,0.0,,2,iii,4,4,2.4060899998539815,False,0,9306
p2p,ls,1,0.05220000654955345,122.09194798541746,2.0255932359548705,0.008620806482336443,0.005245112992604071,0.0033756934897323726,40,iii,5,5,2.3928000686679907,False,0,9356
p2p,ls,0,1.076147242786773e-05,1.672597535394866e-13,3.4212452578037747e-15,,2.6900996519918637e-31,,2,iii,5,5,2.3928000686679907,False,0,9356
p2p,huber,1,0.02512108192827543,100.04733279887618,1.7373409553339558,0.00244734044063524,0.0013615511817156967,0.0010857892589195436,40,iii,5,5,2.3928000686679907,False,0,9356
p2p,huber,0,5.380736213934012e-06,1.672597535394866e-13,3.4212452578037747e-15,,2.6900996519918637e-31,,2,iii,5,5,2.3928000686679907,False,0,9356
p2p,trim,1,0.031703209735892635,92.83784763279206,1.50075373524721,0.00215079919840605,0.0005051511511923951,0.0016456480472136548,40,iii,5,5,2.3928000686679907,False,0,9356
p2p,trim,0,1.346835101069341e-05,4.7651641394566836e-14,2.6956586838312477e-15,,1.3532246211290597e-31,,2,iii,5,5,2.3928000686679907,False,0,9356
p2l,ls,1,0.04844920307197204,125.44836125058212,1.632535712724237,0.007942529679876308,0.004833639127949144,0.003108890551927164,40,iii,5,5,2.3928000686679907,False,0,9356
p2l,ls,0,3.493156099957314e-06,0.0,0.0,,0.0,,2,iii,5,5,2.3928000686679907,False,0,9356
p2l,huber,1,0.021084231576346278,99.27531348336916,1.4751434309572788,0.0021149610447216646,0.0011455377188036102,0.0009694233259180543,40,iii,5,5,2.3928000686679907,False,0,9356
p2l,huber,0,1.7465780499786918e-06,0.0,0.0,,0.0,,2,iii,5,5,2.3928000686679907,False,0,9356
p2l,trim,1,0.02733037908387787,91.15064571102691,1.1621583350481652,0.0017657793711645237,0.0003706577219335612,0.0013951216492309624,14,iii,5,5,2.3928000686679907,False,0,9356
p2l,trim,0,4.927139614546494e-06,0.0,0.0,,0.0,,2,iii,5,5,2.3928000686679907,False,0,9356
p2p,ls,1,0.05381057942581138,120.54595131838991,1.7159560530525804,0.00890960134437551,0.005441048713987579,0.0034685526303879317,40,iii,6,6,2.374049934723871,False,0,9269
p2p,ls,0,1.8809011193624626e-05,7.074716182472083e-14,6.179236819313044e-15,,1.178365529644514e-30,,2,iii,6,6,2.374049934723871,False,0,9269
p2p,huber,1,0.0278171820705515,99.93033604971949,1.628813354803783,0.002575875888627921,0.0013929521733622564,0.0011829237152656644,40,iii,6,6,2.374049934723871,False,0,9269
p2p,huber,0,9.40450559681229e-06,7.074716182472083e-14,6.179236819313044e-15,,1.178365529644514e-30,,2,iii,6,6,2.374049934723871,False,0,9269
p2p,trim,1,0.03392589000709404,91.52954568302938,1.470050480447832,0.0022165972781880835,0.0005272542034212031,0.0016893430747668805,40,iii,6,6,2.374049934723871,False,0,9269
p2p,trim,0,2.3232347654177955e-05,1.2058589950412845e-13,6.0320912764952964e-15,,3.5483425811000843e-31,,2,iii,6,6,2.374049934723871,False,0,9269
p2l,ls,1,0.05182453109832381,126.04775662764672,1.8706143728219529,0.00818810391297048,0.005013983444650917,0.0031741204683195636,40,iii,6,6,2.374049934723871,False,0,9269
p2l,ls,0,5.8075420307711855e-06,0.0,0.0,,0.0,,2,iii,6,6,2.374049934723871,False,0,9269
p2l,huber,1,0.025360070471109372,99.32018569385927,1.277394161491699,0.002275730902691094,0.0011893014865974856,0.0010864294160936082,40,iii,6,6,2.374049934723871,False,0,9269
p2l,huber,0,2.9037710153856e-06,0.0,0.0,,0.0,,2,iii,6,6,2.374049934723871,False,0,9269
p2l,trim,1,0.029267459790509473,89.81414914486079,1.0737007589530234,0.0018304886822927144,0.0003849394377987237,0.0014455492444939908,40,iii,6,6,2.374049934723871,False,0,9269
p2l,trim,0,6.156619778191899e-06,0.0,0.0,,0.0,,2,iii,6,6,2.374049934723871,False,0,9269
